CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13201,PUENTE ALTO,2,"[2, 6]",568087,0.0768,0.076761
13119,MAIPÚ,3,"[2, 4, 5]",503635,0.0681,0.136104
13101,SANTIAGO,2,"[0, 4]",438856,0.0593,0.059299
13110,LA FLORIDA,2,"[6, 7]",374834,0.0506,0.050648
13401,SAN BERNARDO,2,"[2, 6]",306371,0.0414,0.041397
13120,ÑUÑOA,3,"[0, 1, 7]",241467,0.0326,0.065255
13122,PEÑALOLÉN,3,"[1, 6, 7]",236478,0.032,0.063907
13124,PUDAHUEL,2,"[3, 5]",227821,0.0308,0.030784
13112,LA PINTANA,2,"[6, 7]",175421,0.0237,0.023703
13105,EL BOSQUE,3,"[2, 6, 7]",155256,0.021,0.041957
13127,RECOLETA,2,"[0, 1]",154615,0.0209,0.020892
13130,SAN MIGUEL,2,"[4, 7]",150829,0.0204,0.02038
13123,PROVIDENCIA,2,"[0, 1]",143973,0.0195,0.019454
13128,RENCA,3,"[3, 4, 5]",143622,0.0194,0.038813
13501,MELIPILLA,2,"[2, 3]",136325,0.0184,0.01842
13103,CERRO NAVIA,2,"[4, 5]",127249,0.0172,0.017194
13104,CONCHALÍ,2,"[0, 4]",121587,0.0164,0.016429
13108,INDEPENDENCIA,2,"[0, 3]",116944,0.0158,0.015802
13109,LA CISTERNA,2,"[4, 7]",103157,0.0139,0.013939
13107,HUECHURABA,2,"[0, 1]",101808,0.0138,0.013756
13117,LO PRADO,2,"[4, 5]",91289,0.0123,0.012335
13102,CERRILLOS,2,"[4, 5]",85041,0.0115,0.011491
13604,PADRE HURTADO,2,"[2, 5]",81243,0.011,0.010978
13601,TALAGANTE,2,"[2, 3]",76429,0.0103,0.010327
13603,ISLA DE MAIPO,2,"[2, 3]",39275,0.0053,0.005307
13602,EL MONTE,2,"[2, 3]",37497,0.0051,0.005067
13202,PIRQUE,2,"[2, 6]",29060,0.0039,0.003927
13203,SAN JOSÉ DE MAIPO,2,"[1, 6]",17441,0.0024,0.002357
