step,cut_edges,max_dev_pct,is_valid
0,263,8.557,True
1,258,8.557,True
2,275,9.866,True
3,284,9.866,True
4,276,9.866,True
5,264,7.871,True
6,261,9.074,True
7,261,9.074,True
8,254,9.074,True
9,270,9.074,True
10,270,9.074,True
11,264,8.347,True
12,251,8.347,True
13,253,7.644,True
14,264,7.644,True
15,276,7.644,True
16,266,7.644,True
17,268,7.644,True
18,271,7.644,True
19,299,9.169,True
20,299,9.169,True
21,292,9.169,True
22,280,9.169,True
23,260,7.514,True
24,260,7.514,True
25,265,7.514,True
26,269,7.514,True
27,271,7.514,True
28,299,9.51,True
29,307,9.51,True
30,299,9.51,True
31,297,9.93,True
32,287,9.93,True
33,306,9.93,True
34,303,9.93,True
35,296,9.725,True
36,282,9.725,True
37,285,9.725,True
38,281,9.725,True
39,282,9.725,True
40,277,9.725,True
41,280,9.725,True
42,274,9.673,True
43,260,9.673,True
44,281,9.673,True
45,285,9.673,True
46,295,8.943,True
47,277,8.501,True
48,276,7.893,True
49,267,9.904,True
50,264,9.904,True
51,273,9.904,True
52,277,9.736,True
53,272,9.736,True
54,245,9.736,True
55,245,9.675,True
56,258,9.675,True
57,255,9.675,True
58,253,9.375,True
59,250,9.61,True
60,245,9.61,True
61,242,9.61,True
62,252,9.61,True
63,251,9.61,True
64,256,9.61,True
65,255,9.61,True
66,255,9.61,True
67,249,9.61,True
68,251,9.61,True
69,241,9.61,True
70,238,9.61,True
71,237,9.661,True
72,233,9.661,True
73,244,9.61,True
74,244,9.61,True
75,265,9.61,True
76,263,8.884,True
77,254,8.884,True
78,246,8.884,True
79,252,8.884,True
80,252,8.884,True
81,250,8.884,True
82,249,8.884,True
83,274,9.844,True
84,269,9.844,True
85,249,9.844,True
86,262,9.844,True
87,258,8.858,True
88,256,8.858,True
89,277,7.581,True
90,275,7.581,True
91,271,7.581,True
92,256,8.138,True
93,257,8.138,True
94,254,8.138,True
95,253,8.138,True
96,255,8.138,True
97,254,8.05,True
98,254,7.824,True
99,251,7.824,True
100,238,8.545,True
101,229,8.545,True
102,247,8.545,True
103,242,8.545,True
104,246,8.545,True
105,249,7.907,True
106,235,7.907,True
107,258,8.302,True
108,266,8.302,True
109,277,8.302,True
110,256,7.895,True
111,252,7.895,True
112,252,7.895,True
113,252,7.352,True
114,250,7.352,True
115,252,7.352,True
116,269,8.293,True
117,270,8.293,True
118,265,8.293,True
119,254,9.946,True
120,254,9.946,True
121,252,9.946,True
122,247,9.946,True
123,250,9.946,True
124,251,9.946,True
125,250,9.946,True
126,248,9.946,True
127,249,9.946,True
128,260,9.946,True
129,258,9.946,True
130,263,9.946,True
131,261,9.946,True
132,262,9.946,True
133,261,9.946,True
134,258,9.102,True
135,258,9.102,True
136,250,9.077,True
137,247,9.077,True
138,252,9.775,True
139,255,8.898,True
140,260,8.898,True
141,260,8.898,True
142,258,8.898,True
143,254,8.376,True
144,258,8.376,True
145,255,8.694,True
146,255,9.058,True
147,253,8.966,True
148,254,8.966,True
149,250,8.966,True
150,247,8.376,True
151,252,8.376,True
152,247,7.775,True
153,263,7.775,True
154,258,7.775,True
155,258,7.775,True
156,254,7.775,True
157,247,7.775,True
158,243,7.775,True
159,248,7.775,True
160,247,8.884,True
161,241,8.884,True
162,247,8.884,True
163,247,8.884,True
164,250,9.431,True
165,251,9.096,True
166,247,9.096,True
167,244,9.096,True
168,234,9.096,True
169,247,8.238,True
170,247,8.238,True
171,261,8.238,True
172,261,8.238,True
173,258,8.953,True
174,256,8.238,True
175,246,8.238,True
176,245,9.38,True
177,243,9.38,True
178,238,8.238,True
179,238,9.123,True
180,235,9.548,True
181,242,9.548,True
182,239,9.548,True
183,240,9.614,True
184,253,9.614,True
185,256,9.614,True
186,246,9.614,True
187,249,9.614,True
188,252,9.614,True
189,239,9.508,True
190,237,7.959,True
191,239,7.959,True
192,253,7.959,True
193,235,7.959,True
194,237,7.959,True
195,248,9.304,True
196,270,9.304,True
197,271,9.304,True
198,281,9.563,True
199,282,9.563,True
200,284,9.563,True
201,282,9.563,True
202,281,9.713,True
203,264,9.713,True
204,272,9.713,True
205,270,9.713,True
206,279,9.713,True
207,282,9.713,True
208,300,9.713,True
209,286,9.713,True
210,276,9.494,True
211,281,9.494,True
212,278,9.494,True
213,297,9.494,True
214,288,9.494,True
215,276,9.494,True
216,275,9.494,True
217,270,9.494,True
218,276,9.961,True
219,272,9.961,True
220,271,9.961,True
221,271,9.961,True
222,268,9.961,True
223,287,9.581,True
224,300,7.915,True
225,292,8.689,True
226,278,7.915,True
227,268,7.544,True
228,251,7.61,True
229,249,7.61,True
230,245,9.907,True
231,238,9.92,True
232,245,9.92,True
233,250,9.92,True
234,237,9.92,True
235,247,9.92,True
236,250,8.218,True
237,251,8.218,True
238,260,8.408,True
239,270,8.408,True
240,283,9.558,True
241,274,8.408,True
242,285,8.408,True
243,284,6.875,True
244,274,6.48,True
245,285,6.48,True
246,286,8.742,True
247,285,9.276,True
248,267,9.276,True
249,257,9.276,True
250,252,9.276,True
251,258,9.276,True
252,259,9.276,True
253,274,9.337,True
254,271,9.337,True
255,267,8.811,True
256,279,8.811,True
257,278,8.811,True
258,274,8.811,True
259,289,6.818,True
260,289,6.818,True
261,288,7.743,True
262,277,7.743,True
263,272,7.743,True
264,262,7.743,True
265,275,7.743,True
266,275,7.743,True
267,267,9.062,True
268,266,9.062,True
269,272,9.062,True
270,267,6.828,True
271,279,7.317,True
272,269,7.434,True
273,263,7.746,True
274,262,7.434,True
275,265,7.434,True
276,259,7.434,True
277,260,7.434,True
278,271,9.655,True
279,269,9.655,True
280,269,9.655,True
281,271,9.655,True
282,259,8.654,True
283,253,8.654,True
284,251,8.654,True
285,259,8.654,True
286,277,8.654,True
287,285,8.654,True
288,257,8.654,True
289,258,9.357,True
290,262,9.357,True
291,251,8.654,True
292,260,8.654,True
293,262,8.654,True
294,263,8.654,True
295,263,8.654,True
296,263,8.654,True
297,257,8.654,True
298,265,8.654,True
299,258,8.654,True
