CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13119,MAIPÚ,2,"[0, 6]",503635,0.0681,0.068052
13101,SANTIAGO,2,"[0, 7]",438856,0.0593,0.059299
13110,LA FLORIDA,2,"[4, 5]",374834,0.0506,0.050648
13401,SAN BERNARDO,2,"[1, 6]",306371,0.0414,0.041397
13120,ÑUÑOA,3,"[2, 4, 7]",241467,0.0326,0.065255
13122,PEÑALOLÉN,2,"[2, 4]",236478,0.032,0.031953
13112,LA PINTANA,2,"[1, 5]",175421,0.0237,0.023703
13105,EL BOSQUE,2,"[1, 6]",155256,0.021,0.020978
13127,RECOLETA,2,"[3, 7]",154615,0.0209,0.020892
13130,SAN MIGUEL,2,"[4, 7]",150829,0.0204,0.02038
13123,PROVIDENCIA,2,"[2, 7]",143973,0.0195,0.019454
13128,RENCA,2,"[0, 3]",143622,0.0194,0.019406
13108,INDEPENDENCIA,2,"[3, 7]",116944,0.0158,0.015802
13111,LA GRANJA,2,"[4, 5]",112022,0.0151,0.015137
13109,LA CISTERNA,2,"[4, 6]",103157,0.0139,0.013939
13107,HUECHURABA,2,"[2, 3]",101808,0.0138,0.013756
13121,PEDRO AGUIRRE CERDA,2,"[0, 4]",96060,0.013,0.01298
13129,SAN JOAQUÍN,2,"[4, 7]",95602,0.0129,0.012918
13605,PEÑAFLOR,2,"[1, 6]",94402,0.0128,0.012756
13116,LO ESPEJO,2,"[4, 6]",87295,0.0118,0.011795
13604,PADRE HURTADO,2,"[1, 6]",81243,0.011,0.010978
13503,CURACAVÍ,2,"[1, 3]",35165,0.0048,0.004752
13202,PIRQUE,2,"[1, 5]",29060,0.0039,0.003927
13403,CALERA DE TANGO,2,"[1, 6]",25491,0.0034,0.003444
13504,MARÍA PINTO,2,"[1, 3]",15352,0.0021,0.002074
