plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,8.557,,263,25.0,0.9487,0.6838,-10.1996170808411
1,8.557,,258,,,,-8.759308117009082
2,9.866,,275,,,,-8.94127225936794
3,9.866,,284,,,,-8.96829928639496
4,9.866,,276,,,,-8.944275262370942
5,7.871,,264,,,,-8.708719274341712
6,9.074,,261,,,,-8.820022296534624
7,9.074,,261,,,,-8.820022296534624
8,9.074,,254,,,,-8.799001275513609
9,9.074,,270,,,,-8.847049323561642
10,9.074,,270,,,,-8.847049323561642
11,9.074,,270,,,,-8.847049323561642
12,9.074,,257,,,,-8.808010284522615
13,9.074,,257,,,,-8.808010284522615
14,9.074,,272,,,,-8.853055329567646
15,9.074,,269,,,,-8.84404632055864
16,9.074,,269,,,,-8.84404632055864
17,9.074,,269,,,,-8.84404632055864
18,7.955,,273,,,,-8.744147141452656
19,7.955,,273,,,,-8.744147141452656
20,8.352,,278,,,,-8.79886612686431
21,8.352,,278,,,,-8.79886612686431
22,9.027,,285,,,,-8.887393898559717
23,9.027,,296,,,,-8.92042693159274
24,9.027,,281,,,,-8.875381886547707
25,9.027,,267,,,,-8.833339844505678
26,9.027,,267,,,,-8.833339844505678
27,9.027,,290,,,,-8.902408913574726
28,9.911,,300,,,,-9.020847784487952
29,9.027,,273,,,,-8.851357862523692
30,9.027,,280,,,,-8.872378883544705
31,9.027,,270,,,,-8.842348853514684
32,9.027,,270,,,,-8.842348853514684
33,9.027,,276,,,,-8.860366871532698
34,9.008,,280,,,,-8.870478693525722
35,9.008,,280,,,,-8.870478693525722
36,9.008,,286,,,,-8.888496711543736
37,8.789,,283,,,,-8.857585512315927
38,8.789,,275,,,,-8.83356148829191
39,8.789,,275,,,,-8.83356148829191
40,6.892,,284,,,,-8.670869543423636
41,9.844,,289,,,,-8.98111408138799
42,9.844,,279,,,,-8.951084051357968
43,9.844,,278,,,,-8.948081048354966
44,9.844,,280,,,,-8.95408705436097
45,9.844,,280,,,,-8.95408705436097
46,9.844,,281,,,,-8.957090057363972
47,9.844,,281,,,,-8.957090057363972
48,9.844,,263,,,,-8.903036003309934
49,9.844,,287,,,,-8.975108075381986
50,9.844,,256,,,,-8.88201498228892
51,9.844,,269,,,,-8.921054021327947
52,9.844,,254,,,,-8.876008976282915
53,9.844,,243,,,,-8.842975943249893
54,9.844,,236,,,,-8.821954922228878
55,9.844,,237,,,,-8.82495792523188
56,9.844,,241,,,,-8.836969937243888
