CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13201,PUENTE ALTO,2,"[5, 7]",568087,0.0768,0.076761
13119,MAIPÚ,2,"[3, 6]",503635,0.0681,0.068052
13101,SANTIAGO,2,"[1, 2]",438856,0.0593,0.059299
13110,LA FLORIDA,3,"[0, 5, 6]",374834,0.0506,0.101296
13401,SAN BERNARDO,2,"[6, 7]",306371,0.0414,0.041397
13120,ÑUÑOA,2,"[0, 2]",241467,0.0326,0.032627
13124,PUDAHUEL,2,"[1, 3]",227821,0.0308,0.030784
13106,ESTACIÓN CENTRAL,3,"[1, 2, 6]",181049,0.0245,0.048927
13112,LA PINTANA,3,"[5, 6, 7]",175421,0.0237,0.047406
13105,EL BOSQUE,2,"[6, 7]",155256,0.021,0.020978
13127,RECOLETA,2,"[1, 4]",154615,0.0209,0.020892
13130,SAN MIGUEL,2,"[2, 5]",150829,0.0204,0.02038
13302,LAMPA,2,"[3, 4]",145160,0.0196,0.019614
13123,PROVIDENCIA,3,"[0, 2, 4]",143973,0.0195,0.038908
13118,MACUL,3,"[0, 2, 5]",123800,0.0167,0.033456
13104,CONCHALÍ,2,"[1, 4]",121587,0.0164,0.016429
13108,INDEPENDENCIA,2,"[1, 2]",116944,0.0158,0.015802
13111,LA GRANJA,2,"[5, 6]",112022,0.0151,0.015137
13121,PEDRO AGUIRRE CERDA,2,"[2, 6]",96060,0.013,0.01298
13129,SAN JOAQUÍN,2,"[2, 5]",95602,0.0129,0.012918
13132,VITACURA,2,"[0, 4]",86419,0.0117,0.011677
13604,PADRE HURTADO,2,"[3, 7]",81243,0.011,0.010978
13404,PAINE,2,"[3, 7]",78827,0.0107,0.010651
13601,TALAGANTE,2,"[3, 7]",76429,0.0103,0.010327
13603,ISLA DE MAIPO,2,"[3, 7]",39275,0.0053,0.005307
