plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,8.557,,263,25.0,0.9487,0.6838,-1.9021431233395287
1,8.557,,258,,,,-1.865856760123737
2,9.866,,275,,,,-2.046032122441254
3,9.866,,284,,,,-2.0721190789629857
4,9.866,,276,,,,-2.048930673165891
5,7.871,,264,,,,-1.814648064472244
6,9.074,,261,,,,-1.9262524122971303
7,9.074,,261,,,,-1.9262524122971303
8,9.074,,254,,,,-1.9059625572246726
9,9.074,,270,,,,-1.9523393688188622
10,9.074,,270,,,,-1.9523393688188622
11,9.074,,270,,,,-1.9523393688188622
12,9.074,,257,,,,-1.914658209398583
13,9.074,,249,,,,-1.8914698036014883
14,9.074,,264,,,,-1.934948064471041
15,7.955,,263,,,,-1.820149513747523
16,9.974,,266,,,,-2.0307451659194147
17,8.183,,240,,,,-1.7762828470806478
18,8.514,,236,,,,-1.7977886441817694
19,8.514,,238,,,,-1.8035857456310431
20,8.514,,240,,,,-1.8093828470803168
21,9.605,,249,,,,-1.9445698036009573
22,9.605,,260,,,,-1.9764538615719627
23,8.621,,263,,,,-1.8867495137468573
24,8.621,,268,,,,-1.9012422673700413
25,8.514,,263,,,,-1.876049513746964
26,8.573,,265,,,,-1.8877466151961788
27,8.573,,256,,,,-1.8616596586744472
28,8.583,,236,,,,-1.8046886441817005
29,8.583,,236,,,,-1.8046886441817005
30,8.583,,236,,,,-1.8046886441817005
31,8.583,,240,,,,-1.816282847080248
32,8.583,,240,,,,-1.816282847080248
33,8.583,,243,,,,-1.8249784992541582
34,8.583,,238,,,,-1.8104857456309742
35,8.583,,235,,,,-1.8017900934570636
36,8.583,,235,,,,-1.8017900934570636
37,9.495,,239,,,,-1.9045842963546988
38,9.495,,236,,,,-1.8958886441807883
39,9.495,,235,,,,-1.8929900934561517
40,9.495,,231,,,,-1.8813958905576043
41,8.583,,239,,,,-1.8133842963556108
42,8.583,,240,,,,-1.816282847080248
43,7.982,,249,,,,-1.7822698036025804
44,7.64,,252,,,,-1.7567654557768329
45,7.64,,252,,,,-1.7567654557768329
46,9.262,,263,,,,-1.9508495137462163
47,9.262,,265,,,,-1.95664661519549
48,7.64,,256,,,,-1.7683596586753803
49,6.772,,252,,,,-1.6699654557777008
50,8.42,,242,,,,-1.8057799485296844
51,8.04,,239,,,,-1.759084296356154
52,6.391,,242,,,,-1.6028799485317133
53,7.944,,249,,,,-1.7784698036026183
54,7.944,,250,,,,-1.7813683543272552
55,7.944,,250,,,,-1.7813683543272552
56,7.944,,242,,,,-1.7581799485301604
57,7.944,,243,,,,-1.7610784992547974
58,7.944,,275,,,,-1.8538321224431762
59,8.0,,262,,,,-1.8217509630228412
60,5.076,,250,,,,-1.4945683543301231
61,5.076,,250,,,,-1.4945683543301231
62,8.403,,237,,,,-1.7895871949065172
63,6.056,,245,,,,-1.5780756007059589
64,6.056,,245,,,,-1.5780756007059589
65,6.056,,242,,,,-1.5693799485320485
66,9.01,,233,,,,-1.838692992007363
67,5.302,,230,,,,-1.4591973398371603
68,6.974,,226,,,,-1.614803136936941
69,7.777,,230,,,,-1.7066973398346854
70,7.777,,244,,,,-1.7472770499796013
71,7.777,,245,,,,-1.750175600704238
72,7.777,,245,,,,-1.750175600704238
73,9.888,,248,,,,-1.9699712528760376
74,9.888,,250,,,,-1.975768354325311
75,9.888,,240,,,,-1.9467828470789428
76,9.888,,240,,,,-1.9467828470789428
77,9.1,,252,,,,-1.9027654557753728
78,9.1,,265,,,,-1.9404466151956516
79,9.1,,266,,,,-1.9433451659202887
80,9.749,,280,,,,-2.0488248760645558
81,7.449,,262,,,,-1.7666509630233922
82,7.449,,263,,,,-1.769549513748029
83,7.449,,265,,,,-1.7753466151973027
84,8.859,,265,,,,-1.9163466151958928
85,8.859,,268,,,,-1.9250422673698033
86,8.859,,274,,,,-1.9424335717176244
87,8.859,,280,,,,-1.9598248760654455
88,8.859,,270,,,,-1.930839368819077
89,8.859,,266,,,,-1.9192451659205296
90,9.378,,266,,,,-1.9711451659200108
91,9.378,,267,,,,-1.9740437166446474
92,9.798,,268,,,,-2.018942267368864
93,9.798,,259,,,,-1.9928553108471327
94,9.798,,263,,,,-2.00444951374568
95,9.798,,256,,,,-1.9841596586732222
96,9.798,,254,,,,-1.9783625572239485
97,9.798,,268,,,,-2.018942267368864
98,9.902,,264,,,,-2.017748064470213
99,9.4,,266,,,,-1.9733451659199888
100,7.169,,265,,,,-1.7473466151975827
101,7.249,,270,,,,-1.769839368820687
102,8.15,,258,,,,-1.8251567601241439
103,8.15,,252,,,,-1.8077654557763227
104,8.15,,254,,,,-1.8135625572255964
105,8.15,,251,,,,-1.8048669050516861
106,9.099,,258,,,,-1.920056760123195
107,8.15,,251,,,,-1.8048669050516861
108,8.677,,272,,,,-1.9184364702685326
109,8.677,,263,,,,-1.8923495137468012
110,8.677,,262,,,,-1.889450963022164
111,8.677,,262,,,,-1.889450963022164
112,8.15,,262,,,,-1.8367509630226913
113,7.119,,253,,,,-1.7075640065019906
114,6.5,,252,,,,-1.642765455777973
115,9.352,,245,,,,-1.9076756007026632
116,9.352,,243,,,,-1.9018784992533895
117,9.352,,249,,,,-1.9192698036012104
118,9.352,,261,,,,-1.9540524122968523
119,9.352,,273,,,,-1.9888350209924945
120,8.044,,284,,,,-1.8899190789648077
121,8.087,,283,,,,-1.891320528240128
122,8.044,,279,,,,-1.8754263253416237
123,8.044,,282,,,,-1.884121977515534
124,5.105,,274,,,,-1.5670335717213784
125,8.532,,273,,,,-1.9068350209933145
126,8.532,,282,,,,-1.9329219775150461
127,8.532,,272,,,,-1.9039364702686778
128,8.532,,284,,,,-1.9387190789643198
129,9.798,,284,,,,-2.0653190789630536
130,9.798,,283,,,,-2.062420528238417
131,9.72,,299,,,,-2.100997339832684
132,9.72,,299,,,,-2.100997339832684
133,9.72,,290,,,,-2.074910383310953
134,9.72,,300,,,,-2.1038958905573213
135,9.72,,300,,,,-2.1038958905573213
136,9.72,,305,,,,-2.1183886441805058
137,9.483,,303,,,,-2.088891542731469
138,9.483,,323,,,,-2.146862557224206
139,9.483,,337,,,,-2.1874422673691214
140,9.252,,332,,,,-2.149849513746168
141,9.252,,317,,,,-2.106371252876616
142,9.252,,297,,,,-2.048400238383879
143,9.252,,290,,,,-2.0281103833114207
144,9.252,,279,,,,-1.9962263253404158
145,7.436,,278,,,,-1.8117277746175948
146,8.812,,271,,,,-1.9290379195437608
147,8.812,,269,,,,-1.923240818094487
148,8.357,,277,,,,-1.9009292238920368
149,8.357,,276,,,,-1.8980306731674
150,8.357,,266,,,,-1.8690451659210316
151,8.815,,259,,,,-1.894555310848116
152,9.514,,265,,,,-1.9818466151952376
153,9.514,,265,,,,-1.9818466151952376
154,9.514,,266,,,,-1.9847451659198747
155,9.514,,269,,,,-1.993440818093785
156,9.368,,269,,,,-1.9788408180939312
157,9.368,,272,,,,-1.9875364702678417
158,9.05,,262,,,,-1.9267509630217912
159,9.05,,262,,,,-1.9267509630217912
160,9.05,,265,,,,-1.935446615195702
161,8.357,,266,,,,-1.8690451659210316
162,8.357,,263,,,,-1.8603495137471209
