step,cut_edges,max_dev_pct,is_valid
0,263,8.557,True
1,258,8.557,True
2,275,9.866,True
3,284,9.866,True
4,276,9.866,True
5,264,7.871,True
6,261,9.074,True
7,261,9.074,True
8,254,9.074,True
9,270,9.074,True
10,270,9.074,True
11,270,9.074,True
12,257,9.074,True
13,249,9.074,True
14,264,9.074,True
15,263,7.955,True
16,266,9.974,True
17,240,8.183,True
18,236,8.514,True
19,238,8.514,True
20,240,8.514,True
21,249,9.605,True
22,260,9.605,True
23,263,8.621,True
24,268,8.621,True
25,263,8.514,True
26,265,8.573,True
27,256,8.573,True
28,236,8.583,True
29,236,8.583,True
30,236,8.583,True
31,240,8.583,True
32,240,8.583,True
33,243,8.583,True
34,238,8.583,True
35,235,8.583,True
36,235,8.583,True
37,239,9.495,True
38,236,9.495,True
39,235,9.495,True
40,231,9.495,True
41,239,8.583,True
42,240,8.583,True
43,249,7.982,True
44,252,7.64,True
45,252,7.64,True
46,263,9.262,True
47,265,9.262,True
48,256,7.64,True
49,252,6.772,True
50,242,8.42,True
51,239,8.04,True
52,242,6.391,True
53,249,7.944,True
54,250,7.944,True
55,250,7.944,True
56,242,7.944,True
57,243,7.944,True
58,275,7.944,True
59,262,8.0,True
60,250,5.076,True
61,250,5.076,True
62,237,8.403,True
63,245,6.056,True
64,245,6.056,True
65,242,6.056,True
66,233,9.01,True
67,230,5.302,True
68,226,6.974,True
69,230,7.777,True
70,244,7.777,True
71,245,7.777,True
72,245,7.777,True
73,248,9.888,True
74,250,9.888,True
75,240,9.888,True
76,240,9.888,True
77,252,9.1,True
78,265,9.1,True
79,266,9.1,True
80,280,9.749,True
81,262,7.449,True
82,263,7.449,True
83,265,7.449,True
84,265,8.859,True
85,268,8.859,True
86,274,8.859,True
87,280,8.859,True
88,270,8.859,True
89,266,8.859,True
90,266,9.378,True
91,267,9.378,True
92,268,9.798,True
93,259,9.798,True
94,263,9.798,True
95,256,9.798,True
96,254,9.798,True
97,268,9.798,True
98,264,9.902,True
99,266,9.4,True
100,265,7.169,True
101,270,7.249,True
102,258,8.15,True
103,252,8.15,True
104,254,8.15,True
105,251,8.15,True
106,258,9.099,True
107,251,8.15,True
108,272,8.677,True
109,263,8.677,True
110,262,8.677,True
111,262,8.677,True
112,262,8.15,True
113,253,7.119,True
114,252,6.5,True
115,245,9.352,True
116,243,9.352,True
117,249,9.352,True
118,261,9.352,True
119,273,9.352,True
120,284,8.044,True
121,283,8.087,True
122,279,8.044,True
123,282,8.044,True
124,274,5.105,True
125,273,8.532,True
126,282,8.532,True
127,272,8.532,True
128,284,8.532,True
129,284,9.798,True
130,283,9.798,True
131,299,9.72,True
132,299,9.72,True
133,290,9.72,True
134,300,9.72,True
135,300,9.72,True
136,305,9.72,True
137,303,9.483,True
138,323,9.483,True
139,337,9.483,True
140,332,9.252,True
141,317,9.252,True
142,297,9.252,True
143,290,9.252,True
144,279,9.252,True
145,278,7.436,True
146,271,8.812,True
147,269,8.812,True
148,277,8.357,True
149,276,8.357,True
150,266,8.357,True
151,259,8.815,True
152,265,9.514,True
153,265,9.514,True
154,266,9.514,True
155,269,9.514,True
156,269,9.368,True
157,272,9.368,True
158,262,9.05,True
159,262,9.05,True
160,265,9.05,True
161,266,8.357,True
162,263,8.357,True
163,270,8.357,True
164,269,6.458,True
165,272,7.511,True
166,263,7.511,True
167,261,7.511,True
168,263,7.511,True
169,275,7.511,True
170,289,7.511,True
171,281,7.511,True
172,279,7.644,True
173,291,7.644,True
174,291,7.644,True
175,295,7.644,True
176,294,7.627,True
177,302,7.627,True
178,291,9.601,True
179,292,9.601,True
180,276,9.601,True
181,285,9.485,True
182,286,7.627,True
183,290,5.784,True
184,295,6.565,True
185,282,7.36,True
186,280,7.36,True
187,281,7.36,True
188,271,9.911,True
189,271,9.911,True
190,271,9.911,True
191,276,8.352,True
192,273,9.062,True
193,266,9.42,True
194,279,9.42,True
195,282,9.062,True
196,272,9.062,True
197,273,9.062,True
198,271,9.062,True
199,282,7.699,True
200,277,9.797,True
201,282,9.07,True
202,291,9.07,True
203,289,9.07,True
204,277,7.699,True
205,270,7.699,True
206,273,7.699,True
207,264,8.272,True
208,273,7.699,True
209,273,7.699,True
210,270,7.699,True
211,274,7.699,True
212,274,7.699,True
213,282,8.761,True
214,285,8.761,True
215,298,8.419,True
216,316,6.847,True
217,310,6.847,True
218,311,8.447,True
219,308,9.184,True
220,311,9.901,True
221,305,9.901,True
222,303,8.432,True
223,310,8.432,True
224,290,8.432,True
225,277,8.432,True
226,286,8.677,True
227,298,8.677,True
228,296,8.677,True
229,296,8.759,True
230,291,8.759,True
231,286,8.759,True
232,289,8.759,True
233,287,8.628,True
234,295,8.628,True
235,314,8.628,True
236,307,8.628,True
237,310,8.628,True
238,306,6.718,True
239,298,8.082,True
240,296,8.082,True
241,292,9.4,True
242,302,9.063,True
243,307,9.351,True
244,307,9.351,True
245,308,9.815,True
246,312,9.815,True
247,312,9.815,True
248,312,9.815,True
249,312,9.767,True
250,305,9.767,True
251,309,9.767,True
252,308,9.767,True
253,301,9.767,True
254,308,9.767,True
255,307,9.767,True
256,306,9.767,True
257,301,9.767,True
258,307,9.738,True
259,306,9.738,True
260,318,9.738,True
261,320,9.738,True
262,344,9.633,True
263,324,9.008,True
264,307,9.008,True
265,300,9.008,True
266,294,9.008,True
267,292,9.008,True
268,292,9.008,True
269,282,9.008,True
270,280,9.008,True
271,270,9.008,True
272,267,9.796,True
273,264,9.796,True
274,262,9.796,True
275,255,9.796,True
276,255,9.383,True
277,252,9.383,True
278,256,9.383,True
279,248,9.383,True
280,252,9.383,True
281,266,9.383,True
282,271,9.383,True
283,271,9.989,True
284,270,9.621,True
285,263,9.892,True
286,263,9.892,True
287,265,9.892,True
288,271,9.892,True
289,264,9.206,True
290,255,9.206,True
291,251,9.206,True
292,270,9.206,True
293,269,9.136,True
294,274,9.136,True
295,286,9.136,True
296,271,9.136,True
297,266,9.73,True
298,265,9.73,True
299,266,6.153,True
