step,cut_edges,max_dev_pct,is_valid
0,263,8.557,True
1,258,8.557,True
2,258,8.557,True
3,258,8.557,True
4,258,8.557,True
5,256,8.239,True
6,256,9.556,True
7,275,8.239,True
8,259,8.239,True
9,259,8.239,True
10,259,8.239,True
11,259,8.239,True
12,259,8.239,True
13,259,8.239,True
14,239,8.239,True
15,240,9.557,True
16,240,9.557,True
17,234,9.557,True
18,242,9.361,True
19,234,9.361,True
20,233,9.361,True
21,239,9.434,True
22,239,9.434,True
23,239,9.434,True
24,233,9.361,True
25,238,9.361,True
26,238,9.361,True
27,237,9.735,True
28,241,9.735,True
29,249,9.735,True
30,247,9.361,True
31,247,9.361,True
32,246,8.63,True
33,240,8.63,True
34,240,8.63,True
35,241,8.63,True
36,241,8.63,True
37,241,8.63,True
38,241,8.63,True
39,241,8.63,True
40,240,8.63,True
41,237,8.63,True
42,247,8.63,True
43,249,6.144,True
44,251,6.144,True
45,251,6.144,True
46,247,6.144,True
47,243,5.077,True
48,243,5.077,True
49,239,5.077,True
50,245,2.818,True
51,244,5.759,True
52,240,9.682,True
53,240,9.682,True
54,240,9.682,True
55,244,9.682,True
56,244,9.682,True
57,244,8.863,True
58,244,8.863,True
59,240,8.863,True
60,240,7.85,True
61,240,7.85,True
62,232,7.85,True
63,237,8.571,True
64,237,8.571,True
65,237,8.571,True
66,237,8.571,True
67,237,8.571,True
68,238,8.669,True
69,238,8.669,True
70,246,8.669,True
71,246,8.669,True
72,246,8.669,True
73,249,7.85,True
74,267,9.692,True
75,267,9.692,True
76,267,9.692,True
77,260,9.692,True
78,260,9.692,True
79,267,9.886,True
80,289,9.692,True
81,289,9.692,True
82,289,9.692,True
83,289,9.692,True
84,271,9.692,True
85,271,9.692,True
86,288,9.692,True
87,277,9.692,True
88,275,9.692,True
89,277,8.168,True
90,267,8.168,True
91,270,8.168,True
92,270,8.168,True
93,271,8.168,True
94,271,8.168,True
95,251,8.168,True
96,243,8.168,True
97,243,8.168,True
98,243,8.168,True
99,243,8.168,True
100,240,7.706,True
101,240,7.706,True
102,237,7.88,True
103,237,7.88,True
104,237,7.88,True
105,233,7.88,True
106,233,7.88,True
107,233,7.88,True
108,229,7.88,True
109,227,7.88,True
110,227,7.88,True
111,227,7.88,True
112,242,7.88,True
113,242,7.88,True
114,242,7.88,True
115,254,9.123,True
116,246,9.123,True
117,228,7.88,True
118,228,7.88,True
119,241,7.88,True
120,241,7.88,True
121,243,7.88,True
122,243,7.88,True
123,247,7.88,True
124,247,7.88,True
125,247,7.88,True
126,247,8.827,True
127,247,8.827,True
128,247,8.827,True
129,247,8.827,True
130,244,6.024,True
131,256,7.738,True
132,274,7.738,True
133,274,7.738,True
134,274,7.738,True
135,274,7.738,True
136,274,8.324,True
137,271,8.324,True
138,275,6.561,True
139,257,9.998,True
140,255,9.998,True
141,253,9.965,True
142,259,9.818,True
143,264,9.818,True
144,264,9.818,True
145,267,9.818,True
146,262,9.818,True
147,254,8.778,True
148,248,8.778,True
149,246,8.778,True
150,243,8.778,True
151,237,8.778,True
152,239,8.778,True
153,239,8.778,True
154,242,8.778,True
155,235,8.778,True
156,256,8.778,True
157,252,9.76,True
158,242,9.76,True
159,231,8.613,True
160,232,8.948,True
161,232,8.948,True
162,239,8.613,True
163,237,8.613,True
164,238,8.613,True
165,238,8.613,True
166,237,8.613,True
167,236,8.613,True
168,239,9.918,True
169,238,9.918,True
170,238,9.918,True
171,249,9.918,True
172,266,9.918,True
173,263,9.918,True
174,255,9.876,True
175,251,9.876,True
176,243,9.876,True
177,246,9.876,True
178,244,8.667,True
179,251,8.667,True
180,248,9.363,True
181,248,9.363,True
182,231,9.363,True
183,231,9.363,True
184,233,9.363,True
185,240,9.363,True
186,237,9.363,True
187,239,9.363,True
188,234,9.363,True
189,234,9.363,True
190,235,9.363,True
191,240,6.201,True
192,241,6.201,True
193,242,6.201,True
194,241,6.201,True
195,233,8.459,True
196,233,8.459,True
197,235,8.459,True
198,234,8.459,True
199,228,8.459,True
200,228,8.459,True
201,228,8.459,True
202,234,9.825,True
203,225,9.825,True
204,226,9.672,True
205,226,9.672,True
206,225,9.672,True
207,225,9.672,True
208,226,9.672,True
209,226,9.672,True
210,229,9.672,True
211,229,9.672,True
212,229,9.672,True
213,238,9.672,True
214,246,9.672,True
215,242,7.592,True
216,236,7.592,True
217,235,7.592,True
218,235,7.592,True
219,238,7.592,True
220,238,7.592,True
221,238,7.592,True
222,241,7.592,True
223,233,7.592,True
224,244,7.592,True
225,244,7.592,True
226,233,7.592,True
227,229,7.592,True
228,228,8.837,True
229,223,7.592,True
230,223,7.592,True
231,221,7.592,True
232,214,7.592,True
233,226,8.403,True
234,226,8.403,True
235,226,8.403,True
236,226,8.403,True
237,226,8.403,True
238,226,8.403,True
239,226,8.403,True
240,226,8.403,True
241,226,8.403,True
242,228,8.403,True
243,230,7.592,True
244,235,7.592,True
245,235,7.592,True
246,235,7.592,True
247,235,7.592,True
248,235,7.592,True
249,242,6.273,True
250,240,7.715,True
251,240,7.715,True
252,239,8.495,True
253,243,8.495,True
254,247,8.495,True
255,248,8.36,True
256,248,8.36,True
257,248,8.36,True
258,251,9.13,True
259,255,9.13,True
260,257,9.886,True
261,257,9.578,True
262,258,9.578,True
263,258,9.578,True
264,258,9.578,True
265,255,9.649,True
266,255,9.649,True
267,249,9.649,True
268,253,9.649,True
269,253,9.578,True
270,241,9.351,True
271,251,9.351,True
272,253,9.351,True
273,253,9.351,True
274,253,9.351,True
275,258,9.351,True
276,258,9.351,True
277,258,9.351,True
278,258,9.351,True
279,252,9.351,True
280,249,9.351,True
281,240,9.631,True
282,242,9.631,True
283,242,9.631,True
284,242,9.631,True
285,239,9.695,True
286,239,9.695,True
287,239,9.695,True
288,250,9.262,True
289,250,9.262,True
290,259,8.051,True
291,259,8.051,True
292,268,8.051,True
293,259,8.051,True
294,265,9.959,True
295,265,9.959,True
296,259,9.959,True
297,259,9.959,True
298,259,9.959,True
299,258,8.051,True
