plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,8.557,,263,25.0,0.9487,0.6838,-3.170000664715269
1,8.557,,258,,,,-3.077737140652518
2,9.866,,275,,,,-3.257360833679523
3,9.866,,284,,,,-3.2831487992955615
4,9.866,,276,,,,-3.2602261631924163
5,7.871,,264,,,,-3.0263222570444945
6,9.074,,261,,,,-3.138038299707732
7,9.074,,261,,,,-3.138038299707732
8,9.074,,254,,,,-3.1179809931174796
9,9.074,,270,,,,-3.1638262653237703
10,9.074,,270,,,,-3.1638262653237703
11,9.074,,270,,,,-3.1638262653237703
12,9.074,,257,,,,-3.126576981656159
13,9.074,,249,,,,-3.103654345553014
14,9.074,,264,,,,-3.1466342882464113
15,7.955,,263,,,,-3.0318577676155254
16,9.974,,266,,,,-3.2423739481713874
17,8.183,,240,,,,-2.9887574690467775
18,8.514,,236,,,,-3.010399461325907
19,8.514,,238,,,,-3.016130120351693
20,8.514,,240,,,,-3.0218607793774797
21,9.605,,249,,,,-3.156759656083536
22,9.605,,260,,,,-3.1882782807253607
23,9.605,,260,,,,-3.1882782807253607
24,9.605,,252,,,,-3.1653556446222155
25,9.605,,252,,,,-3.1653556446222155
26,9.605,,253,,,,-3.1682209741351084
27,8.514,,255,,,,-3.064840722070877
28,8.514,,255,,,,-3.064840722070877
29,8.611,,259,,,,-3.086003010219362
30,8.514,,242,,,,-3.027591438403266
31,8.514,,242,,,,-3.027591438403266
32,8.514,,240,,,,-3.0218607793774797
33,8.514,,240,,,,-3.0218607793774797
34,8.514,,248,,,,-3.044783415480625
35,8.514,,255,,,,-3.064840722070877
36,8.514,,251,,,,-3.0533794040193043
37,8.514,,248,,,,-3.044783415480625
38,8.514,,245,,,,-3.0361874269419453
39,8.514,,249,,,,-3.047648744993518
40,8.514,,253,,,,-3.0591100630450905
41,8.18,,256,,,,-3.0343027112500707
42,8.18,,265,,,,-3.060090676866109
43,9.759,,270,,,,-3.232333116008154
44,9.759,,269,,,,-3.2294677864952606
45,9.759,,270,,,,-3.232333116008154
46,9.759,,284,,,,-3.272447729188658
47,9.759,,282,,,,-3.266717070162872
48,9.759,,275,,,,-3.2466597635726195
49,8.392,,275,,,,-3.10994609220685
50,8.506,,274,,,,-3.1184819028078543
51,6.511,,267,,,,-2.898904644224398
52,6.511,,254,,,,-2.861655360556787
53,6.511,,254,,,,-2.861655360556787
54,7.761,,253,,,,-2.9838025322927684
55,8.424,,249,,,,-3.0386478449035987
56,8.424,,248,,,,-3.035782515390706
57,9.612,,257,,,,-3.180382362193675
58,9.612,,262,,,,-3.1947090097581405
59,9.612,,275,,,,-3.231958293425752
60,9.796,,275,,,,-3.250360133609586
61,8.964,,266,,,,-3.141363847162297
62,8.964,,260,,,,-3.124171870084938
63,9.299,,255,,,,-3.1433485728551704
64,9.299,,271,,,,-3.1891938450614608
65,8.964,,284,,,,-3.192939778394374
66,7.117,,287,,,,-3.0168172950877157
67,7.117,,289,,,,-3.0225479541135023
68,8.882,,299,,,,-3.227718901005845
69,9.275,,289,,,,-3.2383695362695595
70,9.275,,289,,,,-3.2383695362695595
71,9.275,,288,,,,-3.235504206756666
72,9.275,,275,,,,-3.1982549230890553
73,9.275,,279,,,,-3.2097162411406277
74,9.275,,287,,,,-3.2326388772437733
75,9.275,,280,,,,-3.212581570653521
76,9.275,,278,,,,-3.206850911627735
77,9.123,,279,,,,-3.1945147209887645
78,9.123,,287,,,,-3.21743735709191
79,9.123,,297,,,,-3.2460906522208415
80,9.123,,299,,,,-3.251821311246628
81,9.272,,298,,,,-3.2638574718826003
82,9.272,,291,,,,-3.2438001652923485
83,9.272,,287,,,,-3.2323388472407757
84,9.272,,283,,,,-3.2208775291892033
85,9.272,,293,,,,-3.2495308243181347
86,9.272,,273,,,,-3.1922242340602716
87,9.272,,272,,,,-3.1893589045473782
88,8.57,,276,,,,-3.130613201897583
89,8.396,,268,,,,-3.0902888256205943
90,8.396,,271,,,,-3.0988848141592737
91,9.662,,273,,,,-3.2312281344499203
92,9.662,,276,,,,-3.2398241229886002
93,9.662,,281,,,,-3.254150770553066
94,9.683,,284,,,,-3.2648469691127264
95,9.683,,284,,,,-3.2648469691127264
96,9.683,,289,,,,-3.279173616677192
97,9.683,,289,,,,-3.279173616677192
98,8.796,,281,,,,-3.1675421096878456
99,8.569,,277,,,,-3.133378521409477
100,8.569,,277,,,,-3.133378521409477
101,9.185,,271,,,,-3.1777927049475636
102,9.865,,275,,,,-3.257260823678524
103,9.865,,290,,,,-3.3002407663719215
104,9.865,,293,,,,-3.308836754910601
105,8.569,,296,,,,-3.187819782154447
106,8.569,,286,,,,-3.1591664870255154
107,6.405,,293,,,,-2.9628021514537157
108,6.405,,305,,,,-2.9971861056084337
109,6.845,,293,,,,-3.0068065518933196
110,6.845,,283,,,,-2.978153256764388
111,8.484,,289,,,,-3.1592616254792714
112,9.939,,272,,,,-3.256065575213778
113,9.939,,265,,,,-3.2360082686235256
114,9.801,,267,,,,-3.2279375475114365
115,9.801,,265,,,,-3.2222068884856503
116,9.801,,259,,,,-3.2050149114082913
117,9.801,,261,,,,-3.2107455704340775
118,9.644,,277,,,,-3.240889272483509
119,9.644,,278,,,,-3.2437546019964025
120,9.644,,277,,,,-3.240889272483509
121,9.644,,272,,,,-3.2265626249190436
122,9.644,,291,,,,-3.2810038856640134
123,9.644,,301,,,,-3.309657180792945
124,9.927,,294,,,,-3.317902704485438
125,9.927,,304,,,,-3.34655599961437
126,9.927,,315,,,,-3.3780746242561945
127,9.927,,303,,,,-3.3436906701014766
128,9.329,,308,,,,-3.298211337068481
129,9.329,,301,,,,-3.2781540304782286
130,9.329,,304,,,,-3.2867500190169086
131,9.329,,299,,,,-3.2724233714524424
132,9.329,,296,,,,-3.263827382913763
133,9.329,,298,,,,-3.2695580419395496
134,9.329,,327,,,,-3.352652597813451
135,9.329,,297,,,,-3.2666927124266563
136,7.444,,311,,,,-3.118288473723857
137,5.744,,288,,,,-2.8823688932288447
138,6.026,,283,,,,-2.8962450659461254
139,6.026,,280,,,,-2.8876490774074455
140,6.682,,276,,,,-2.9417943200112826
141,9.608,,284,,,,-3.257346219037794
142,9.608,,305,,,,-3.31751813880855
143,9.698,,292,,,,-3.2892697552308583
144,8.187,,269,,,,-3.0722520649246756
145,9.674,,273,,,,-3.2324282544619094
146,9.674,,272,,,,-3.2295629249490165
147,9.674,,270,,,,-3.22383226592323
148,9.674,,273,,,,-3.2324282544619094
149,8.681,,272,,,,-3.13025299395691
150,9.943,,267,,,,-3.2421389676533083
151,9.943,,256,,,,-3.2106203430114837
152,7.992,,252,,,,-3.0040395130106674
153,3.168,,251,,,,-2.518725938678117
154,3.619,,265,,,,-2.603945062309215
155,9.131,,247,,,,-3.103624256584176
156,9.131,,244,,,,-3.0950282680454966
157,7.911,,248,,,,-2.9844773848781676
158,9.543,,259,,,,-3.179212331150523
159,9.543,,257,,,,-3.173481672124737
160,9.543,,263,,,,-3.190673649202096
161,8.372,,250,,,,-3.036312654364539
162,8.467,,253,,,,-3.054409592998133
163,8.372,,250,,,,-3.036312654364539
164,9.52,,252,,,,-3.156854794537292
165,8.445,,263,,,,-3.0808626681050844
166,9.18,,261,,,,-3.1486393598136364
167,9.18,,274,,,,-3.1858886434812472
168,9.18,,286,,,,-3.220272597635965
169,9.18,,283,,,,-3.211676609097286
170,9.18,,265,,,,-3.160100677865209
171,9.18,,282,,,,-3.208811279584393
172,9.862,,291,,,,-3.3028060658818172
173,9.862,,282,,,,-3.2770181002657788
174,9.862,,272,,,,-3.2483648051368474
175,9.862,,290,,,,-3.2999407363689244
176,9.381,,298,,,,-3.2747585619915025
177,9.381,,298,,,,-3.2747585619915025
178,9.381,,293,,,,-3.260431914427037
179,9.381,,294,,,,-3.2632972439399297
180,9.381,,280,,,,-3.2231826307594256
181,9.381,,282,,,,-3.2289132897852117
182,9.381,,287,,,,-3.243239937349678
183,9.381,,291,,,,-3.25470125540125
184,9.381,,313,,,,-3.3177385046849
185,9.381,,314,,,,-3.320603834197793
186,9.381,,309,,,,-3.306277186633327
187,9.381,,308,,,,-3.3034118571204343
188,9.381,,299,,,,-3.277623891504396
189,9.381,,297,,,,-3.271893232478609
190,8.085,,289,,,,-3.1193576350806307
191,8.085,,269,,,,-3.0620510448227676
192,8.085,,290,,,,-3.122222964593524
193,8.744,,298,,,,-3.211052191355076
194,8.744,,292,,,,-3.193860214277717
195,8.744,,292,,,,-3.193860214277717
196,9.22,,296,,,,-3.2529262928048612
197,9.755,,295,,,,-3.3035663138264866
198,9.755,,276,,,,-3.2491250530815163
199,8.085,,283,,,,-3.1021656580032717
200,8.687,,299,,,,-3.2082169508110203
201,8.085,,291,,,,-3.125088294106417
202,9.179,,291,,,,-3.234499235199432
203,9.179,,281,,,,-3.2058459400705006
204,9.179,,273,30.0,0.8307,0.6304,-3.007162210071222
205,9.179,,276,,,,-3.191519292506035
206,9.179,,282,,,,-3.208711269583394
207,9.179,,286,,,,-3.2201725876349663
208,6.069,,274,,,,-2.874757530373048
209,6.069,,260,,,,-2.834642917192544
210,6.069,,248,,,,-2.800258963037826
211,6.069,,266,,,,-2.8518348942699028
212,6.069,,258,,,,-2.8289122581667576
213,6.069,,254,,,,-2.817450940115185
214,5.859,,258,,,,-2.8079101579569468
