CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13201,PUENTE ALTO,2,"[2, 4]",568087,0.0768,0.076761
13101,SANTIAGO,3,"[1, 5, 7]",438856,0.0593,0.118598
13110,LA FLORIDA,2,"[4, 6]",374834,0.0506,0.050648
13401,SAN BERNARDO,2,"[1, 2]",306371,0.0414,0.041397
13114,LAS CONDES,2,"[3, 6]",296135,0.04,0.040014
13120,ÑUÑOA,3,"[1, 3, 6]",241467,0.0326,0.065255
13125,QUILICURA,3,"[3, 5, 7]",205624,0.0278,0.055568
13106,ESTACIÓN CENTRAL,2,"[0, 7]",181049,0.0245,0.024464
13112,LA PINTANA,3,"[1, 2, 4]",175421,0.0237,0.047406
13105,EL BOSQUE,2,"[1, 4]",155256,0.021,0.020978
13127,RECOLETA,2,"[3, 5]",154615,0.0209,0.020892
13302,LAMPA,2,"[3, 7]",145160,0.0196,0.019614
13123,PROVIDENCIA,3,"[3, 5, 6]",143973,0.0195,0.038908
13128,RENCA,2,"[5, 7]",143622,0.0194,0.019406
13501,MELIPILLA,2,"[0, 2]",136325,0.0184,0.01842
13126,QUINTA NORMAL,2,"[5, 7]",129352,0.0175,0.017478
13118,MACUL,2,"[1, 6]",123800,0.0167,0.016728
13104,CONCHALÍ,2,"[3, 5]",121587,0.0164,0.016429
13115,LO BARNECHEA,3,"[3, 4, 6]",112620,0.0152,0.030435
13111,LA GRANJA,2,"[1, 4]",112022,0.0151,0.015137
13109,LA CISTERNA,2,"[1, 4]",103157,0.0139,0.013939
13121,PEDRO AGUIRRE CERDA,2,"[0, 1]",96060,0.013,0.01298
13116,LO ESPEJO,2,"[0, 1]",87295,0.0118,0.011795
13603,ISLA DE MAIPO,2,"[0, 2]",39275,0.0053,0.005307
13503,CURACAVÍ,2,"[0, 7]",35165,0.0048,0.004752
13504,MARÍA PINTO,2,"[2, 7]",15352,0.0021,0.002074
