step,cut_edges,max_dev_pct,is_valid
0,263,8.557,True
1,258,8.557,True
2,275,9.866,True
3,284,9.866,True
4,276,9.866,True
5,264,7.871,True
6,261,9.074,True
7,261,9.074,True
8,254,9.074,True
9,270,9.074,True
10,270,9.074,True
11,270,9.074,True
12,257,9.074,True
13,249,9.074,True
14,264,9.074,True
15,263,7.955,True
16,266,9.974,True
17,240,8.183,True
18,236,8.514,True
19,238,8.514,True
20,240,8.514,True
21,249,9.605,True
22,260,9.605,True
23,260,9.605,True
24,252,9.605,True
25,252,9.605,True
26,253,9.605,True
27,255,8.514,True
28,255,8.514,True
29,259,8.611,True
30,242,8.514,True
31,242,8.514,True
32,240,8.514,True
33,240,8.514,True
34,248,8.514,True
35,255,8.514,True
36,251,8.514,True
37,248,8.514,True
38,245,8.514,True
39,249,8.514,True
40,253,8.514,True
41,256,8.18,True
42,265,8.18,True
43,270,9.759,True
44,269,9.759,True
45,270,9.759,True
46,284,9.759,True
47,282,9.759,True
48,275,9.759,True
49,275,8.392,True
50,274,8.506,True
51,267,6.511,True
52,254,6.511,True
53,254,6.511,True
54,253,7.761,True
55,249,8.424,True
56,248,8.424,True
57,257,9.612,True
58,262,9.612,True
59,275,9.612,True
60,275,9.796,True
61,266,8.964,True
62,260,8.964,True
63,255,9.299,True
64,271,9.299,True
65,284,8.964,True
66,287,7.117,True
67,289,7.117,True
68,299,8.882,True
69,289,9.275,True
70,289,9.275,True
71,288,9.275,True
72,275,9.275,True
73,279,9.275,True
74,287,9.275,True
75,280,9.275,True
76,278,9.275,True
77,279,9.123,True
78,287,9.123,True
79,297,9.123,True
80,299,9.123,True
81,298,9.272,True
82,291,9.272,True
83,287,9.272,True
84,283,9.272,True
85,293,9.272,True
86,273,9.272,True
87,272,9.272,True
88,276,8.57,True
89,268,8.396,True
90,271,8.396,True
91,273,9.662,True
92,276,9.662,True
93,281,9.662,True
94,284,9.683,True
95,284,9.683,True
96,289,9.683,True
97,289,9.683,True
98,281,8.796,True
99,277,8.569,True
100,277,8.569,True
101,271,9.185,True
102,275,9.865,True
103,290,9.865,True
104,293,9.865,True
105,296,8.569,True
106,286,8.569,True
107,293,6.405,True
108,305,6.405,True
109,293,6.845,True
110,283,6.845,True
111,289,8.484,True
112,272,9.939,True
113,265,9.939,True
114,267,9.801,True
115,265,9.801,True
116,259,9.801,True
117,261,9.801,True
118,277,9.644,True
119,278,9.644,True
120,277,9.644,True
121,272,9.644,True
122,291,9.644,True
123,301,9.644,True
124,294,9.927,True
125,304,9.927,True
126,315,9.927,True
127,303,9.927,True
128,308,9.329,True
129,301,9.329,True
130,304,9.329,True
131,299,9.329,True
132,296,9.329,True
133,298,9.329,True
134,327,9.329,True
135,297,9.329,True
136,311,7.444,True
137,288,5.744,True
138,283,6.026,True
139,280,6.026,True
140,276,6.682,True
141,284,9.608,True
142,305,9.608,True
143,292,9.698,True
144,269,8.187,True
145,273,9.674,True
146,272,9.674,True
147,270,9.674,True
148,273,9.674,True
149,272,8.681,True
150,267,9.943,True
151,256,9.943,True
152,252,7.992,True
153,251,3.168,True
154,265,3.619,True
155,247,9.131,True
156,244,9.131,True
157,248,7.911,True
158,259,9.543,True
159,257,9.543,True
160,263,9.543,True
161,250,8.372,True
162,253,8.467,True
163,250,8.372,True
164,252,9.52,True
165,263,8.445,True
166,261,9.18,True
167,274,9.18,True
168,286,9.18,True
169,283,9.18,True
170,265,9.18,True
171,282,9.18,True
172,291,9.862,True
173,282,9.862,True
174,272,9.862,True
175,290,9.862,True
176,298,9.381,True
177,298,9.381,True
178,293,9.381,True
179,294,9.381,True
180,280,9.381,True
181,282,9.381,True
182,287,9.381,True
183,291,9.381,True
184,313,9.381,True
185,314,9.381,True
186,309,9.381,True
187,308,9.381,True
188,299,9.381,True
189,297,9.381,True
190,289,8.085,True
191,269,8.085,True
192,290,8.085,True
193,298,8.744,True
194,292,8.744,True
195,292,8.744,True
196,296,9.22,True
197,295,9.755,True
198,276,9.755,True
199,283,8.085,True
200,299,8.687,True
201,291,8.085,True
202,291,9.179,True
203,281,9.179,True
204,273,9.179,True
205,276,9.179,True
206,282,9.179,True
207,286,9.179,True
208,274,6.069,True
209,260,6.069,True
210,248,6.069,True
211,266,6.069,True
212,258,6.069,True
213,254,6.069,True
214,258,5.859,True
215,265,6.437,True
216,259,8.567,True
217,261,7.571,True
218,267,5.441,True
219,268,5.441,True
220,262,9.565,True
221,255,9.565,True
222,261,9.565,True
223,258,9.565,True
224,253,6.348,True
225,261,6.248,True
226,258,9.661,True
227,257,9.661,True
228,259,9.661,True
229,268,9.661,True
230,272,9.011,True
231,277,9.823,True
232,271,9.011,True
233,270,9.011,True
234,283,9.785,True
235,278,9.011,True
236,277,9.011,True
237,278,9.011,True
238,270,9.011,True
239,271,9.011,True
240,264,9.75,True
241,262,9.893,True
242,259,9.893,True
243,272,9.206,True
244,277,9.675,True
245,282,9.206,True
246,279,9.011,True
247,281,9.011,True
248,277,8.853,True
249,282,8.853,True
250,281,8.853,True
251,291,8.853,True
252,272,8.853,True
253,262,9.108,True
254,261,9.108,True
255,264,9.108,True
256,267,6.268,True
257,268,9.637,True
258,266,9.637,True
259,261,9.637,True
260,255,9.637,True
261,261,9.637,True
262,261,9.637,True
263,263,9.637,True
264,263,9.751,True
265,271,9.568,True
266,271,9.568,True
267,276,9.568,True
268,271,9.608,True
269,266,9.608,True
270,258,9.608,True
271,270,9.608,True
272,272,9.664,True
273,278,5.333,True
274,273,9.482,True
275,286,5.333,True
276,286,5.333,True
277,280,5.333,True
278,286,8.274,True
279,269,6.497,True
280,278,6.497,True
281,282,5.6,True
282,272,8.519,True
283,271,8.613,True
284,267,8.519,True
285,265,9.859,True
286,266,9.859,True
287,266,9.859,True
288,272,9.859,True
289,270,9.859,True
290,264,9.859,True
291,264,9.859,True
292,270,9.403,True
293,285,9.403,True
294,299,9.215,True
295,289,9.215,True
296,289,9.215,True
297,289,9.215,True
298,289,9.215,True
299,289,9.215,True
