CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,2,"[3, 4]",438856,0.0593,0.059299
13110,LA FLORIDA,2,"[0, 5]",374834,0.0506,0.050648
13401,SAN BERNARDO,3,"[0, 2, 6]",306371,0.0414,0.082795
13120,ÑUÑOA,3,"[3, 4, 7]",241467,0.0326,0.065255
13122,PEÑALOLÉN,2,"[0, 7]",236478,0.032,0.031953
13124,PUDAHUEL,3,"[1, 2, 3]",227821,0.0308,0.061567
13106,ESTACIÓN CENTRAL,2,"[2, 3]",181049,0.0245,0.024464
13112,LA PINTANA,2,"[0, 5]",175421,0.0237,0.023703
13105,EL BOSQUE,3,"[0, 5, 6]",155256,0.021,0.041957
13130,SAN MIGUEL,2,"[0, 3]",150829,0.0204,0.02038
13123,PROVIDENCIA,2,"[4, 7]",143973,0.0195,0.019454
13128,RENCA,2,"[1, 4]",143622,0.0194,0.019406
13126,QUINTA NORMAL,2,"[1, 3]",129352,0.0175,0.017478
13103,CERRO NAVIA,2,"[1, 3]",127249,0.0172,0.017194
13118,MACUL,2,"[0, 7]",123800,0.0167,0.016728
13121,PEDRO AGUIRRE CERDA,2,"[0, 3]",96060,0.013,0.01298
13129,SAN JOAQUÍN,2,"[0, 3]",95602,0.0129,0.012918
13605,PEÑAFLOR,2,"[2, 6]",94402,0.0128,0.012756
13117,LO PRADO,2,"[2, 3]",91289,0.0123,0.012335
13116,LO ESPEJO,2,"[0, 3]",87295,0.0118,0.011795
13102,CERRILLOS,2,"[2, 3]",85041,0.0115,0.011491
13604,PADRE HURTADO,2,"[2, 6]",81243,0.011,0.010978
13202,PIRQUE,2,"[5, 6]",29060,0.0039,0.003927
13403,CALERA DE TANGO,2,"[2, 6]",25491,0.0034,0.003444
13504,MARÍA PINTO,2,"[1, 6]",15352,0.0021,0.002074
