step,cut_edges,max_dev_pct,is_valid
0,263,8.557,True
1,258,8.557,True
2,275,9.866,True
3,284,9.866,True
4,276,9.866,True
5,264,7.871,True
6,261,9.074,True
7,261,9.074,True
8,254,9.074,True
9,270,9.074,True
10,270,9.074,True
11,270,9.074,True
12,257,9.074,True
13,249,9.074,True
14,264,9.074,True
15,263,7.955,True
16,266,9.974,True
17,240,8.183,True
18,236,8.514,True
19,238,8.514,True
20,240,8.514,True
21,249,9.605,True
22,260,9.605,True
23,260,9.605,True
24,252,9.605,True
25,252,9.605,True
26,253,9.605,True
27,255,8.514,True
28,255,8.514,True
29,259,8.611,True
30,242,8.514,True
31,242,8.514,True
32,240,8.514,True
33,240,8.514,True
34,248,8.514,True
35,255,8.514,True
36,251,8.514,True
37,248,8.514,True
38,245,8.514,True
39,249,8.514,True
40,253,8.514,True
41,256,8.18,True
42,265,8.18,True
43,270,9.759,True
44,269,9.759,True
45,270,9.759,True
46,284,9.759,True
47,282,9.759,True
48,275,9.759,True
49,275,8.392,True
50,274,8.506,True
51,267,6.511,True
52,254,6.511,True
53,254,6.511,True
54,253,7.761,True
55,249,8.424,True
56,248,8.424,True
57,257,9.612,True
58,262,9.612,True
59,275,9.612,True
60,275,9.796,True
61,266,8.964,True
62,260,8.964,True
63,255,9.299,True
64,271,9.299,True
65,284,8.964,True
66,287,7.117,True
67,289,7.117,True
68,299,8.882,True
69,289,9.275,True
70,289,9.275,True
71,288,9.275,True
72,275,9.275,True
73,279,9.275,True
74,287,9.275,True
75,280,9.275,True
76,278,9.275,True
77,279,9.123,True
78,287,9.123,True
79,287,9.123,True
80,290,9.123,True
81,293,9.123,True
82,289,9.123,True
83,281,9.407,True
84,280,9.407,True
85,270,8.806,True
86,274,8.806,True
87,266,8.806,True
88,265,8.806,True
89,266,8.806,True
90,278,8.806,True
91,287,8.806,True
92,296,8.806,True
93,291,8.806,True
94,277,8.806,True
95,281,8.806,True
96,267,4.716,True
97,262,4.716,True
98,262,4.716,True
99,264,9.982,True
100,269,9.982,True
101,262,9.982,True
102,262,9.982,True
103,272,9.982,True
104,270,7.693,True
105,267,9.925,True
106,266,9.925,True
107,262,9.925,True
108,266,8.426,True
109,262,9.727,True
110,263,9.727,True
111,258,9.727,True
112,261,9.727,True
113,270,9.727,True
114,270,9.727,True
115,280,9.727,True
116,281,9.727,True
117,290,9.727,True
118,292,7.634,True
119,285,7.634,True
120,275,7.634,True
121,276,7.36,True
122,273,7.36,True
123,276,7.36,True
124,278,7.36,True
125,281,7.36,True
126,264,7.36,True
127,266,7.36,True
128,280,8.402,True
129,282,8.402,True
130,280,8.402,True
131,289,8.402,True
132,277,8.402,True
133,281,8.402,True
134,286,9.949,True
135,279,9.949,True
136,279,9.949,True
137,276,9.949,True
138,268,9.949,True
139,266,9.949,True
140,266,9.949,True
141,263,9.949,True
142,263,9.949,True
143,263,9.949,True
144,269,9.949,True
145,261,9.524,True
146,264,9.524,True
147,254,9.82,True
148,249,9.82,True
149,246,9.82,True
150,249,9.82,True
151,249,9.82,True
152,259,8.857,True
153,264,9.793,True
154,263,8.857,True
155,248,8.857,True
156,239,8.857,True
157,235,8.857,True
158,239,8.857,True
159,239,8.857,True
160,243,8.857,True
161,265,9.905,True
162,281,9.905,True
163,279,9.905,True
164,279,9.905,True
165,251,8.478,True
166,251,8.478,True
167,254,8.204,True
168,262,8.204,True
169,263,8.204,True
170,268,8.204,True
171,270,8.204,True
172,267,9.203,True
173,276,7.69,True
174,281,7.69,True
175,277,7.658,True
176,272,9.556,True
177,272,9.556,True
178,264,9.556,True
179,252,9.556,True
180,254,9.556,True
181,239,9.556,True
182,249,9.556,True
183,261,9.556,True
184,269,9.556,True
185,272,9.556,True
186,272,8.7,True
187,274,8.7,True
188,274,8.7,True
189,274,8.7,True
190,274,8.7,True
191,287,9.724,True
192,288,9.724,True
193,292,9.724,True
194,279,9.724,True
195,281,9.724,True
196,268,9.724,True
197,253,9.724,True
198,247,9.724,True
199,247,9.724,True
200,246,9.724,True
201,247,9.724,True
202,247,9.724,True
203,241,9.724,True
204,244,9.051,True
205,243,9.051,True
206,255,9.955,True
207,268,9.086,True
208,261,9.086,True
209,271,9.086,True
210,271,8.192,True
211,269,7.765,True
212,269,9.774,True
213,269,9.774,True
214,269,9.774,True
215,265,7.01,True
216,265,7.01,True
217,275,6.983,True
218,272,8.777,True
219,272,8.777,True
220,265,6.983,True
221,264,6.983,True
222,271,6.983,True
223,271,6.983,True
224,271,6.983,True
225,264,7.224,True
226,252,7.224,True
227,250,7.224,True
228,258,7.224,True
229,262,7.224,True
230,258,8.528,True
231,261,8.528,True
232,278,7.513,True
233,276,7.513,True
234,268,7.513,True
235,257,7.513,True
236,261,9.125,True
237,257,9.822,True
238,259,9.822,True
239,248,9.822,True
240,243,5.858,True
241,230,7.306,True
242,227,7.306,True
243,233,5.858,True
244,234,8.891,True
245,234,8.891,True
246,231,8.891,True
247,231,8.891,True
248,234,9.776,True
249,235,8.891,True
250,235,8.891,True
251,228,8.891,True
252,230,8.891,True
253,230,8.891,True
254,228,8.891,True
255,226,8.79,True
256,227,8.834,True
257,240,8.834,True
258,229,7.213,True
259,240,6.683,True
260,245,6.683,True
261,241,6.809,True
262,252,6.809,True
263,252,6.809,True
264,246,6.809,True
265,242,8.553,True
266,250,8.553,True
267,242,8.602,True
268,242,8.602,True
269,226,8.7,True
270,223,8.553,True
271,220,8.553,True
272,222,6.809,True
273,230,8.957,True
274,230,8.957,True
275,257,8.698,True
276,231,8.698,True
277,227,6.809,True
278,220,6.809,True
279,220,6.809,True
280,224,6.809,True
281,227,5.959,True
282,224,8.408,True
283,225,8.408,True
284,238,8.777,True
285,247,8.777,True
286,247,8.777,True
287,257,8.777,True
288,256,8.777,True
289,255,8.777,True
290,248,9.669,True
291,253,9.669,True
292,246,9.669,True
293,249,9.669,True
294,248,9.669,True
295,250,9.775,True
296,247,9.775,True
297,247,9.775,True
298,252,9.775,True
299,257,9.775,True
