plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,8.557,,263,25.0,0.9487,0.6838,-1.1498399298299917
1,8.557,,258,,,,-1.1351771732317555
2,9.866,,275,,,,-1.3159305456644494
3,9.866,,283,,,,-1.339390956221627
4,7.528,,275,,,,-1.0821305456667873
5,7.528,,280,,,,-1.0967933022650236
6,7.528,,281,,,,-1.0997258535846708
7,7.528,,262,,,,-1.0440073785113733
8,7.528,,296,,,,-1.1437141233793793
9,7.624,,285,,,,-1.1210560588631637
10,9.984,,283,,,,-1.3511909562215094
11,9.984,,283,,,,-1.3511909562215094
12,9.984,,287,,,,-1.3629211615000982
13,9.984,,282,,,,-1.348258404901862
14,9.858,,292,,,,-1.3649839180984604
15,9.858,,292,,,,-1.3649839180984604
16,9.858,,260,,,,-1.2711422758697488
17,8.187,,259,,,,-1.1011097245517727
18,8.187,,277,,,,-1.1538956483054228
19,8.187,,299,,,,-1.218411777337662
20,8.187,,290,,,,-1.1920188154608369
21,8.187,,295,,,,-1.2066815720590731
22,8.922,,287,,,,-1.2567211615011602
23,8.922,,273,,,,-1.215665443026099
24,9.542,,273,,,,-1.277665443025479
25,9.542,,265,,,,-1.2542050324683012
26,9.542,,264,,,,-1.2512724811486537
27,9.542,,264,,,,-1.2512724811486537
28,9.832,,260,,,,-1.2685422758697749
29,9.832,,264,,,,-1.280272481148364
30,9.832,,262,,,,-1.2744073785090695
31,9.832,,260,,,,-1.2685422758697749
32,9.832,,271,,,,-1.3008003403858943
33,9.832,,266,,,,-1.2861375837876583
34,9.832,,258,,,,-1.2626771732304805
35,9.832,,259,,,,-1.2656097245501277
36,9.589,,260,,,,-1.244242275870018
37,9.589,,266,,,,-1.2618375837879015
38,9.589,,263,,,,-1.2530399298289596
39,7.535,,273,,,,-1.076965443027486
40,7.535,,271,,,,-1.0711003403881914
41,7.535,,276,,,,-1.0857630969864276
42,7.535,,266,,,,-1.0564375837899553
43,8.341,,273,,,,-1.15756544302668
44,7.535,,269,,,,-1.065235237748897
45,9.318,,261,,,,-1.2200748271899362
46,6.459,,267,,,,-0.9517701351106784
47,6.459,,270,,,,-0.9605677890696203
48,7.385,,282,,,,-1.088358404904461
49,9.808,,281,,,,-1.3277258535823908
50,6.8,,269,,,,-0.991735237749632
51,6.8,,278,,,,-1.018128199626457
52,6.8,,284,,,,-1.0357235075443405
53,6.8,,272,,,,-1.0005328917085736
54,5.184,,253,,,,-0.7832144166368922
55,5.184,,256,,,,-0.792012070595834
56,6.111,,254,,,,-0.8788469679556126
57,6.992,,260,,,,-0.9845422758726148
58,6.111,,261,,,,-0.8993748271931432
59,4.682,,261,,,,-0.7564748271945723
60,5.494,,261,,,,-0.8376748271937602
61,4.121,,272,,,,-0.7326328917112528
62,6.202,,284,,,,-0.9759235075449386
63,6.202,,292,,,,-0.9993839181021165
64,6.202,,294,,,,-1.0052490207414109
65,8.613,,298,,,,-1.2580792260175888
66,4.823,,288,,,,-0.8497537128249064
67,4.823,,289,,,,-0.8526862641445536
68,4.358,,289,,,,-0.8061862641450186
69,9.429,,283,,,,-1.2956909562220644
70,9.019,,261,,,,-1.1901748271902353
71,9.881,,256,,,,-1.261712070591137
72,9.019,,234,,,,-1.11099594155976
73,9.019,,234,,,,-1.11099594155976
74,9.019,,233,,,,-1.1080633902401127
75,9.019,,234,,,,-1.11099594155976
76,9.019,,238,,,,-1.1227261468383487
77,9.019,,239,,,,-1.1256586981579961
78,5.466,,254,,,,-0.8143469679562576
79,5.466,,266,,,,-0.8495375837920243
80,5.466,,256,,,,-0.820212070595552
81,7.402,,246,,,,-0.9844865573971435
82,9.406,,246,,,,-1.1848865573951397
83,9.406,,246,,,,-1.1848865573951397
84,9.894,,249,,,,-1.2424842113535934
85,9.894,,235,,,,-1.2014284928785322
86,9.894,,220,,,,-1.1574402230838237
87,9.894,,232,,,,-1.1926308389195905
88,9.894,,242,,,,-1.2219563521160626
89,9.894,,239,,,,-1.213158698157121
90,9.894,,246,,,,-1.2336865573946516
91,9.894,,245,,,,-1.2307540060750044
92,9.894,,249,,,,-1.2424842113535934
