step,cut_edges,max_dev_pct,is_valid
0,263,8.557,True
1,258,8.557,True
2,275,9.866,True
3,283,9.866,True
4,275,7.528,True
5,280,7.528,True
6,281,7.528,True
7,262,7.528,True
8,296,7.528,True
9,285,7.624,True
10,283,9.984,True
11,283,9.984,True
12,287,9.984,True
13,282,9.984,True
14,292,9.858,True
15,292,9.858,True
16,260,9.858,True
17,259,8.187,True
18,277,8.187,True
19,299,8.187,True
20,290,8.187,True
21,295,8.187,True
22,287,8.922,True
23,273,8.922,True
24,273,9.542,True
25,265,9.542,True
26,264,9.542,True
27,264,9.542,True
28,260,9.832,True
29,264,9.832,True
30,262,9.832,True
31,260,9.832,True
32,271,9.832,True
33,266,9.832,True
34,258,9.832,True
35,259,9.832,True
36,260,9.589,True
37,266,9.589,True
38,263,9.589,True
39,273,7.535,True
40,271,7.535,True
41,276,7.535,True
42,266,7.535,True
43,273,8.341,True
44,269,7.535,True
45,261,9.318,True
46,267,6.459,True
47,270,6.459,True
48,282,7.385,True
49,281,9.808,True
50,269,6.8,True
51,278,6.8,True
52,284,6.8,True
53,272,6.8,True
54,253,5.184,True
55,256,5.184,True
56,254,6.111,True
57,260,6.992,True
58,261,6.111,True
59,261,4.682,True
60,261,5.494,True
61,272,4.121,True
62,284,6.202,True
63,292,6.202,True
64,294,6.202,True
65,298,8.613,True
66,288,4.823,True
67,289,4.823,True
68,289,4.358,True
69,283,9.429,True
70,261,9.019,True
71,256,9.881,True
72,234,9.019,True
73,234,9.019,True
74,233,9.019,True
75,234,9.019,True
76,238,9.019,True
77,239,9.019,True
78,254,5.466,True
79,266,5.466,True
80,256,5.466,True
81,246,7.402,True
82,246,9.406,True
83,246,9.406,True
84,249,9.894,True
85,235,9.894,True
86,220,9.894,True
87,232,9.894,True
88,242,9.894,True
89,239,9.894,True
90,246,9.894,True
91,245,9.894,True
92,249,9.894,True
93,289,9.894,True
94,287,9.894,True
95,299,9.894,True
96,255,9.894,True
97,254,9.894,True
98,256,9.894,True
99,265,9.383,True
100,264,9.383,True
101,260,9.383,True
102,260,8.576,True
103,265,7.734,True
104,264,7.734,True
105,267,7.755,True
106,260,7.755,True
107,273,7.755,True
108,268,8.328,True
109,243,9.107,True
110,237,9.107,True
111,238,9.107,True
112,243,9.107,True
113,249,8.328,True
114,261,8.328,True
115,266,8.328,True
116,261,8.328,True
117,263,8.149,True
118,263,9.12,True
119,245,9.12,True
120,246,9.12,True
121,246,9.12,True
122,247,9.12,True
123,249,9.12,True
124,254,9.12,True
125,265,9.12,True
126,272,9.12,True
127,292,9.12,True
128,286,9.729,True
129,293,9.729,True
130,314,9.12,True
131,310,9.12,True
132,316,9.12,True
133,318,9.12,True
134,322,9.12,True
135,317,8.01,True
136,326,9.197,True
137,305,9.197,True
138,298,9.197,True
139,271,9.966,True
140,282,8.485,True
141,271,8.485,True
142,283,8.485,True
143,281,8.485,True
144,277,8.485,True
145,290,7.855,True
146,293,4.724,True
147,275,4.724,True
148,275,4.724,True
149,295,4.724,True
150,296,5.511,True
151,303,5.541,True
152,293,5.541,True
153,283,9.126,True
154,284,9.367,True
155,285,9.126,True
156,304,7.757,True
157,298,7.309,True
158,293,7.309,True
159,302,7.309,True
160,301,7.309,True
161,297,7.309,True
162,290,9.674,True
163,310,9.674,True
164,284,9.674,True
165,305,9.674,True
166,292,9.674,True
167,294,9.674,True
168,305,9.499,True
169,297,7.923,True
170,302,9.564,True
171,304,8.686,True
172,315,8.686,True
173,322,8.686,True
174,312,8.686,True
175,321,8.686,True
176,322,8.686,True
177,329,7.902,True
178,331,7.902,True
179,333,8.295,True
180,322,8.295,True
181,308,9.439,True
182,303,9.439,True
183,287,5.182,True
184,286,5.669,True
185,301,6.735,True
186,300,5.182,True
187,300,5.182,True
188,293,8.245,True
189,293,8.245,True
190,301,6.161,True
191,289,4.343,True
192,287,4.193,True
193,285,7.062,True
194,284,4.098,True
195,282,8.425,True
196,280,8.947,True
197,281,8.947,True
198,278,8.947,True
199,276,7.279,True
200,269,6.794,True
201,264,8.74,True
202,267,8.74,True
203,264,8.329,True
204,265,8.682,True
205,260,8.682,True
206,265,8.682,True
207,272,8.682,True
208,278,8.682,True
209,277,8.682,True
210,288,8.682,True
211,286,8.682,True
212,283,8.574,True
213,286,8.574,True
214,288,8.574,True
215,279,7.309,True
216,302,9.98,True
217,299,9.98,True
218,299,9.75,True
219,299,8.337,True
220,290,8.337,True
221,296,8.337,True
222,273,8.337,True
223,270,8.337,True
224,268,9.764,True
225,264,9.764,True
226,264,9.764,True
227,275,8.54,True
228,265,8.54,True
229,260,8.54,True
230,259,8.54,True
231,256,8.54,True
232,262,8.54,True
233,267,8.54,True
234,264,9.526,True
235,272,9.526,True
236,275,8.337,True
237,266,9.374,True
238,264,9.374,True
239,266,9.374,True
240,271,9.374,True
241,270,9.374,True
242,265,9.374,True
243,276,9.374,True
244,277,8.327,True
245,285,8.627,True
246,281,9.486,True
247,283,9.486,True
248,276,8.627,True
249,274,7.309,True
250,282,7.309,True
251,276,7.309,True
252,277,7.785,True
253,274,9.639,True
254,267,9.639,True
255,268,9.639,True
256,264,9.727,True
257,260,9.727,True
258,259,9.727,True
259,265,9.727,True
260,266,9.727,True
261,270,9.727,True
262,274,9.336,True
263,274,9.4,True
264,292,9.4,True
265,294,9.4,True
266,300,9.4,True
267,294,9.4,True
268,274,9.714,True
269,269,9.714,True
270,273,9.714,True
271,261,9.668,True
272,261,9.668,True
273,255,9.668,True
274,275,9.668,True
275,274,9.755,True
276,281,9.755,True
277,285,9.755,True
278,281,9.755,True
279,273,9.755,True
280,275,7.925,True
281,280,7.925,True
282,290,9.137,True
283,298,6.866,True
284,297,6.996,True
285,291,6.996,True
286,294,6.866,True
287,296,7.744,True
288,292,7.744,True
289,290,9.938,True
290,297,7.744,True
291,294,7.744,True
292,284,9.667,True
293,271,8.079,True
294,272,8.079,True
295,273,9.316,True
296,269,7.744,True
297,269,7.744,True
298,280,7.931,True
299,293,7.931,True
