CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,4,"[2, 4, 6, 7]",66697,0.2492,0.747643
13120,ÑUÑOA,3,"[1, 3, 6]",22142,0.0827,0.165468
13114,LAS CONDES,3,"[1, 4, 5]",20901,0.0781,0.156194
13110,LA FLORIDA,2,"[0, 3]",12887,0.0482,0.048152
13119,MAIPÚ,3,"[2, 5, 7]",11850,0.0443,0.088555
13123,PROVIDENCIA,2,"[1, 4]",10705,0.04,0.039999
13201,PUENTE ALTO,2,"[0, 3]",10243,0.0383,0.038273
13106,ESTACIÓN CENTRAL,2,"[2, 7]",6575,0.0246,0.024568
13130,SAN MIGUEL,2,"[3, 7]",6447,0.0241,0.024089
13401,SAN BERNARDO,2,"[0, 7]",5597,0.0209,0.020913
13108,INDEPENDENCIA,2,"[2, 6]",4602,0.0172,0.017195
13125,QUILICURA,2,"[2, 5]",4345,0.0162,0.016235
13124,PUDAHUEL,2,"[2, 5]",4198,0.0157,0.015686
13122,PEÑALOLÉN,2,"[1, 3]",3640,0.0136,0.013601
13115,LO BARNECHEA,2,"[3, 5]",3380,0.0126,0.012629
13127,RECOLETA,2,"[4, 5]",3205,0.012,0.011976
13109,LA CISTERNA,2,"[0, 3]",2993,0.0112,0.011183
13113,LA REINA,2,"[1, 3]",2981,0.0111,0.011139
13107,HUECHURABA,2,"[4, 5]",2893,0.0108,0.01081
13129,SAN JOAQUÍN,2,"[1, 3]",2456,0.0092,0.009177
13501,MELIPILLA,2,"[0, 5]",2446,0.0091,0.00914
13132,VITACURA,2,"[4, 5]",1829,0.0068,0.006834
13104,CONCHALÍ,2,"[2, 5]",1679,0.0063,0.006274
13111,LA GRANJA,2,"[0, 3]",1609,0.006,0.006012
13601,TALAGANTE,2,"[0, 5]",1397,0.0052,0.00522
13121,PEDRO AGUIRRE CERDA,2,"[3, 7]",1032,0.0039,0.003856
13116,LO ESPEJO,2,"[3, 7]",989,0.0037,0.003695
13131,SAN RAMÓN,2,"[0, 3]",883,0.0033,0.003299
13403,CALERA DE TANGO,2,"[0, 5]",726,0.0027,0.002713
13603,ISLA DE MAIPO,2,"[0, 5]",672,0.0025,0.002511
