step,cut_edges,max_dev_pct
0,254,25.27
1,243,26.994
2,246,26.994
3,247,23.792
4,264,26.62
5,255,26.62
6,255,26.62
7,276,26.62
8,250,26.62
9,242,20.388
10,241,20.388
11,241,20.388
12,254,24.106
13,257,24.106
14,251,25.577
15,240,25.212
16,227,25.212
17,232,25.984
18,239,25.984
19,248,25.984
20,245,24.423
21,245,24.423
22,232,22.448
23,231,26.542
24,214,26.542
25,227,26.542
26,227,26.542
27,229,26.542
28,217,26.542
29,225,26.542
30,234,24.116
31,231,24.116
32,234,17.04
33,225,23.61
34,255,23.61
35,244,23.61
36,253,24.95
37,256,24.95
38,238,24.95
39,237,24.95
40,248,24.95
41,224,26.902
42,214,26.902
43,218,26.902
44,225,26.902
45,233,26.902
46,242,26.902
47,235,26.902
48,249,18.131
49,246,15.718
50,248,15.008
51,250,15.008
52,253,15.008
53,256,23.416
54,254,23.416
55,257,26.336
56,260,26.336
57,255,26.336
58,261,25.688
59,274,26.244
60,273,27.068
61,260,27.068
62,264,27.068
63,252,27.068
64,263,27.068
65,250,27.068
66,250,27.068
67,258,27.068
68,253,25.957
69,254,25.957
70,257,25.957
71,261,25.957
72,260,26.698
73,255,26.698
74,261,26.698
75,252,25.957
76,253,25.957
77,258,25.957
78,247,25.957
79,256,25.957
80,260,25.957
81,259,25.957
82,254,25.957
83,247,25.957
84,271,25.201
85,272,25.201
86,248,24.094
87,254,24.094
88,264,24.094
89,279,24.094
90,278,24.094
91,268,26.854
92,268,26.854
93,262,26.854
94,255,26.854
95,257,26.854
96,264,26.854
97,265,26.854
98,268,22.459
99,271,23.981
100,278,23.981
101,264,23.981
102,266,23.981
103,282,23.981
104,287,24.182
105,298,27.003
106,302,27.003
107,294,27.003
108,290,27.003
109,301,27.003
110,288,27.003
111,269,27.003
112,266,27.003
113,267,27.003
114,264,27.003
115,259,27.003
116,268,27.003
117,273,27.164
118,268,27.212
119,307,27.212
120,298,27.164
121,295,27.164
122,306,27.164
123,293,27.003
124,262,27.003
125,242,26.767
126,247,24.032
127,249,24.032
128,249,24.032
129,251,24.032
130,257,24.032
131,258,24.032
132,257,24.702
133,257,24.702
134,250,24.702
135,261,16.141
136,260,16.141
137,270,15.584
138,261,15.584
139,267,25.201
140,271,25.201
141,271,25.201
142,273,25.201
143,292,25.201
144,276,25.347
145,248,25.347
146,247,25.383
147,252,25.383
148,259,26.716
149,265,25.383
150,278,25.383
151,268,25.383
152,271,25.703
153,268,25.703
154,260,25.703
155,250,25.703
156,248,24.31
157,266,26.137
158,265,26.137
159,264,23.263
160,254,22.474
161,241,22.474
