CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,5,"[1, 2, 3, 6, 7]",66697,0.2492,0.996858
13120,ÑUÑOA,4,"[0, 1, 6, 7]",22142,0.0827,0.248202
13114,LAS CONDES,2,"[0, 7]",20901,0.0781,0.078097
13110,LA FLORIDA,2,"[1, 5]",12887,0.0482,0.048152
13123,PROVIDENCIA,2,"[0, 7]",10705,0.04,0.039999
13201,PUENTE ALTO,2,"[1, 5]",10243,0.0383,0.038273
13106,ESTACIÓN CENTRAL,2,"[2, 4]",6575,0.0246,0.024568
13130,SAN MIGUEL,2,"[1, 2]",6447,0.0241,0.024089
13124,PUDAHUEL,2,"[3, 4]",4198,0.0157,0.015686
13122,PEÑALOLÉN,2,"[0, 1]",3640,0.0136,0.013601
13115,LO BARNECHEA,3,"[0, 1, 3]",3380,0.0126,0.025259
13109,LA CISTERNA,2,"[2, 5]",2993,0.0112,0.011183
13117,LO PRADO,2,"[2, 4]",2636,0.0098,0.009849
13501,MELIPILLA,2,"[4, 5]",2446,0.0091,0.00914
13126,QUINTA NORMAL,2,"[2, 3]",2431,0.0091,0.009083
13404,PAINE,2,"[1, 5]",1849,0.0069,0.006909
13111,LA GRANJA,3,"[1, 2, 5]",1609,0.006,0.012024
13121,PEDRO AGUIRRE CERDA,2,"[2, 4]",1032,0.0039,0.003856
13116,LO ESPEJO,3,"[2, 4, 5]",989,0.0037,0.007391
13602,EL MONTE,2,"[4, 5]",969,0.0036,0.003621
13131,SAN RAMÓN,2,"[2, 5]",883,0.0033,0.003299
13603,ISLA DE MAIPO,2,"[4, 5]",672,0.0025,0.002511
13202,PIRQUE,2,"[1, 5]",568,0.0021,0.002122
13503,CURACAVÍ,2,"[4, 5]",390,0.0015,0.001457
