step,cut_edges,max_dev_pct
0,257,22.683
1,265,22.683
2,272,21.165
3,272,21.165
4,287,21.165
5,288,24.501
6,282,24.501
7,280,24.501
8,270,24.501
9,278,24.501
10,275,24.501
11,275,22.166
12,265,21.85
13,275,23.948
14,281,23.948
15,275,23.948
16,309,22.914
17,303,22.914
18,280,22.914
19,271,22.914
20,271,22.914
21,285,22.914
22,282,22.914
23,289,22.914
24,287,23.928
25,286,24.627
26,291,24.627
27,277,24.627
28,277,24.627
29,305,24.627
30,272,24.627
31,269,24.627
32,271,24.627
33,263,22.505
34,300,22.505
35,286,22.505
36,283,23.789
37,270,23.927
38,268,23.789
39,261,23.789
40,259,24.372
41,256,23.789
42,262,23.789
43,279,23.789
44,295,23.789
45,282,23.789
46,286,23.789
47,282,23.789
48,280,22.505
49,275,22.505
50,278,22.505
51,261,22.505
52,253,22.505
53,248,23.194
54,263,23.194
55,265,22.505
56,266,19.963
57,269,15.488
58,289,14.852
59,290,14.852
60,291,14.852
61,274,15.993
62,271,14.852
63,283,15.405
64,285,17.378
65,286,21.569
66,292,21.569
67,290,21.569
68,301,21.569
69,302,21.569
70,284,22.301
71,283,22.301
72,280,22.301
73,285,21.569
74,281,20.985
75,281,20.985
76,274,20.985
77,277,24.133
78,276,24.133
79,277,24.133
80,273,21.694
81,267,21.694
82,285,20.379
83,274,24.185
84,271,24.185
85,279,24.185
86,279,24.185
87,261,24.185
88,248,24.185
89,261,24.077
90,259,24.077
91,284,24.077
92,297,24.077
93,290,24.077
94,277,19.629
95,263,19.629
96,274,23.191
97,282,22.923
98,286,22.923
99,283,22.923
100,295,20.633
101,286,20.633
102,284,20.492
103,282,20.492
104,274,17.572
105,272,22.218
106,284,22.218
107,278,22.218
108,281,22.218
109,275,23.64
110,275,23.64
111,285,23.64
112,281,23.64
113,286,23.64
114,284,20.423
115,275,20.423
116,271,20.423
117,294,23.342
118,302,23.064
119,320,23.064
120,303,23.064
121,282,23.064
122,282,23.064
123,280,23.064
124,273,22.609
125,275,22.609
126,276,23.49
127,286,23.49
128,287,22.435
129,279,22.435
130,262,23.644
131,261,23.644
132,260,23.644
133,254,23.644
134,253,23.644
135,247,23.644
136,245,24.469
137,245,24.312
138,246,24.312
139,243,24.312
140,253,24.312
141,264,24.312
142,268,22.146
143,269,20.663
144,263,20.663
145,257,22.967
146,242,22.967
147,241,22.967
148,245,22.967
149,244,22.967
150,243,22.967
151,243,22.967
152,258,24.244
153,264,22.967
154,250,22.967
155,258,22.967
156,254,22.967
157,251,22.967
158,256,22.967
159,248,22.967
160,251,22.967
161,257,22.967
162,260,12.258
163,257,18.818
164,256,18.818
165,262,22.454
166,281,22.454
167,288,22.454
168,288,22.454
169,286,22.454
170,258,22.454
171,247,22.713
172,247,24.678
173,248,24.678
174,243,24.678
175,233,21.38
176,238,21.38
177,243,24.475
178,242,24.475
179,238,24.475
180,239,24.475
181,241,24.475
182,252,24.475
183,246,24.475
184,246,24.475
185,257,24.475
186,252,24.277
187,267,22.283
188,260,20.92
189,256,22.872
190,272,22.872
191,251,23.637
192,245,23.637
193,251,20.755
194,251,22.819
195,249,22.819
196,244,22.819
197,252,22.819
198,272,22.819
199,274,22.819
200,273,22.819
201,272,22.819
202,253,22.819
203,253,20.979
204,253,20.979
205,260,24.169
206,264,24.169
207,241,24.552
208,256,20.979
