CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,5,"[0, 4, 5, 6, 7]",66697,0.2492,0.996858
13114,LAS CONDES,3,"[1, 3, 7]",20901,0.0781,0.156194
13119,MAIPÚ,3,"[0, 2, 6]",11850,0.0443,0.088555
13123,PROVIDENCIA,2,"[3, 7]",10705,0.04,0.039999
13118,MACUL,3,"[0, 1, 5]",8363,0.0312,0.062497
13106,ESTACIÓN CENTRAL,2,"[2, 6]",6575,0.0246,0.024568
13401,SAN BERNARDO,2,"[0, 2]",5597,0.0209,0.020913
13108,INDEPENDENCIA,2,"[6, 7]",4602,0.0172,0.017195
13125,QUILICURA,2,"[3, 6]",4345,0.0162,0.016235
13124,PUDAHUEL,2,"[2, 6]",4198,0.0157,0.015686
13112,LA PINTANA,3,"[0, 1, 2]",3948,0.0148,0.029504
13122,PEÑALOLÉN,2,"[1, 5]",3640,0.0136,0.013601
13127,RECOLETA,2,"[6, 7]",3205,0.012,0.011976
13301,COLINA,2,"[3, 6]",3019,0.0113,0.011281
13113,LA REINA,2,"[3, 5]",2981,0.0111,0.011139
13117,LO PRADO,2,"[2, 6]",2636,0.0098,0.009849
13129,SAN JOAQUÍN,3,"[0, 1, 5]",2456,0.0092,0.018354
13102,CERRILLOS,3,"[0, 2, 6]",2099,0.0078,0.015686
13404,PAINE,2,"[1, 2]",1849,0.0069,0.006909
13132,VITACURA,2,"[3, 7]",1829,0.0068,0.006834
13111,LA GRANJA,2,"[0, 1]",1609,0.006,0.006012
13503,CURACAVÍ,2,"[2, 3]",390,0.0015,0.001457
