step,cut_edges,max_dev_pct
0,230,13.6
1,248,13.6
2,247,13.6
3,266,14.451
4,279,13.6
5,242,15.428
6,238,15.428
7,245,15.428
8,257,15.428
9,256,15.428
10,257,15.428
11,261,13.68
12,257,13.6
13,248,13.6
14,246,13.166
15,243,13.551
16,247,13.166
17,253,12.957
18,246,15.216
19,260,15.528
20,248,15.528
21,253,15.528
22,250,12.957
23,243,14.219
24,234,14.219
25,232,14.219
26,240,13.328
27,242,10.736
28,280,10.963
29,283,14.615
30,278,10.963
31,273,13.043
32,240,10.736
33,239,10.392
34,235,10.392
35,240,8.754
36,240,15.372
37,245,15.372
38,247,9.393
39,243,14.299
40,246,14.299
41,255,15.567
42,257,14.299
43,251,14.299
44,248,14.299
45,245,14.299
46,249,14.299
47,254,11.731
48,251,12.514
49,256,12.514
50,258,12.514
51,263,14.591
52,261,14.591
53,254,12.651
54,248,13.031
55,260,6.901
56,254,15.402
57,254,15.402
58,250,15.402
59,247,15.402
60,239,15.402
61,245,15.402
62,239,13.548
63,240,13.734
64,249,12.906
65,247,14.46
66,256,14.46
67,254,14.003
68,273,15.187
69,271,15.446
70,272,15.446
71,282,15.446
72,274,15.446
73,270,14.947
74,279,14.947
75,283,15.109
76,279,15.109
77,278,15.109
78,260,15.109
79,260,15.109
80,260,15.109
81,267,15.109
82,263,13.689
83,267,13.133
84,261,13.133
85,266,13.133
86,258,13.796
87,259,10.499
88,259,11.289
89,256,11.289
90,250,11.289
91,240,15.431
92,248,15.431
93,237,15.431
94,242,15.431
95,239,15.584
96,241,15.584
97,247,14.926
98,250,14.926
99,257,14.732
100,254,11.289
101,245,15.315
102,254,15.315
103,245,12.494
104,257,12.494
105,256,13.1
106,265,12.494
107,281,12.494
108,287,12.494
109,274,12.508
110,271,13.286
111,269,13.286
112,262,13.286
113,254,12.508
114,268,13.116
115,280,14.897
116,271,14.897
117,274,14.897
118,255,14.897
119,248,14.897
120,253,14.897
121,256,14.897
122,254,14.897
123,272,15.53
124,274,15.067
125,274,15.067
126,269,14.897
127,268,14.897
128,257,13.775
129,239,13.524
130,241,13.524
131,242,13.306
132,248,14.087
133,250,14.087
134,249,14.087
135,249,9.235
136,243,13.85
137,230,13.85
138,235,13.85
139,232,13.85
140,235,13.85
141,252,15.575
142,252,15.575
143,273,15.575
144,242,15.575
145,237,15.575
146,237,15.575
147,243,13.082
148,252,10.984
149,252,13.859
150,250,15.465
151,255,15.465
152,251,14.685
153,262,11.429
154,265,12.992
155,262,12.992
156,308,12.992
157,323,13.573
158,293,14.559
159,293,14.559
160,273,15.402
161,275,15.402
162,260,14.706
163,256,14.706
164,269,14.388
165,267,14.388
166,266,14.388
167,265,8.898
168,280,11.905
169,260,14.577
170,259,14.577
171,261,14.577
172,283,14.577
173,266,14.577
174,276,10.227
175,268,10.227
176,269,14.52
177,265,14.52
178,262,14.52
179,269,12.502
180,261,13.379
181,278,13.379
182,287,13.979
183,291,13.979
184,297,13.979
185,294,13.979
186,276,13.979
187,250,14.353
188,261,14.353
189,256,14.353
190,267,13.979
191,264,13.336
192,257,13.716
193,256,13.716
194,258,13.716
195,254,13.716
196,252,13.716
197,250,13.716
198,273,13.716
199,269,13.716
200,266,11.43
201,240,13.964
202,237,13.964
203,240,13.964
204,240,15.546
205,243,15.546
206,241,15.546
207,242,11.43
208,227,11.43
209,234,11.43
210,224,11.43
211,236,11.43
212,245,11.43
213,246,11.43
214,243,14.173
215,245,15.217
216,244,15.217
217,246,15.217
218,240,15.217
