CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,5,"[0, 3, 4, 5, 7]",66697,0.2492,0.996858
13120,ÑUÑOA,2,"[1, 3]",22142,0.0827,0.082734
13114,LAS CONDES,3,"[1, 2, 3]",20901,0.0781,0.156194
13110,LA FLORIDA,2,"[1, 2]",12887,0.0482,0.048152
13119,MAIPÚ,2,"[6, 7]",11850,0.0443,0.044278
13123,PROVIDENCIA,2,"[1, 3]",10705,0.04,0.039999
13118,MACUL,2,"[1, 3]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,2,"[4, 7]",6575,0.0246,0.024568
13401,SAN BERNARDO,2,"[0, 6]",5597,0.0209,0.020913
13125,QUILICURA,2,"[4, 6]",4345,0.0162,0.016235
13124,PUDAHUEL,2,"[6, 7]",4198,0.0157,0.015686
13112,LA PINTANA,2,"[0, 2]",3948,0.0148,0.014752
13128,RENCA,2,"[6, 7]",3584,0.0134,0.013392
13115,LO BARNECHEA,2,"[2, 4]",3380,0.0126,0.012629
13113,LA REINA,2,"[1, 2]",2981,0.0111,0.011139
13302,LAMPA,2,"[4, 6]",2580,0.0096,0.00964
13129,SAN JOAQUÍN,3,"[0, 2, 3]",2456,0.0092,0.018354
13126,QUINTA NORMAL,2,"[6, 7]",2431,0.0091,0.009083
13102,CERRILLOS,2,"[0, 7]",2099,0.0078,0.007843
13103,CERRO NAVIA,2,"[6, 7]",1872,0.007,0.006995
13404,PAINE,3,"[0, 2, 6]",1849,0.0069,0.013818
13132,VITACURA,3,"[2, 3, 4]",1829,0.0068,0.013668
13104,CONCHALÍ,2,"[4, 7]",1679,0.0063,0.006274
13111,LA GRANJA,2,"[0, 2]",1609,0.006,0.006012
