step,cut_edges,max_dev_pct
0,258,22.765
1,252,22.765
2,247,22.765
3,230,22.833
4,229,22.833
5,228,22.833
6,226,23.058
7,235,23.058
8,255,23.189
9,259,24.384
10,263,24.384
11,274,24.384
12,275,24.384
13,285,24.384
14,284,23.189
15,282,23.189
16,273,23.237
17,266,23.56
18,263,23.56
19,254,23.56
20,260,23.56
21,253,23.56
22,282,23.56
23,289,23.56
24,264,23.56
25,258,23.56
26,254,23.56
27,250,23.56
28,230,23.56
29,233,23.56
30,239,23.56
31,234,24.381
32,241,23.56
33,242,23.56
34,245,23.56
35,245,23.56
36,245,24.445
37,245,24.445
38,248,24.445
39,249,24.445
40,245,24.445
41,248,24.445
42,254,24.445
43,252,24.445
44,252,24.445
45,246,23.56
46,244,24.155
47,217,24.155
48,229,24.155
49,267,24.155
50,263,24.155
51,239,24.155
52,208,24.155
53,207,20.992
54,204,22.615
55,208,22.615
56,251,22.403
57,256,22.403
58,256,22.403
59,260,24.304
60,270,24.304
61,266,23.853
62,259,23.853
63,269,23.853
64,235,23.853
65,235,23.853
66,234,22.854
67,233,22.854
68,234,24.107
69,232,24.107
70,232,24.107
71,228,24.107
72,234,24.107
73,235,19.761
74,235,19.761
75,235,20.502
76,249,20.502
77,287,20.502
78,296,19.686
79,300,21.509
80,290,23.93
81,276,22.955
82,286,22.955
83,299,22.955
84,301,24.414
85,305,24.414
86,288,23.201
87,280,22.955
88,268,23.748
89,282,23.748
90,279,23.748
91,281,23.748
92,267,23.748
93,271,23.748
94,283,23.748
95,285,23.748
96,264,23.748
97,254,23.431
98,241,23.431
99,253,20.026
100,239,20.026
101,245,19.686
102,248,21.353
103,249,21.353
104,234,21.353
105,242,21.353
106,242,21.353
107,253,16.718
108,265,23.867
109,270,20.311
110,279,20.311
111,281,20.311
112,268,20.311
113,263,20.731
114,262,20.731
115,261,23.246
116,263,23.246
117,265,21.258
118,254,21.258
119,251,23.165
120,250,23.165
121,241,23.592
122,242,23.975
123,238,23.592
124,239,23.592
125,243,23.592
126,245,23.592
127,268,23.852
128,287,23.592
129,286,23.592
130,303,21.398
131,318,21.398
132,308,19.293
133,292,19.293
134,283,23.754
135,297,23.754
136,310,24.462
137,307,24.462
138,301,24.666
139,302,24.725
140,277,24.725
141,279,24.725
142,267,24.666
143,266,24.666
144,247,24.666
145,238,24.666
146,230,24.666
147,247,24.666
148,263,24.666
149,258,24.666
150,252,24.666
151,236,24.666
152,239,24.666
153,259,24.666
154,281,24.666
155,283,24.666
156,283,24.549
157,284,24.549
158,268,24.549
159,244,19.614
160,232,19.614
161,234,19.614
162,233,19.614
163,233,19.614
164,210,22.827
165,210,22.827
166,207,22.827
167,215,22.541
168,212,22.541
169,221,22.701
170,230,22.701
171,238,22.701
172,241,22.541
173,216,22.541
174,221,22.541
175,225,22.675
176,232,22.675
177,231,23.039
178,219,23.039
179,236,23.039
180,227,23.039
181,258,23.039
182,257,23.039
183,256,22.51
184,265,19.614
185,263,17.709
186,263,19.614
187,278,19.614
188,283,19.97
189,271,19.97
190,269,23.2
191,264,23.2
192,255,23.2
193,245,23.2
194,252,19.614
195,257,19.614
196,249,22.819
197,250,22.872
198,251,22.872
199,252,22.872
200,283,22.872
201,283,22.872
202,283,22.872
203,271,24.406
204,261,24.406
205,261,24.406
206,263,24.406
207,259,24.406
208,256,22.819
209,270,22.819
210,264,22.819
211,260,22.819
212,271,22.819
213,263,22.819
214,270,22.819
215,276,22.819
216,271,22.819
217,274,22.821
218,267,22.819
219,263,22.819
220,251,22.819
221,250,23.069
222,262,23.069
223,264,22.819
224,285,22.819
225,282,22.819
226,266,24.366
227,275,24.366
228,280,24.366
229,281,24.366
230,270,24.277
231,262,24.277
232,250,23.171
233,250,23.171
234,244,22.819
235,261,22.819
236,265,22.819
237,257,24.172
238,262,22.819
239,257,24.115
240,242,24.115
241,238,22.819
242,236,22.819
243,239,22.819
244,241,22.819
245,244,22.819
246,258,22.819
