CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,5,"[0, 3, 4, 5, 7]",66697,0.2492,0.996858
13120,ÑUÑOA,4,"[3, 4, 5, 6]",22142,0.0827,0.248202
13114,LAS CONDES,2,"[4, 6]",20901,0.0781,0.078097
13110,LA FLORIDA,2,"[1, 5]",12887,0.0482,0.048152
13123,PROVIDENCIA,2,"[4, 6]",10705,0.04,0.039999
13118,MACUL,2,"[1, 5]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,3,"[2, 5, 7]",6575,0.0246,0.049135
13401,SAN BERNARDO,3,"[1, 2, 7]",5597,0.0209,0.041827
13108,INDEPENDENCIA,2,"[0, 5]",4602,0.0172,0.017195
13124,PUDAHUEL,2,"[2, 7]",4198,0.0157,0.015686
13122,PEÑALOLÉN,2,"[1, 6]",3640,0.0136,0.013601
13105,EL BOSQUE,2,"[1, 2]",3436,0.0128,0.012839
13115,LO BARNECHEA,2,"[0, 6]",3380,0.0126,0.012629
13109,LA CISTERNA,2,"[2, 5]",2993,0.0112,0.011183
13126,QUINTA NORMAL,2,"[2, 7]",2431,0.0091,0.009083
13103,CERRO NAVIA,2,"[2, 7]",1872,0.007,0.006995
13132,VITACURA,3,"[0, 4, 6]",1829,0.0068,0.013668
13104,CONCHALÍ,2,"[0, 7]",1679,0.0063,0.006274
13111,LA GRANJA,2,"[1, 5]",1609,0.006,0.006012
13604,PADRE HURTADO,2,"[2, 7]",1571,0.0059,0.00587
13121,PEDRO AGUIRRE CERDA,2,"[2, 5]",1032,0.0039,0.003856
13131,SAN RAMÓN,2,"[2, 5]",883,0.0033,0.003299
