step,cut_edges,max_dev_pct
0,263,26.908
1,257,26.908
2,269,26.908
3,272,26.908
4,253,26.908
5,248,26.908
6,241,26.908
7,240,24.681
8,251,23.847
9,252,23.847
10,255,27.574
11,254,27.574
12,280,26.492
13,282,26.492
14,280,26.555
15,265,26.555
16,239,26.555
17,250,26.555
18,245,25.47
19,241,25.47
20,241,25.47
21,240,20.882
22,254,26.684
23,250,26.684
24,255,26.684
25,261,26.684
26,259,26.684
27,243,26.684
28,247,22.109
29,257,27.828
30,252,27.828
31,253,27.828
32,248,24.043
33,247,24.043
34,241,24.043
35,233,24.043
36,240,24.043
37,246,24.043
38,244,24.417
39,255,24.665
40,250,24.665
41,251,24.665
42,255,27.305
43,243,24.665
44,223,24.665
45,223,24.665
46,213,10.448
47,224,17.028
48,232,17.028
49,231,18.424
50,238,27.43
51,241,27.43
52,232,22.094
53,224,25.063
54,219,25.063
55,233,25.063
56,227,25.063
57,230,25.063
58,234,25.063
59,238,25.063
60,241,25.063
61,230,25.063
62,251,24.02
63,249,21.186
64,245,21.186
65,245,22.713
66,255,18.089
67,262,23.198
68,257,23.198
69,251,26.857
70,241,27.657
71,271,27.657
72,267,27.657
73,270,27.657
74,231,27.657
75,207,28.68
76,216,18.627
77,226,21.643
78,216,19.53
79,214,16.7
80,217,16.7
81,233,20.798
82,231,22.298
83,273,26.294
84,273,20.798
85,275,24.997
86,269,23.721
87,260,23.721
88,258,23.721
89,262,23.954
90,251,23.954
91,250,23.954
92,244,25.733
93,249,25.733
94,260,25.733
95,255,27.517
96,251,27.517
97,267,25.733
98,275,25.733
99,279,25.58
100,266,26.423
101,274,27.615
102,271,28.121
103,255,28.5
104,258,28.5
105,258,25.081
106,262,18.791
107,256,18.791
108,259,18.505
109,260,18.505
110,272,18.505
111,250,19.474
112,256,19.474
113,257,28.465
114,259,28.465
115,259,28.465
116,252,28.465
117,252,25.789
118,260,22.928
119,260,22.928
120,271,24.394
121,283,22.928
122,271,22.928
123,260,22.361
124,266,22.361
125,264,22.361
126,260,22.361
127,255,23.067
128,260,23.067
129,262,23.067
130,274,23.067
131,272,23.067
132,270,26.415
133,272,22.361
134,271,22.361
135,271,21.692
136,271,19.85
137,285,19.85
138,286,19.85
139,276,22.907
140,285,22.907
141,280,22.907
142,278,27.216
143,285,27.216
144,269,27.216
145,269,27.125
146,270,27.125
147,264,27.125
148,260,27.125
149,251,27.125
150,258,27.125
151,259,27.639
152,251,27.639
153,251,25.726
154,261,19.85
155,237,19.85
156,235,27.798
157,224,27.798
158,223,27.798
159,238,27.798
160,239,27.798
161,252,27.798
162,258,23.924
163,260,23.924
164,263,23.924
165,255,23.924
166,260,23.924
167,264,23.924
168,269,24.54
169,258,23.924
170,271,27.709
