CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,4,"[3, 4, 5, 6]",66697,0.2492,0.747643
13120,ÑUÑOA,2,"[1, 4]",22142,0.0827,0.082734
13114,LAS CONDES,2,"[0, 1]",20901,0.0781,0.078097
13119,MAIPÚ,2,"[4, 5]",11850,0.0443,0.044278
13123,PROVIDENCIA,3,"[0, 1, 3]",10705,0.04,0.079999
13201,PUENTE ALTO,2,"[2, 7]",10243,0.0383,0.038273
13118,MACUL,2,"[1, 2]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,2,"[4, 5]",6575,0.0246,0.024568
13130,SAN MIGUEL,2,"[2, 4]",6447,0.0241,0.024089
13108,INDEPENDENCIA,2,"[3, 6]",4602,0.0172,0.017195
13112,LA PINTANA,2,"[2, 4]",3948,0.0148,0.014752
13122,PEÑALOLÉN,2,"[1, 2]",3640,0.0136,0.013601
13128,RENCA,2,"[3, 5]",3584,0.0134,0.013392
13105,EL BOSQUE,2,"[4, 7]",3436,0.0128,0.012839
13127,RECOLETA,2,"[3, 6]",3205,0.012,0.011976
13113,LA REINA,2,"[1, 2]",2981,0.0111,0.011139
13107,HUECHURABA,2,"[0, 3]",2893,0.0108,0.01081
13117,LO PRADO,2,"[4, 5]",2636,0.0098,0.009849
13302,LAMPA,2,"[0, 7]",2580,0.0096,0.00964
13129,SAN JOAQUÍN,2,"[2, 4]",2456,0.0092,0.009177
13104,CONCHALÍ,2,"[3, 7]",1679,0.0063,0.006274
13131,SAN RAMÓN,2,"[2, 4]",883,0.0033,0.003299
13202,PIRQUE,2,"[2, 7]",568,0.0021,0.002122
