CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13119,MAIPÚ,3,"[1, 5, 6]",503635,0.0681,0.136104
13101,SANTIAGO,3,"[3, 4, 7]",438856,0.0593,0.118598
13110,LA FLORIDA,3,"[0, 1, 2]",374834,0.0506,0.101296
13401,SAN BERNARDO,2,"[1, 6]",306371,0.0414,0.041397
13120,ÑUÑOA,2,"[0, 7]",241467,0.0326,0.032627
13122,PEÑALOLÉN,2,"[0, 7]",236478,0.032,0.031953
13124,PUDAHUEL,2,"[3, 5]",227821,0.0308,0.030784
13106,ESTACIÓN CENTRAL,2,"[3, 5]",181049,0.0245,0.024464
13301,COLINA,2,"[4, 5]",173294,0.0234,0.023416
13105,EL BOSQUE,2,"[1, 2]",155256,0.021,0.020978
13130,SAN MIGUEL,2,"[0, 1]",150829,0.0204,0.02038
13302,LAMPA,2,"[4, 5]",145160,0.0196,0.019614
13123,PROVIDENCIA,2,"[4, 7]",143973,0.0195,0.019454
13128,RENCA,2,"[3, 4]",143622,0.0194,0.019406
13103,CERRO NAVIA,2,"[3, 5]",127249,0.0172,0.017194
13108,INDEPENDENCIA,2,"[3, 4]",116944,0.0158,0.015802
13115,LO BARNECHEA,2,"[6, 7]",112620,0.0152,0.015217
13111,LA GRANJA,3,"[0, 1, 2]",112022,0.0151,0.030273
13121,PEDRO AGUIRRE CERDA,2,"[1, 3]",96060,0.013,0.01298
13113,LA REINA,2,"[0, 7]",89871,0.0121,0.012144
13132,VITACURA,2,"[4, 7]",86419,0.0117,0.011677
13102,CERRILLOS,2,"[1, 5]",85041,0.0115,0.011491
13131,SAN RAMÓN,2,"[1, 2]",76002,0.0103,0.01027
13503,CURACAVÍ,2,"[5, 6]",35165,0.0048,0.004752
13202,PIRQUE,2,"[2, 6]",29060,0.0039,0.003927
13504,MARÍA PINTO,2,"[5, 6]",15352,0.0021,0.002074
