plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score,reock
0,8.557,,263,25.0,0.9487,0.6838,-1.1132622124732696,
1,8.557,,258,,,,-1.0990576670187282,
2,9.866,,275,,,,-1.27825312156286,
3,9.866,,283,,,,-1.300980394290126,
4,7.528,,275,,,,-1.044453121565198,
5,7.528,,280,,,,-1.0586576670197394,
6,7.528,,281,,,,-1.0614985761106477,
7,7.528,,262,,,,-1.0075213033833903,
8,7.528,,296,,,,-1.104112212474272,
9,7.624,,285,,,,-1.0824622124741847,
10,9.984,,283,,,,-1.3127803942900085,
11,9.984,,283,,,,-1.3127803942900085,
12,9.984,,287,,,,-1.3241440306536414,
13,9.984,,282,,,,-1.3099394851991,
14,9.858,,292,,,,-1.3257485761083088,
15,9.858,,292,,,,-1.3257485761083088,
16,9.858,,260,,,,-1.2348394851992437,
17,8.187,,259,,,,-1.0648985761100065,
18,8.187,,277,,,,-1.1160349397463556,
19,8.187,,299,,,,-1.1785349397463378,
20,8.187,,290,,,,-1.1529667579281633,
21,8.187,,295,,,,-1.1671713033827047,
22,8.922,,287,,,,-1.2179440306547034,
23,8.922,,273,,,,-1.1781713033819874,
24,9.542,,273,,,,-1.2401713033813675,
25,9.542,,265,,,,-1.2174440306541012,
26,9.542,,264,,,,-1.214603121563193,
27,9.542,,264,,,,-1.214603121563193,
28,9.832,,260,,,,-1.2322394851992695,
29,9.832,,264,,,,-1.2436031215629029,
30,9.832,,262,,,,-1.2379213033810863,
31,9.832,,260,,,,-1.2322394851992695,
32,9.832,,271,,,,-1.2634894851992609,
33,9.832,,266,,,,-1.2492849397447194,
34,9.832,,258,,,,-1.2265576670174532,
35,9.832,,259,,,,-1.2293985761083617,
36,9.589,,260,,,,-1.2079394851995129,
37,9.589,,266,,,,-1.2249849397449626,
38,9.589,,263,,,,-1.2164622124722375,
39,7.535,,273,,,,-1.0394713033833745,
40,7.535,,271,,,,-1.033789485201558,
41,7.535,,276,,,,-1.0479940306560993,
42,7.535,,266,,,,-1.0195849397470165,
43,8.341,,273,,,,-1.1200713033825684,
44,7.535,,269,,,,-1.028107667019741,
45,9.318,,261,,,,-1.183680394290692,
46,6.459,,267,,,,-0.9148258488390006,
47,6.459,,270,,,,-0.9233485761117256,
48,7.385,,282,,,,-1.050039485201699,
49,9.808,,281,,,,-1.2894985761083675,
50,6.8,,269,,,,-0.9546076670204762,
51,6.8,,278,,,,-0.9801758488386508,
52,6.8,,284,,,,-0.9972213033841004,
53,6.8,,272,,,,-0.963130394293201,
54,5.184,,253,,,,-0.7475531215675597,
55,5.184,,256,,,,-0.7560758488402846,
56,6.111,,254,,,,-0.843094030657541,
57,6.992,,260,,,,-0.9482394852021097,
58,6.111,,261,,,,-0.862980394293899,
59,4.682,,261,,,,-0.720080394295328,
60,5.494,,261,,,,-0.8012803942945159,
61,4.121,,272,,,,-0.6952303942958802,
62,6.202,,284,,,,-0.9374213033846984,
63,6.202,,292,,,,-0.9601485761119648,
64,6.202,,294,,,,-0.9658303942937814,
65,8.613,,298,,,,-1.2182940306550034,
66,4.823,,288,,,,-0.8108849397497107,
67,4.823,,289,,,,-0.8137258488406189,
68,4.358,,289,,,,-0.7672258488410839,
69,9.429,,283,,,,-1.2572803942905633,
70,9.019,,261,,,,-1.153780394290991,
71,9.881,,256,,,,-1.2257758488355877,
72,9.019,,234,,,,-1.0770758488364671,
73,9.019,,234,,,,-1.0770758488364671,
74,9.019,,233,,,,-1.074234939745559,
75,9.019,,234,,,,-1.0770758488364671,
76,9.019,,238,,,,-1.0884394852001005,
77,9.019,,239,,,,-1.0912803942910088,
78,5.466,,254,,,,-0.778594030658186,
79,5.466,,266,,,,-0.8126849397490854,
80,5.466,,256,,,,-0.7842758488400026,
81,7.402,,246,,,,-0.9494667579289836,
82,9.406,,246,,,,-1.14986675792698,
83,9.406,,246,,,,-1.14986675792698,
84,9.894,,249,,,,-1.2071894851992166,
85,9.894,,235,,,,-1.167416757926501,
86,9.894,,220,,,,-1.1248031215628764,
87,9.894,,232,,,,-1.1588940306537758,
88,9.894,,242,,,,-1.1873031215628589,
89,9.894,,239,,,,-1.1787803942901338,
90,9.894,,246,,,,-1.1986667579264918,
91,9.894,,245,,,,-1.1958258488355835,
92,9.894,,249,,,,-1.2071894851992166,
93,9.894,,289,,,,-1.320825848835548,
94,9.894,,287,,,,-1.3151440306537314,
95,9.894,,299,,,,-1.3492349397446308,
96,9.894,,255,,,,-1.2242349397446664,
97,9.894,,254,,,,-1.221394030653758,
98,9.894,,256,,,,-1.2270758488355746,
99,9.383,,265,,,,-1.20154403065426,
100,9.383,,264,,,,-1.1987031215633517,
101,9.383,,260,,,,-1.1873394851997183,
102,8.576,,260,,,,-1.1066394852005257,
103,7.734,,265,,,,-1.0366440306559093,
104,7.734,,264,,,,-1.033803121565001,
105,7.755,,267,,,,-1.0444258488377047,
106,7.755,,260,,,,-1.0245394852013467,
107,7.755,,273,,,,-1.0614713033831544,
108,8.328,,268,,,,-1.10456675792804,
109,9.107,,243,,,,-1.111444030654554,
110,9.107,,237,,,,-1.0943985761091042,
111,9.107,,238,,,,-1.0972394852000125,
112,9.107,,243,,,,-1.111444030654554,
113,8.328,,249,,,,-1.0505894852007829,
114,8.328,,261,,,,-1.084680394291682,
115,8.328,,266,,,,-1.0988849397462237,
116,8.328,,261,,,,-1.084680394291682,
117,8.149,,263,,,,-1.0724622124736776,
118,9.12,,263,,,,-1.1695622124727063,
119,9.12,,245,,,,-1.1184258488363574,
120,9.12,,246,,,,-1.1212667579272655,
121,9.12,,246,,,,-1.1212667579272655,
122,9.12,,247,,,,-1.124107667018174,
123,9.12,,249,,,,-1.1297894851999906,
