CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13119,MAIPÚ,2,"[5, 7]",503635,0.0681,0.068052
13101,SANTIAGO,3,"[3, 5, 6]",438856,0.0593,0.118598
13110,LA FLORIDA,3,"[0, 1, 2]",374834,0.0506,0.101296
13401,SAN BERNARDO,2,"[0, 7]",306371,0.0414,0.041397
13114,LAS CONDES,4,"[1, 2, 4, 6]",296135,0.04,0.120043
13120,ÑUÑOA,2,"[2, 6]",241467,0.0326,0.032627
13124,PUDAHUEL,2,"[4, 5]",227821,0.0308,0.030784
13125,QUILICURA,2,"[3, 4]",205624,0.0278,0.027784
13112,LA PINTANA,2,"[0, 1]",175421,0.0237,0.023703
13127,RECOLETA,3,"[3, 4, 6]",154615,0.0209,0.041784
13130,SAN MIGUEL,2,"[0, 6]",150829,0.0204,0.02038
13123,PROVIDENCIA,2,"[2, 6]",143973,0.0195,0.019454
13118,MACUL,3,"[0, 2, 6]",123800,0.0167,0.033456
13104,CONCHALÍ,2,"[3, 4]",121587,0.0164,0.016429
13115,LO BARNECHEA,2,"[1, 4]",112620,0.0152,0.015217
13121,PEDRO AGUIRRE CERDA,2,"[0, 6]",96060,0.013,0.01298
13129,SAN JOAQUÍN,2,"[0, 6]",95602,0.0129,0.012918
13117,LO PRADO,2,"[3, 5]",91289,0.0123,0.012335
13102,CERRILLOS,2,"[0, 5]",85041,0.0115,0.011491
13604,PADRE HURTADO,2,"[5, 7]",81243,0.011,0.010978
13503,CURACAVÍ,2,"[4, 5]",35165,0.0048,0.004752
13203,SAN JOSÉ DE MAIPO,2,"[1, 7]",17441,0.0024,0.002357
13504,MARÍA PINTO,2,"[4, 7]",15352,0.0021,0.002074
