step,cut_edges,max_dev_pct
0,277,20.092
1,274,21.948
2,274,21.948
3,275,21.948
4,274,19.27
5,280,19.27
6,286,19.27
7,278,19.27
8,276,16.442
9,283,16.442
10,265,16.646
11,270,17.453
12,270,17.453
13,263,17.453
14,263,17.473
15,254,17.453
16,247,17.453
17,249,17.453
18,246,17.453
19,264,17.453
20,241,17.453
21,240,17.453
22,237,17.453
23,248,17.453
24,249,17.453
25,264,17.453
26,263,17.453
27,243,17.453
28,237,17.453
29,239,17.234
30,229,17.234
31,230,17.234
32,226,18.38
33,230,20.483
34,228,20.483
35,229,20.483
36,233,20.483
37,237,20.483
38,244,20.483
39,252,18.77
40,248,18.77
41,257,21.231
42,297,21.231
43,264,21.231
44,250,21.231
45,244,20.979
46,263,20.979
47,238,20.979
48,241,18.346
49,231,18.346
50,233,15.097
51,232,21.186
52,243,21.186
53,232,21.186
54,228,21.186
55,246,21.186
56,267,21.186
57,243,21.186
58,229,21.186
59,233,21.41
60,227,21.41
61,231,21.136
62,241,21.136
63,241,21.136
64,258,21.136
65,265,21.136
66,265,19.761
67,269,19.761
68,269,20.167
69,270,15.662
70,266,21.778
71,261,21.778
72,245,21.778
73,247,21.778
74,245,21.778
75,247,21.778
76,243,21.778
77,248,21.778
78,247,21.778
79,235,21.395
80,229,21.395
81,228,21.395
82,230,20.74
83,238,20.74
84,239,20.74
85,247,20.74
86,219,20.74
87,221,20.74
88,225,20.547
89,228,20.547
90,226,21.864
91,226,21.864
92,236,21.864
93,222,21.864
94,216,21.864
95,217,21.864
96,222,21.864
97,219,18.726
98,217,18.726
99,222,18.726
100,233,18.726
101,232,18.726
102,233,18.495
103,257,20.956
104,233,18.495
105,233,19.658
106,241,19.658
107,231,19.658
108,234,19.658
109,249,19.658
110,263,19.658
111,245,19.658
112,257,21.885
113,264,21.885
114,252,21.885
115,266,21.885
116,271,21.087
117,273,21.087
118,277,21.541
119,279,21.541
120,274,21.541
121,290,21.727
122,281,21.727
123,285,21.727
124,306,21.727
125,308,21.727
126,298,21.097
127,309,21.097
128,310,21.097
129,323,21.739
130,322,21.739
131,319,21.739
132,310,21.739
133,288,21.739
134,289,21.739
135,277,21.097
136,273,21.097
137,252,21.097
138,269,21.097
139,269,21.097
140,258,21.097
141,268,21.097
142,281,21.097
143,255,21.097
144,255,21.097
145,258,21.097
146,267,21.097
147,267,21.097
148,267,21.097
149,254,21.097
150,249,18.965
151,252,20.307
152,249,21.596
153,258,21.596
154,272,21.596
155,274,20.307
156,273,21.389
157,274,21.532
158,268,21.491
159,271,21.491
160,278,21.491
161,283,21.491
162,267,21.491
163,246,21.491
164,243,21.162
165,240,21.162
166,233,21.066
167,230,20.564
168,230,21.616
169,240,20.199
170,233,19.291
171,242,19.291
172,244,19.291
173,250,19.291
174,252,19.291
175,242,19.291
176,276,21.655
177,272,21.655
178,274,21.655
179,277,21.655
180,270,21.655
181,269,21.655
182,263,21.655
183,257,21.655
184,253,21.655
185,252,21.655
186,246,21.655
187,249,21.655
188,240,21.655
189,244,21.655
190,241,21.655
191,249,21.655
192,249,21.511
193,241,21.511
194,238,21.511
195,250,21.996
196,254,21.996
197,280,21.996
198,280,21.996
199,300,21.996
200,289,21.996
201,292,18.822
202,276,16.8
203,270,16.8
204,263,16.8
205,264,20.956
206,265,20.956
207,265,20.956
208,265,20.956
209,257,11.791
210,273,11.791
211,268,17.94
212,273,17.94
213,278,17.94
214,290,20.821
215,299,21.006
216,295,21.006
217,289,20.821
218,284,20.821
219,276,20.967
220,268,21.133
221,274,20.967
222,263,19.539
223,269,20.453
224,281,19.377
225,289,19.377
226,273,19.377
227,263,19.377
228,267,21.846
229,272,21.846
230,263,21.846
231,263,21.846
232,263,21.846
233,271,21.846
234,259,21.846
235,245,21.846
236,242,21.846
237,235,21.846
238,241,21.846
239,241,21.775
