CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,5,"[0, 2, 4, 5, 7]",66697,0.2492,0.996858
13120,ÑUÑOA,2,"[5, 7]",22142,0.0827,0.082734
13114,LAS CONDES,2,"[6, 7]",20901,0.0781,0.078097
13110,LA FLORIDA,3,"[3, 5, 6]",12887,0.0482,0.096305
13119,MAIPÚ,2,"[0, 1]",11850,0.0443,0.044278
13123,PROVIDENCIA,2,"[2, 7]",10705,0.04,0.039999
13106,ESTACIÓN CENTRAL,2,"[0, 5]",6575,0.0246,0.024568
13130,SAN MIGUEL,2,"[1, 5]",6447,0.0241,0.024089
13401,SAN BERNARDO,2,"[1, 3]",5597,0.0209,0.020913
13108,INDEPENDENCIA,2,"[0, 2]",4602,0.0172,0.017195
13124,PUDAHUEL,2,"[0, 1]",4198,0.0157,0.015686
13122,PEÑALOLÉN,2,"[5, 6]",3640,0.0136,0.013601
13105,EL BOSQUE,2,"[1, 3]",3436,0.0128,0.012839
13109,LA CISTERNA,2,"[1, 3]",2993,0.0112,0.011183
13302,LAMPA,3,"[0, 1, 6]",2580,0.0096,0.01928
13129,SAN JOAQUÍN,2,"[1, 5]",2456,0.0092,0.009177
13102,CERRILLOS,3,"[0, 1, 5]",2099,0.0078,0.015686
13104,CONCHALÍ,2,"[0, 2]",1679,0.0063,0.006274
13111,LA GRANJA,3,"[1, 3, 5]",1609,0.006,0.012024
13121,PEDRO AGUIRRE CERDA,2,"[1, 5]",1032,0.0039,0.003856
13116,LO ESPEJO,2,"[1, 5]",989,0.0037,0.003695
