plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,16.869,0.2582,295,25.0,1.7831,0.7615,-1.629149822718384
1,16.869,0.264,280,23.0,1.6678,0.763,-1.5052473684336498
2,9.558,0.2581,289,24.0,1.6693,0.7645,-1.197089260836183
3,9.558,0.2636,318,24.0,1.8691,0.7693,-1.2568687863748127
4,12.221,0.2647,309,23.0,1.841,0.7764,-1.3585248939415164
5,12.796,0.2652,281,28.0,1.681,0.7285,-1.275171529885682
6,16.514,0.2149,281,29.0,1.8338,0.8134,-2.0302470915005695
7,13.808,0.3095,263,21.0,1.5483,0.729,-0.7877651910141239
8,18.322,0.2297,256,22.0,1.3908,0.6408,-1.8346086035295985
9,18.322,0.2371,264,23.0,1.572,0.6609,-1.8057779982777686
