CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,5,"[0, 3, 5, 6, 7]",66697,0.2492,0.996858
13120,ÑUÑOA,3,"[0, 4, 7]",22142,0.0827,0.165468
13114,LAS CONDES,2,"[1, 4]",20901,0.0781,0.078097
13119,MAIPÚ,2,"[2, 3]",11850,0.0443,0.044278
13123,PROVIDENCIA,2,"[4, 7]",10705,0.04,0.039999
13118,MACUL,2,"[0, 7]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,2,"[0, 3]",6575,0.0246,0.024568
13130,SAN MIGUEL,2,"[0, 2]",6447,0.0241,0.024089
13125,QUILICURA,2,"[3, 6]",4345,0.0162,0.016235
13122,PEÑALOLÉN,3,"[0, 4, 7]",3640,0.0136,0.027202
13105,EL BOSQUE,2,"[1, 2]",3436,0.0128,0.012839
13115,LO BARNECHEA,2,"[1, 4]",3380,0.0126,0.012629
13104,CONCHALÍ,2,"[3, 6]",1679,0.0063,0.006274
13111,LA GRANJA,2,"[0, 1]",1609,0.006,0.006012
13121,PEDRO AGUIRRE CERDA,2,"[0, 3]",1032,0.0039,0.003856
13116,LO ESPEJO,2,"[2, 3]",989,0.0037,0.003695
13202,PIRQUE,2,"[1, 2]",568,0.0021,0.002122
13503,CURACAVÍ,2,"[2, 6]",390,0.0015,0.001457
