step,cut_edges,max_dev_pct
0,239,23.807
1,238,23.807
2,250,17.608
3,233,18.663
4,223,22.384
5,223,22.493
6,241,24.806
7,239,24.806
8,243,24.806
9,249,22.913
10,259,22.913
11,266,22.913
12,260,22.913
13,240,22.913
14,233,24.614
15,239,24.614
16,237,24.614
17,244,24.599
18,232,22.493
19,241,22.493
20,241,22.493
21,248,22.493
22,245,24.528
23,247,24.528
24,242,24.564
25,239,24.528
26,247,24.528
27,242,22.493
28,238,22.493
29,222,25.416
30,219,22.493
31,223,22.493
32,245,22.714
33,258,22.714
34,238,22.493
35,229,22.493
36,241,24.291
37,226,22.493
38,232,25.111
39,211,25.111
40,222,25.111
41,207,25.111
42,213,25.111
43,216,25.111
44,217,25.111
45,225,25.111
46,223,25.111
47,217,22.493
48,216,22.493
49,220,24.997
50,215,24.997
51,204,24.997
52,218,24.997
53,226,24.997
54,219,24.997
55,219,24.997
56,222,24.928
57,245,24.928
58,253,25.592
59,281,24.928
60,285,24.928
61,257,24.928
62,278,25.586
63,272,25.586
64,280,25.586
65,294,22.493
66,295,19.542
67,309,19.542
68,296,18.555
69,298,19.566
70,297,19.909
71,291,19.909
72,293,19.909
73,292,19.909
74,295,24.46
75,304,24.46
76,310,20.149
77,304,24.881
78,305,24.881
79,306,22.774
80,285,22.774
81,304,25.179
82,285,22.774
83,291,23.658
84,285,23.658
85,281,23.658
86,288,23.658
87,296,22.388
88,290,22.388
89,261,25.341
90,257,22.388
91,261,22.388
92,253,22.388
93,250,22.388
94,239,22.388
95,221,20.72
96,247,20.72
97,243,23.132
98,240,20.72
99,239,24.037
100,234,24.037
101,268,24.037
102,271,25.762
103,269,20.72
104,270,24.492
105,261,24.492
106,264,24.492
107,260,19.787
108,245,24.292
109,246,21.007
110,255,24.402
111,257,24.402
112,232,21.007
113,251,22.549
114,243,22.549
115,256,24.253
116,256,24.253
117,257,24.253
118,256,24.253
119,246,24.107
120,240,24.107
121,240,22.92
122,241,25.168
123,252,25.168
124,261,25.168
125,262,25.168
126,264,25.168
127,261,25.168
128,283,25.168
129,283,25.168
130,287,25.168
131,279,25.168
132,284,25.168
133,285,22.269
134,270,22.269
135,297,22.269
136,292,24.859
137,254,24.859
138,245,24.859
139,247,24.859
140,247,21.239
141,244,21.239
142,247,21.239
143,248,21.239
144,267,16.265
145,256,14.0
146,261,16.373
147,260,24.605
148,269,24.605
149,280,24.605
150,274,24.605
151,284,24.605
152,288,24.605
153,315,24.605
154,308,24.575
155,305,22.567
156,304,22.567
157,290,23.141
158,285,23.141
159,290,19.897
160,290,19.897
161,301,19.154
162,287,22.941
163,274,22.941
164,274,22.941
165,289,25.102
166,279,25.102
167,281,25.102
168,281,25.102
169,265,25.102
170,265,25.102
171,258,25.102
172,257,24.938
173,268,24.938
174,268,24.938
175,271,24.938
176,286,24.938
177,285,25.61
178,250,25.61
179,252,22.928
180,248,24.119
181,253,25.347
182,255,25.347
183,265,23.254
184,280,22.819
185,265,22.819
186,264,24.187
187,271,24.187
188,277,24.187
189,277,24.187
190,268,24.187
191,266,24.187
192,274,24.187
193,280,24.187
194,257,24.187
195,259,24.187
196,247,22.819
197,238,24.528
198,236,24.528
199,238,24.528
200,250,24.312
201,241,24.312
202,265,22.964
203,265,22.964
204,289,22.964
205,290,24.196
206,293,24.196
207,295,24.217
208,301,24.196
209,309,24.534
210,299,24.534
211,291,24.023
212,291,23.996
213,300,25.578
214,298,25.578
215,284,22.819
216,264,22.819
217,265,22.819
218,274,22.819
219,266,22.819
220,258,22.819
221,261,22.819
222,272,23.789
223,267,23.789
224,263,23.789
225,266,23.789
226,274,23.789
227,279,23.789
228,276,23.789
229,228,23.789
230,230,22.819
231,235,23.649
232,234,23.649
233,250,23.679
234,249,23.679
235,249,23.679
236,243,23.853
237,256,23.853
238,257,23.853
239,265,23.853
240,258,22.819
241,265,25.096
242,264,25.789
243,270,25.789
244,275,24.958
245,257,24.958
246,241,24.958
247,229,24.635
248,232,24.635
249,227,24.552
250,254,24.552
251,257,23.01
252,249,22.851
253,243,24.566
254,228,24.566
255,238,24.566
256,228,24.566
257,227,24.566
258,240,24.566
259,241,24.566
260,236,24.566
261,251,24.566
262,260,24.566
263,266,24.566
264,258,24.566
265,256,23.996
266,271,23.996
267,273,23.033
268,283,23.033
269,283,23.033
270,281,25.775
271,273,23.033
272,260,23.954
273,246,23.033
274,248,22.979
275,254,22.979
276,249,25.359
277,233,22.979
278,247,24.33
279,264,23.96
280,245,23.87
281,302,22.979
282,302,22.979
283,315,22.979
284,303,22.979
285,291,22.979
286,275,22.979
287,283,22.979
288,300,22.979
289,304,22.979
290,307,22.979
291,277,22.979
292,278,22.979
293,263,22.77
294,260,22.77
295,258,25.756
296,232,25.756
297,232,25.756
298,255,25.756
299,240,22.366
300,248,22.366
301,238,22.366
302,239,22.366
303,226,23.069
304,236,25.807
305,236,25.807
306,201,25.702
307,210,25.702
308,207,25.702
309,210,25.702
310,217,25.702
311,222,25.702
312,222,25.702
313,224,25.702
314,252,25.702
315,254,25.702
316,234,25.702
317,237,25.702
318,240,25.702
319,242,25.702
320,246,25.702
321,264,17.1
322,268,18.221
323,259,18.221
324,262,18.221
325,275,23.61
326,297,23.61
327,309,23.61
328,286,23.61
329,271,23.61
330,268,23.61
331,264,23.61
332,273,23.61
333,274,24.907
334,273,24.907
335,254,24.641
336,268,21.807
337,256,21.807
338,252,21.807
339,265,21.807
340,254,21.999
341,264,22.767
342,265,24.334
343,250,24.334
344,253,24.334
345,245,24.334
346,262,24.334
347,270,25.377
348,277,25.377
349,270,25.377
350,269,25.377
351,252,24.732
352,240,24.732
353,247,24.732
354,243,24.732
355,245,24.732
356,249,25.397
357,237,24.732
358,234,24.732
359,243,24.732
360,258,24.732
361,258,24.732
362,254,24.732
363,258,24.732
364,264,24.732
365,272,24.732
366,284,24.732
367,270,24.732
368,277,24.732
369,280,25.55
370,284,25.55
371,282,25.55
372,278,25.526
373,291,25.526
374,291,25.526
375,262,25.526
376,262,25.526
377,270,25.526
378,267,25.526
379,271,25.526
380,284,25.526
381,279,25.526
382,287,25.526
383,296,25.526
384,278,25.526
385,263,25.526
386,280,25.526
387,266,25.526
388,269,25.526
389,263,25.526
390,284,25.526
391,288,25.526
392,277,25.526
393,294,25.526
394,287,25.312
395,275,25.312
396,269,25.312
397,265,25.634
398,264,25.634
399,264,25.634
400,259,25.634
401,244,25.634
402,231,25.634
403,243,25.634
404,240,25.634
405,233,25.634
406,250,25.634
407,243,25.634
408,272,25.634
409,271,25.634
410,231,25.634
411,233,25.634
412,242,23.811
413,238,22.351
414,216,22.351
415,223,22.351
416,219,22.351
417,220,23.266
418,220,23.76
419,229,23.76
420,230,23.76
421,246,23.76
422,227,23.76
423,240,24.146
424,234,24.146
425,230,24.146
426,233,24.146
427,217,24.998
428,219,24.146
429,226,24.146
430,226,24.146
431,219,24.472
432,224,22.983
433,222,24.872
434,245,25.236
435,253,25.236
436,245,25.236
437,256,25.236
438,249,25.32
439,253,25.32
440,245,25.32
441,250,25.32
442,248,25.32
443,250,25.799
444,272,25.799
445,262,25.799
446,259,25.799
447,284,25.799
448,279,25.799
449,260,25.799
