CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,5,"[1, 3, 4, 6, 7]",66697,0.2492,0.996858
13120,ÑUÑOA,4,"[2, 3, 5, 6]",22142,0.0827,0.248202
13114,LAS CONDES,3,"[4, 5, 6]",20901,0.0781,0.156194
13110,LA FLORIDA,2,"[2, 5]",12887,0.0482,0.048152
13119,MAIPÚ,2,"[0, 3]",11850,0.0443,0.044278
13123,PROVIDENCIA,3,"[3, 4, 6]",10705,0.04,0.079999
13201,PUENTE ALTO,2,"[2, 5]",10243,0.0383,0.038273
13118,MACUL,2,"[2, 5]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,2,"[1, 3]",6575,0.0246,0.024568
13130,SAN MIGUEL,2,"[2, 3]",6447,0.0241,0.024089
13401,SAN BERNARDO,2,"[0, 2]",5597,0.0209,0.020913
13108,INDEPENDENCIA,2,"[1, 4]",4602,0.0172,0.017195
13124,PUDAHUEL,3,"[0, 1, 4]",4198,0.0157,0.031372
13112,LA PINTANA,2,"[2, 5]",3948,0.0148,0.014752
13122,PEÑALOLÉN,2,"[2, 5]",3640,0.0136,0.013601
13105,EL BOSQUE,2,"[0, 2]",3436,0.0128,0.012839
13115,LO BARNECHEA,2,"[4, 5]",3380,0.0126,0.012629
13109,LA CISTERNA,2,"[2, 3]",2993,0.0112,0.011183
13113,LA REINA,2,"[5, 6]",2981,0.0111,0.011139
13129,SAN JOAQUÍN,2,"[2, 3]",2456,0.0092,0.009177
13102,CERRILLOS,2,"[0, 3]",2099,0.0078,0.007843
13104,CONCHALÍ,2,"[1, 4]",1679,0.0063,0.006274
13116,LO ESPEJO,2,"[2, 3]",989,0.0037,0.003695
13202,PIRQUE,2,"[0, 5]",568,0.0021,0.002122
13503,CURACAVÍ,2,"[0, 4]",390,0.0015,0.001457
13203,SAN JOSÉ DE MAIPO,2,"[0, 5]",232,0.0009,0.000867
