step,cut_edges,max_dev_pct
0,276,16.727
1,256,16.727
2,253,16.727
3,251,17.569
4,255,17.569
5,257,18.209
6,244,17.569
7,244,17.569
8,248,17.569
9,239,18.274
10,254,17.569
11,266,17.569
12,266,17.569
13,268,17.569
14,269,17.569
15,284,17.569
16,278,17.569
17,281,17.569
18,272,17.569
19,274,17.569
20,257,17.569
21,259,17.569
22,241,17.569
23,222,17.569
24,240,17.569
25,240,17.569
26,254,17.569
27,237,17.569
28,232,17.569
29,233,17.569
30,228,17.569
31,229,17.569
32,239,17.62
33,239,17.62
34,230,17.569
35,285,17.799
36,281,17.799
37,282,17.787
38,278,17.569
39,266,17.569
40,266,17.569
41,261,17.569
42,267,17.569
43,264,18.251
44,265,18.251
45,250,18.251
46,270,18.251
47,272,18.251
48,267,17.731
49,262,18.534
50,258,18.534
51,268,18.534
52,266,18.534
53,247,18.534
54,251,18.534
55,258,16.098
56,259,16.693
57,260,16.693
58,242,18.063
59,239,18.063
60,237,17.247
61,241,17.247
62,250,9.519
63,249,10.759
64,258,9.298
65,259,12.822
66,255,14.206
67,255,14.206
68,268,14.206
69,264,14.206
70,272,18.606
71,266,18.606
72,251,18.606
73,261,18.606
74,253,18.606
75,264,18.606
76,253,18.606
77,253,18.606
78,250,17.766
79,252,17.7
80,250,17.7
81,257,17.7
82,274,17.7
83,261,18.323
84,280,18.323
85,279,15.884
86,279,15.884
87,278,15.884
88,270,15.884
89,270,15.884
90,267,15.884
91,282,15.884
92,272,15.884
93,268,15.884
94,277,15.884
95,279,15.884
96,279,13.42
97,277,13.42
98,268,13.42
99,263,15.488
100,278,15.488
101,275,15.488
102,265,18.48
103,253,18.48
104,251,18.48
105,250,18.48
106,244,18.48
107,251,18.48
108,251,14.337
109,254,14.804
110,272,16.834
111,274,16.834
112,264,16.353
113,278,16.353
114,272,16.353
115,271,16.353
116,281,14.693
117,278,14.693
118,276,12.045
119,290,16.185
120,293,16.481
121,293,16.481
122,295,16.481
123,295,16.481
124,294,16.481
125,294,18.05
126,275,18.05
127,273,16.481
128,278,16.481
129,273,16.481
130,275,16.481
131,255,16.481
132,256,16.308
133,240,18.364
134,274,18.364
135,236,18.364
136,228,18.364
137,226,18.364
138,226,18.364
139,223,18.364
140,224,18.364
141,224,18.364
142,242,13.528
143,243,13.528
144,251,13.528
145,248,17.524
146,249,17.524
147,245,16.95
148,234,16.95
149,249,16.95
150,253,16.95
151,252,14.257
152,240,13.482
153,239,17.826
154,229,18.212
155,235,18.212
156,223,18.212
157,240,18.212
158,241,18.212
159,221,18.212
160,227,18.212
161,243,18.212
162,235,18.212
163,250,16.744
164,274,15.859
165,282,15.859
166,275,15.859
167,279,15.859
168,242,15.859
169,219,15.859
170,225,15.859
171,231,15.859
172,231,15.859
173,253,15.859
174,256,15.859
175,248,15.859
176,247,15.859
177,242,17.578
178,246,14.778
179,231,17.602
180,227,14.778
181,238,14.778
182,241,14.778
183,245,15.165
184,240,18.304
185,236,18.295
186,234,18.295
187,227,18.295
188,244,18.295
189,235,18.295
190,229,16.897
191,224,16.897
192,217,16.897
193,240,16.897
194,228,16.897
195,211,16.897
196,210,16.897
197,225,18.03
198,235,16.129
199,235,16.129
200,242,16.129
201,244,16.129
202,243,17.336
203,245,17.336
204,266,17.336
205,265,18.31
206,261,18.31
207,269,18.31
208,270,18.31
209,255,17.927
210,250,17.927
211,260,17.927
212,254,16.092
213,254,18.305
214,264,18.305
215,260,18.305
216,255,18.305
217,266,18.305
218,252,18.305
219,266,18.305
220,240,18.305
221,253,16.732
222,253,16.732
223,248,16.092
224,237,18.29
225,237,18.29
226,239,18.687
227,248,18.445
228,258,18.445
229,254,18.445
230,268,18.445
231,263,18.445
232,269,18.445
233,262,18.445
234,266,18.445
235,257,18.445
236,257,18.445
237,270,18.445
238,277,18.29
239,289,18.504
240,284,18.29
241,283,17.649
242,283,16.475
243,278,17.692
244,281,17.692
245,292,16.475
246,293,16.475
247,293,15.07
248,293,16.783
249,296,16.783
250,299,18.036
251,289,18.036
252,289,18.036
253,294,18.036
254,302,18.036
255,278,16.646
256,277,16.646
257,288,16.646
258,277,16.646
259,257,14.622
260,254,14.197
261,252,16.846
262,258,14.197
263,263,14.197
264,270,18.254
265,278,18.254
266,271,18.254
267,267,18.254
268,273,14.197
269,269,18.182
270,250,18.182
271,249,18.182
272,243,18.182
273,242,18.182
274,244,18.182
275,233,18.182
276,243,18.356
277,268,18.182
278,282,18.182
279,253,18.182
280,254,18.182
281,237,18.182
282,244,18.182
283,249,18.182
284,257,18.182
285,267,18.182
286,269,18.182
287,268,12.753
288,282,12.753
289,278,18.05
290,287,18.149
291,294,18.149
292,301,18.149
293,288,16.589
294,286,16.589
295,274,18.43
296,266,18.43
297,268,18.439
298,258,18.43
299,263,18.43
300,278,18.43
301,263,14.505
302,245,16.559
303,249,16.559
304,261,16.559
305,272,16.559
306,273,17.91
307,288,16.559
308,288,17.005
309,287,18.323
310,287,18.323
311,281,18.323
312,299,18.323
313,299,18.323
314,304,18.323
315,279,18.323
316,269,18.323
317,260,18.323
318,264,17.262
319,241,17.262
320,232,17.262
321,232,17.262
322,229,18.194
323,233,17.847
324,241,17.847
325,241,17.847
326,241,17.847
327,252,17.847
328,251,17.847
329,263,18.235
330,265,18.235
331,282,17.847
332,278,17.709
333,290,17.709
334,274,17.709
335,266,17.709
336,260,17.709
337,258,17.709
338,262,16.586
339,280,16.586
340,276,16.885
341,282,14.131
342,291,18.648
343,279,18.648
344,270,16.317
345,270,16.317
346,264,14.131
347,292,14.131
348,296,14.131
349,272,14.131
350,291,14.72
351,263,14.131
352,281,15.554
353,277,15.554
354,287,15.554
355,297,15.554
356,279,17.049
357,277,18.567
358,264,18.567
359,277,18.567
360,276,18.567
361,267,18.567
362,261,14.131
363,259,16.374
364,253,16.374
365,255,16.374
366,240,16.374
367,260,16.374
368,261,15.264
369,258,15.264
370,262,15.264
371,255,15.264
372,251,15.264
373,257,11.614
374,250,11.791
375,259,11.878
376,261,11.878
377,254,11.878
378,256,18.558
379,251,18.558
380,259,18.558
381,264,18.558
382,286,18.558
383,293,18.32
384,274,18.32
385,273,16.858
386,271,16.858
387,295,18.517
388,283,14.911
389,271,16.855
390,267,17.841
391,258,16.855
392,273,16.855
393,275,16.855
394,275,16.855
395,266,16.855
396,256,17.108
397,266,16.855
398,266,16.855
399,267,16.855
400,253,16.855
401,251,16.855
402,253,15.695
403,253,11.232
404,257,15.782
405,261,15.782
406,271,15.782
407,275,15.782
408,284,14.089
409,282,17.235
410,270,17.543
411,242,17.543
412,251,13.184
413,262,13.184
414,255,13.184
415,253,13.184
416,242,14.398
417,242,14.398
418,257,14.398
419,255,16.167
420,257,15.569
421,263,15.569
422,261,14.398
423,258,14.398
424,253,14.398
425,246,15.597
426,250,15.597
427,249,15.597
428,241,15.597
429,244,15.597
430,240,17.88
431,234,17.88
432,231,15.597
433,236,15.597
434,231,15.597
435,232,16.066
436,253,16.066
437,259,16.066
438,248,16.066
439,236,15.473
440,237,15.473
441,239,15.473
442,221,15.473
443,222,15.1
444,229,15.1
445,222,15.1
446,210,17.303
447,214,17.303
448,214,17.303
449,226,17.303
450,230,17.303
451,230,17.303
452,219,17.303
453,222,18.215
454,222,18.215
455,218,18.215
456,214,18.215
457,226,18.215
458,232,18.215
459,233,17.166
460,245,17.166
461,244,18.466
462,230,18.466
463,230,18.466
464,240,13.274
465,235,18.615
466,234,15.898
467,245,15.898
468,241,15.898
469,242,15.898
470,237,15.898
471,240,15.372
472,222,15.372
473,263,17.736
474,266,15.718
475,223,15.718
476,225,15.718
477,217,15.718
478,220,15.718
479,228,18.023
480,242,18.023
481,229,12.338
482,231,9.517
483,230,16.759
484,239,16.759
485,241,16.759
486,241,16.759
487,238,16.472
488,222,17.01
489,226,17.01
490,229,17.01
491,232,17.01
492,238,17.01
493,241,17.01
494,258,17.441
495,281,17.441
496,277,17.441
497,261,15.878
498,263,14.517
499,270,14.517
500,276,14.517
501,289,17.432
502,288,17.432
503,284,11.968
504,285,15.181
505,290,15.181
506,290,15.181
507,289,15.181
508,289,15.181
509,290,16.714
510,285,16.714
511,273,16.328
512,270,16.328
513,258,16.328
514,239,16.962
515,239,16.962
516,246,16.514
517,246,16.514
518,250,17.479
519,240,17.479
520,240,17.479
521,240,17.479
522,235,15.399
523,242,15.399
524,249,14.987
525,253,13.139
