CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,4,"[1, 4, 6, 7]",66697,0.2492,0.747643
13120,ÑUÑOA,3,"[1, 2, 7]",22142,0.0827,0.165468
13114,LAS CONDES,2,"[2, 5]",20901,0.0781,0.078097
13119,MAIPÚ,2,"[3, 4]",11850,0.0443,0.044278
13123,PROVIDENCIA,3,"[2, 5, 7]",10705,0.04,0.079999
13201,PUENTE ALTO,2,"[0, 3]",10243,0.0383,0.038273
13118,MACUL,2,"[0, 2]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,2,"[1, 4]",6575,0.0246,0.024568
13130,SAN MIGUEL,2,"[0, 1]",6447,0.0241,0.024089
13108,INDEPENDENCIA,2,"[5, 6]",4602,0.0172,0.017195
13112,LA PINTANA,2,"[0, 3]",3948,0.0148,0.014752
13122,PEÑALOLÉN,2,"[0, 2]",3640,0.0136,0.013601
13128,RENCA,2,"[4, 5]",3584,0.0134,0.013392
13105,EL BOSQUE,2,"[0, 3]",3436,0.0128,0.012839
13115,LO BARNECHEA,2,"[0, 5]",3380,0.0126,0.012629
13127,RECOLETA,2,"[5, 6]",3205,0.012,0.011976
13109,LA CISTERNA,3,"[0, 1, 3]",2993,0.0112,0.022367
13604,PADRE HURTADO,2,"[3, 4]",1571,0.0059,0.00587
13116,LO ESPEJO,2,"[1, 4]",989,0.0037,0.003695
13503,CURACAVÍ,2,"[3, 4]",390,0.0015,0.001457
13203,SAN JOSÉ DE MAIPO,2,"[0, 3]",232,0.0009,0.000867
