plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,6.407,,264,27.0,1.7059,0.8027,-1.5212414255914275
1,7.803,,263,,,,-1.6532014796890255
2,6.407,,263,,,,-1.4867930877491808
3,7.568,,271,,,,-1.6515043951613662
4,7.568,,263,28.0,1.8753,0.8669,-1.6780154156108
5,7.568,,263,,,,-1.6251886056876907
6,7.568,,265,,,,-1.6317675530561093
7,7.612,,266,,,,-1.6403019903831222
8,7.612,,270,29.0,1.9181,0.8637,-1.7117612409624616
9,7.612,0.2819,271,,,,-1.3302454358107119
10,8.365,,274,,,,-1.756378180380224
11,8.365,,269,,,,-1.739930811959177
12,8.365,,259,,,,-1.7070360751170823
13,7.612,,256,23.0,1.3287,0.7122,-1.5903184840356344
14,7.568,,256,,,,-1.6021622898982244
15,7.568,0.2425,237,,,,-1.5566631617230047
16,7.568,0.2644,237,,,,-1.365730293537244
17,7.568,,248,23.0,1.3349,0.7446,-1.559550772617759
18,7.528,0.2126,226,,,,-1.776390837076828
19,7.528,,226,,,,-1.4987099306057565
20,7.528,,227,,,,-1.501999404289966
21,8.378,,230,,,,-1.6131909866240186
22,8.378,,228,26.0,1.485,0.8105,-1.6095155951520999
23,8.378,,242,,,,-1.652664670834532
24,8.378,,233,,,,-1.623059407676647
25,8.378,0.2644,253,,,,-1.5149168849998347
26,7.55,,251,27.0,1.4644,0.786,-1.5838378654303082
27,7.528,,249,,,,-1.574367825342574
28,7.528,,253,,,,-1.5875257200794115
29,7.528,,249,,,,-1.574367825342574
30,7.528,0.2638,245,,,,-1.3925089717292767
31,8.33,,241,25.0,1.4455,0.7627,-1.6415045314475876
32,8.359,,244,,,,-1.656978747539013
33,8.359,,264,,,,-1.7227682212232018
34,8.359,,253,,,,-1.686584010696898
35,8.359,,234,27.0,1.3919,0.6621,-1.6150791501192265
36,8.359,,244,,,,-1.656978747539013
37,8.359,,244,,,,-1.656978747539013
38,8.048,,251,,,,-1.6429327066713935
39,8.048,,249,26.0,1.6247,0.787,-1.6571263354083325
40,6.955,,232,,,,-1.450143041635418
41,8.025,,254,,,,-1.6500594421834656
42,8.025,,257,,,,-1.6599278632360939
43,8.025,,256,,,,-1.6566383895518846
44,6.955,,236,22.0,1.5912,0.7188,-1.4797885291061266
45,6.955,0.237,241,,,,-1.5447003535596917
46,6.955,,249,,,,-1.5060640942669785
47,7.526,,254,,,,-1.5905767863253117
48,7.526,,242,25.0,1.2116,0.7062,-1.5190360773019083
49,7.982,,241,,,,-1.602170524365094
50,7.982,,241,,,,-1.602170524365094
51,8.251,,252,,,,-1.67042053534399
52,8.251,,239,,,,-1.627657377449267
53,8.251,,249,26.0,1.5974,0.6807,-1.6778327487238365
54,8.251,,250,,,,-1.663841587975571
55,8.251,,241,,,,-1.634236324817686
56,8.251,,242,,,,-1.6375257985018954
57,8.251,,240,27.0,1.6714,0.8328,-1.657692821968639
58,8.251,,227,,,,-1.5881836932387539
59,8.251,,228,,,,-1.5914731669229631
60,8.251,,230,,,,-1.5980521142913822
61,8.251,,241,,,,-1.634236324817686
62,8.251,,240,24.0,1.5857,0.7487,-1.6467309391347156
63,7.6,,241,,,,-1.5566347036480306
64,7.6,,263,,,,-1.6290031247006385
65,7.6,,265,,,,-1.6355820720690573
66,7.262,0.2654,261,26.0,1.0644,0.7749,-1.3485875584322333
67,7.262,0.2693,256,,,,-1.349033816018823
68,7.262,,257,,,,-1.5689754255211212
69,7.262,,285,,,,-1.6610806886789857
70,7.262,,247,25.0,1.0809,0.7224,-1.4872958332197679
71,7.262,,245,,,,-1.5295017413106078
72,7.262,,278,,,,-1.6380543728895196
73,7.262,0.2766,275,,,,-1.347889526623549
74,8.022,,281,,,,-1.7385176204996566
75,8.022,,282,25.0,1.4574,0.7447,-1.7411803354220665
76,8.022,,238,,,,-1.5970702520786504
77,8.022,,229,,,,-1.5674649889207655
78,8.022,,228,,,,-1.5641755152365562
79,8.022,0.3026,229,20.0,1.3135,0.7188,-1.0414572719441444
80,8.022,,225,,,,-1.5543070941839279
81,8.022,,228,,,,-1.5641755152365562
82,8.022,,239,,,,-1.6003597257628601
83,8.022,,231,,,,-1.5740439362891845
