CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,4,"[3, 4, 6, 7]",66697,0.2492,0.747643
13120,ÑUÑOA,3,"[0, 4, 6]",22142,0.0827,0.165468
13110,LA FLORIDA,2,"[2, 4]",12887,0.0482,0.048152
13119,MAIPÚ,2,"[1, 5]",11850,0.0443,0.044278
13123,PROVIDENCIA,3,"[0, 3, 6]",10705,0.04,0.079999
13201,PUENTE ALTO,2,"[1, 2]",10243,0.0383,0.038273
13118,MACUL,2,"[2, 4]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,3,"[1, 5, 7]",6575,0.0246,0.049135
13130,SAN MIGUEL,3,"[1, 2, 4]",6447,0.0241,0.048179
13401,SAN BERNARDO,2,"[1, 2]",5597,0.0209,0.020913
13124,PUDAHUEL,2,"[1, 5]",4198,0.0157,0.015686
13122,PEÑALOLÉN,2,"[0, 4]",3640,0.0136,0.013601
13128,RENCA,2,"[5, 7]",3584,0.0134,0.013392
13127,RECOLETA,2,"[3, 7]",3205,0.012,0.011976
13109,LA CISTERNA,2,"[1, 2]",2993,0.0112,0.011183
13113,LA REINA,2,"[0, 4]",2981,0.0111,0.011139
13107,HUECHURABA,3,"[0, 3, 5]",2893,0.0108,0.021619
13117,LO PRADO,2,"[5, 7]",2636,0.0098,0.009849
13302,LAMPA,2,"[1, 5]",2580,0.0096,0.00964
13129,SAN JOAQUÍN,2,"[2, 4]",2456,0.0092,0.009177
13126,QUINTA NORMAL,2,"[5, 7]",2431,0.0091,0.009083
13132,VITACURA,2,"[0, 3]",1829,0.0068,0.006834
13104,CONCHALÍ,2,"[5, 7]",1679,0.0063,0.006274
13202,PIRQUE,2,"[1, 4]",568,0.0021,0.002122
