plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,4.043,,253,23.0,1.7306,0.7424,-1.0801445581166598
1,5.281,,252,,,,-1.254784140002191
2,5.281,,248,,,,-1.2426629278809824
3,5.445,,239,,,,-1.2425335306309855
4,5.072,,236,,,,-1.1717080965493765
5,5.586,,231,,,,-1.2416277498837136
6,5.669,,246,,,,-1.3008194684595007
7,5.669,,234,,,,-1.2644558320958756
8,6.012,,242,,,,-1.345467538032156
9,6.012,,255,,,,-1.3848614774260835
10,5.669,,254,,,,-1.3250618927019178
11,4.712,,239,,,,-1.1212160860782103
12,4.712,,234,,,,-1.1060645709266999
13,4.712,,243,,,,-1.1333372981994188
14,4.712,,247,,,,-1.1454585103206272
15,5.816,,264,,,,-1.3796946151594518
16,5.816,,264,,,,-1.3796946151594518
17,5.816,,269,,,,-1.3948461303109623
18,5.816,,268,,,,-1.3918158272806602
19,5.367,,259,,,,-1.2902299586652455
20,5.367,,259,,,,-1.2902299586652455
21,5.367,,258,,,,-1.2871996556349434
22,5.882,,256,,,,-1.3663757261700815
23,5.882,,256,,,,-1.3663757261700815
24,5.882,,252,,,,-1.354254514048873
25,5.367,,273,,,,-1.332654201089475
26,5.436,,254,,,,-1.2864985030964653
27,5.436,,235,,,,-1.2289227455207252
28,5.367,,236,,,,-1.220532988968297
29,5.406,,236,,,,-1.226987805254188
30,4.362,,243,,,,-1.0754094597362929
31,4.853,,255,,,,-1.193037578058189
32,4.362,,243,,,,-1.0754094597362929
33,4.362,,248,,,,-1.0905609748878033
34,4.362,,251,,,,-1.0996518839787097
35,5.675,,245,,,,-1.2987822140885668
36,4.883,,246,,,,-1.1707300940823095
37,4.883,,254,,,,-1.1949725183247264
38,4.883,,276,,,,-1.2616391849913728
39,4.174,,266,,,,-1.113990904773048
40,4.174,,262,,,,-1.1018696926518396
41,4.999,,251,,,,-1.2050805499815989
42,4.999,,249,,,,-1.1990199439209945
43,5.032,,262,,,,-1.2438756509414455
44,5.786,,262,,,,-1.3686687658020082
45,5.786,,268,,,,-1.386850583983821
46,5.786,,250,,,,-1.332305129438383
47,5.786,,244,,,,-1.3141233112565702
48,5.786,,253,,,,-1.3413960385292891
49,5.932,,252,31.0,1.6956,0.8172,-1.3853561158892593
50,5.932,,252,,,,-1.3625299195436056
51,5.932,,248,,,,-1.350408707422397
52,5.95,,234,,,,-1.310963610976271
53,5.95,,225,,,,-1.283690883703552
54,5.95,,228,,,,-1.2927817927944583
55,5.95,,230,,,,-1.2988423988550626
56,5.376,,237,,,,-1.2250528649876506
57,5.513,,255,,,,-1.3022729305886553
58,5.376,,270,,,,-1.3250528649876205
59,5.376,,264,,,,-1.3068710468058078
60,5.376,,282,,,,-1.3614165013512458
61,5.012,,290,,,,-1.3254139735920116
62,5.012,,274,,,,-1.276929125107178
63,5.012,,284,,,,-1.3072321554101989
64,5.012,,288,,,,-1.3193533675314075
65,5.012,,288,,,,-1.3193533675314075
66,5.012,,270,,,,-1.2648079129859693
67,4.105,,261,,,,-1.0874193300388069
68,4.105,,252,,,,-1.060146602766088
69,4.724,,270,,,,-1.2171415773363115
70,4.724,,270,,,,-1.2171415773363115
71,3.397,,279,,,,-1.0247850427788356
72,3.945,,282,,,,-1.1245743960920078
73,4.587,,270,,,,-1.194466966280745
74,4.587,,275,,,,-1.2096184814322555
75,5.9,,274,,,,-1.4239003266936234
76,4.276,,277,,,,-1.164206065315625
77,4.276,,269,,,,-1.1399636410732081
78,4.276,,264,,,,-1.1248121259216974
79,4.276,,264,,,,-1.1248121259216974
80,5.843,,272,,,,-1.4084057583690242
81,5.843,,273,,,,-1.4114360613993262
82,5.843,,261,,,,-1.3750724250357012
83,5.843,,253,,,,-1.350830000793284
84,5.843,,253,,,,-1.350830000793284
85,5.843,,253,,,,-1.350830000793284
86,5.843,,243,,,,-1.320526970490263
87,5.843,,253,,,,-1.350830000793284
88,5.843,,255,,,,-1.3568906068538884
89,5.843,,257,,,,-1.3629512129144925
90,5.48,,272,,,,-1.348326314477268
91,5.48,,272,,,,-1.348326314477268
92,5.48,,279,,,,-1.3695384356893827
93,5.807,,281,,,,-1.4297201936855362
94,5.807,,280,,,,-1.4266898906552339
