step,cut_edges,max_dev_pct
0,253,4.043
1,252,5.281
2,248,5.281
3,239,5.445
4,236,5.072
5,231,5.586
6,246,5.669
7,234,5.669
8,242,6.012
9,255,6.012
10,254,5.669
11,239,4.712
12,234,4.712
13,243,4.712
14,247,4.712
15,264,5.816
16,264,5.816
17,269,5.816
18,268,5.816
19,259,5.367
20,259,5.367
21,258,5.367
22,256,5.882
23,256,5.882
24,252,5.882
25,273,5.367
26,254,5.436
27,235,5.436
28,236,5.367
29,236,5.406
30,243,4.362
31,255,4.853
32,243,4.362
33,248,4.362
34,251,4.362
35,245,5.675
36,246,4.883
37,254,4.883
38,276,4.883
39,266,4.174
40,262,4.174
41,251,4.999
42,249,4.999
43,262,5.032
44,262,5.786
45,268,5.786
46,250,5.786
47,244,5.786
48,253,5.786
49,252,5.932
50,252,5.932
51,248,5.932
52,234,5.95
53,225,5.95
54,228,5.95
55,230,5.95
56,237,5.376
57,255,5.513
58,270,5.376
59,264,5.376
60,282,5.376
61,290,5.012
62,274,5.012
63,284,5.012
64,288,5.012
65,288,5.012
66,270,5.012
67,261,4.105
68,252,4.105
69,270,4.724
70,270,4.724
71,279,3.397
72,282,3.945
73,270,4.587
74,275,4.587
75,274,5.9
76,277,4.276
77,269,4.276
78,264,4.276
79,264,4.276
80,272,5.843
81,273,5.843
82,261,5.843
83,253,5.843
84,253,5.843
85,253,5.843
86,243,5.843
87,253,5.843
88,255,5.843
89,257,5.843
90,272,5.48
91,272,5.48
92,279,5.48
93,281,5.807
94,280,5.807
95,280,5.807
96,270,5.532
97,271,5.48
98,259,5.48
99,268,5.48
100,270,5.48
101,285,6.033
102,264,5.666
103,263,5.48
104,261,6.007
105,260,6.007
106,262,6.007
107,264,5.48
108,260,5.48
109,263,5.48
110,262,5.48
111,269,5.48
112,269,5.268
113,270,5.268
114,271,5.268
115,281,5.268
116,262,5.268
117,256,5.268
118,256,5.268
119,254,5.268
120,260,5.268
121,244,5.268
122,243,5.764
123,242,5.764
124,251,5.764
125,265,4.652
126,253,4.652
127,252,4.652
128,245,4.647
129,245,4.647
130,258,5.293
131,259,4.327
132,260,4.426
133,258,4.426
134,247,4.423
135,255,4.423
136,268,5.214
137,257,5.275
138,255,5.214
139,266,5.214
140,278,5.009
141,281,5.009
142,280,5.009
143,264,5.009
144,261,5.009
145,287,5.009
146,290,5.009
147,286,5.28
148,301,5.516
149,308,5.516
150,316,5.693
151,315,5.693
152,289,5.997
153,275,5.997
154,262,5.997
155,299,5.719
156,289,5.719
157,286,5.716
158,233,5.716
159,235,5.716
160,234,5.716
161,241,5.716
162,244,5.716
163,243,5.716
164,247,5.716
165,251,5.716
166,285,5.716
167,281,5.009
168,268,5.009
169,269,5.009
170,265,5.2
171,257,5.2
172,242,5.218
173,239,5.218
174,239,5.218
175,254,5.14
176,236,5.009
177,229,5.009
178,235,5.009
179,243,5.009
180,237,5.866
