CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13101,SANTIAGO,4,"[1, 4, 6, 7]",66697,0.2492,0.747643
13120,ÑUÑOA,2,"[1, 2]",22142,0.0827,0.082734
13110,LA FLORIDA,3,"[0, 2, 4]",12887,0.0482,0.096305
13119,MAIPÚ,2,"[4, 5]",11850,0.0443,0.044278
13123,PROVIDENCIA,3,"[2, 3, 6]",10705,0.04,0.079999
13118,MACUL,2,"[2, 4]",8363,0.0312,0.031248
13106,ESTACIÓN CENTRAL,2,"[4, 6]",6575,0.0246,0.024568
13130,SAN MIGUEL,3,"[0, 1, 4]",6447,0.0241,0.048179
13401,SAN BERNARDO,2,"[4, 5]",5597,0.0209,0.020913
13122,PEÑALOLÉN,2,"[2, 3]",3640,0.0136,0.013601
13128,RENCA,2,"[1, 6]",3584,0.0134,0.013392
13105,EL BOSQUE,2,"[0, 5]",3436,0.0128,0.012839
13127,RECOLETA,2,"[1, 6]",3205,0.012,0.011976
13109,LA CISTERNA,2,"[0, 4]",2993,0.0112,0.011183
13113,LA REINA,2,"[2, 3]",2981,0.0111,0.011139
13107,HUECHURABA,2,"[3, 6]",2893,0.0108,0.01081
13117,LO PRADO,2,"[4, 6]",2636,0.0098,0.009849
13129,SAN JOAQUÍN,2,"[1, 4]",2456,0.0092,0.009177
13126,QUINTA NORMAL,2,"[4, 6]",2431,0.0091,0.009083
13102,CERRILLOS,2,"[4, 5]",2099,0.0078,0.007843
13404,PAINE,2,"[0, 5]",1849,0.0069,0.006909
13104,CONCHALÍ,2,"[1, 6]",1679,0.0063,0.006274
13111,LA GRANJA,2,"[0, 4]",1609,0.006,0.006012
13504,MARÍA PINTO,2,"[5, 6]",413,0.0015,0.001543
13503,CURACAVÍ,2,"[5, 6]",390,0.0015,0.001457
