CUT,nombre,n_fragmentos,distritos,pop_total,pop_share_total,split_severity
13119,MAIPÚ,3,"[3, 5, 6]",503635,0.0681,0.136104
13101,SANTIAGO,4,"[0, 2, 6, 7]",438856,0.0593,0.177897
13110,LA FLORIDA,2,"[1, 4]",374834,0.0506,0.050648
13401,SAN BERNARDO,2,"[5, 6]",306371,0.0414,0.041397
13114,LAS CONDES,2,"[0, 2]",296135,0.04,0.040014
13120,ÑUÑOA,2,"[0, 2]",241467,0.0326,0.032627
13122,PEÑALOLÉN,2,"[0, 1]",236478,0.032,0.031953
13124,PUDAHUEL,2,"[3, 7]",227821,0.0308,0.030784
13106,ESTACIÓN CENTRAL,2,"[6, 7]",181049,0.0245,0.024464
13301,COLINA,2,"[2, 3]",173294,0.0234,0.023416
13105,EL BOSQUE,2,"[4, 6]",155256,0.021,0.020978
13127,RECOLETA,2,"[2, 3]",154615,0.0209,0.020892
13130,SAN MIGUEL,2,"[0, 1]",150829,0.0204,0.02038
13123,PROVIDENCIA,2,"[0, 2]",143973,0.0195,0.019454
13128,RENCA,2,"[3, 7]",143622,0.0194,0.019406
13501,MELIPILLA,2,"[3, 5]",136325,0.0184,0.01842
13104,CONCHALÍ,2,"[3, 7]",121587,0.0164,0.016429
13108,INDEPENDENCIA,2,"[2, 7]",116944,0.0158,0.015802
13115,LO BARNECHEA,2,"[2, 3]",112620,0.0152,0.015217
13111,LA GRANJA,3,"[0, 1, 4]",112022,0.0151,0.030273
13107,HUECHURABA,2,"[2, 3]",101808,0.0138,0.013756
13121,PEDRO AGUIRRE CERDA,2,"[0, 6]",96060,0.013,0.01298
13129,SAN JOAQUÍN,2,"[0, 1]",95602,0.0129,0.012918
13605,PEÑAFLOR,2,"[3, 5]",94402,0.0128,0.012756
13604,PADRE HURTADO,2,"[3, 5]",81243,0.011,0.010978
13131,SAN RAMÓN,2,"[1, 4]",76002,0.0103,0.01027
13202,PIRQUE,2,"[4, 5]",29060,0.0039,0.003927
13203,SAN JOSÉ DE MAIPO,3,"[2, 4, 5]",17441,0.0024,0.004713
