plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,8.557,,263,25.0,0.9487,0.6838,-1.152787365968385
1,8.557,,258,,,,-1.1329417083609306
2,9.866,,275,,,,-1.3106736642824737
3,9.866,,284,,,,-1.335467052712219
4,9.866,,276,,,,-1.313428485219112
5,7.871,,264,,,,-1.080870633981447
6,9.074,,261,,,,-1.1929061711703288
7,9.074,,261,,,,-1.1929061711703288
8,9.074,,254,,,,-1.17362242461386
9,9.074,,270,,,,-1.217699559600074
10,9.074,,270,,,,-1.217699559600074
11,8.347,,264,,,,-1.1284706339809707
12,8.347,,251,,,,-1.0926579618046721
13,7.644,,253,,,,-1.0278676036786516
14,7.644,,264,,,,-1.0581706339816737
15,7.644,,276,,,,-1.0912284852213339
16,7.644,,266,,,,-1.0636802758549504
17,7.644,,268,,,,-1.0691899177282271
18,7.644,,271,,,,-1.0774543805381422
19,9.169,,299,,,,-1.3070893667624914
20,9.169,,299,,,,-1.3070893667624914
21,9.169,,292,,,,-1.2878056202060228
22,9.169,,280,,,,-1.2547477689663626
23,7.514,,260,,,,-1.0341513502352502
24,7.514,,260,,,,-1.0341513502352502
25,7.514,,265,,,,-1.047925454918442
26,7.514,,269,,,,-1.0589447386649955
27,7.514,,271,,,,-1.0644543805382722
28,9.51,,299,,,,-1.3411893667621504
29,9.51,,307,,,,-1.3632279342552573
30,9.51,,299,,,,-1.3411893667621504
31,9.93,,297,,,,-1.3776797248884536
32,9.93,,287,,,,-1.35013151552207
33,9.93,,306,,,,-1.402473113318199
34,9.93,,303,,,,-1.3942086505082836
35,9.725,,296,,,,-1.3544249039520202
36,9.725,,282,,,,-1.315857410839083
37,9.725,,285,,,,-1.3241218736489984
38,9.725,,281,,,,-1.3131025899024449
39,9.725,,282,,,,-1.315857410839083
40,9.725,,277,,,,-1.3020833061558914
41,9.725,,280,,,,-1.3103477689658063
42,9.673,,274,,,,-1.2886188433460284
43,9.673,,260,,,,-1.2500513502330914
44,9.673,,281,,,,-1.307902589902497
45,9.673,,285,,,,-1.3189218736490504
46,8.943,,295,,,,-1.2734700830161638
47,8.501,,277,,,,-1.1796833061571155
48,7.893,,276,,,,-1.1161284852210849
49,9.904,,267,,,,-1.2924350967893288
50,9.904,,264,,,,-1.2841706339794137
51,9.904,,273,,,,-1.308964022409159
52,9.736,,277,,,,-1.3031833061558804
53,9.736,,272,,,,-1.2894092014726888
54,9.736,,245,,,,-1.215029036183453
55,9.675,,245,,,,-1.2089290361835139
56,9.675,,258,,,,-1.2447417083598127
57,9.675,,255,,,,-1.2364772455498976
58,9.375,,253,,,,-1.2009676036769208
59,9.61,,250,,,,-1.2162031408667708
60,9.61,,245,,,,-1.2024290361835788
61,9.61,,242,,,,-1.1941645733736639
62,9.61,,252,,,,-1.2217127827400474
63,9.61,,251,,,,-1.218957961803409
64,9.61,,256,,,,-1.2327320664866008
65,9.61,,255,,,,-1.2299772455499625
66,9.61,,255,,,,-1.2299772455499625
67,9.61,,249,,,,-1.2134483199301322
68,9.61,,251,,,,-1.218957961803409
69,9.61,,241,,,,-1.1914097524370253
70,9.61,,238,,,,-1.1831452896271104
71,9.661,,237,,,,-1.1854904686904209
72,9.661,,233,,,,-1.1744711849438674
73,9.61,,244,,,,-1.1996742152469406
74,9.61,,244,,,,-1.1996742152469406
75,9.61,,265,,,,-1.2575254549163462
76,8.884,,263,,,,-1.1794158130437955
77,8.884,,254,,,,-1.1546224246140502
78,8.884,,246,,,,-1.1325838571209434
79,8.884,,252,,,,-1.1491127827407734
80,8.884,,252,,,,-1.1491127827407734
81,8.884,,250,,,,-1.143603140867497
82,8.884,,249,,,,-1.1408483199308583
83,9.844,,274,,,,-1.3057188433458573
84,9.844,,269,,,,-1.2919447386626655
85,9.844,,249,,,,-1.2368483199298983
86,9.844,,262,,,,-1.2726609921061969
87,8.858,,258,,,,-1.1630417083606295
88,8.858,,256,,,,-1.1575320664873527
89,7.581,,277,,,,-1.0876833061580355
90,7.581,,275,,,,-1.0821736642847588
91,7.581,,271,,,,-1.0711543805382053
92,8.138,,256,,,,-1.085532066488073
93,8.138,,257,,,,-1.0882868874247111
94,8.138,,254,,,,-1.0800224246147963
95,8.138,,253,,,,-1.0772676036781577
96,8.138,,255,,,,-1.0827772455514344
97,8.05,,254,,,,-1.0712224246148843
98,7.824,,254,,,,-1.0486224246151101
99,7.824,,251,,,,-1.0403579618051952
100,8.545,,238,,,,-1.0766452896281753
101,8.545,,229,,,,-1.0518519011984302
102,8.545,,247,,,,-1.1014386780579206
103,8.545,,242,,,,-1.0876645733747288
104,8.545,,246,,,,-1.0986838571212822
105,7.907,,249,,,,-1.0431483199318352
106,7.907,,235,,,,-1.0045808268188983
107,8.302,,258,,,,-1.1074417083611854
108,8.302,,266,,,,-1.1294802758542923
109,8.302,,277,,,,-1.1597833061573142
110,7.895,,256,,,,-1.0612320664883157
111,7.895,,252,,,,-1.0502127827417622
112,7.895,,252,,,,-1.0502127827417622
113,7.352,,252,,,,-0.9959127827423054
114,7.352,,250,,,,-0.9904031408690288
115,7.352,,252,,,,-0.9959127827423054
116,8.293,,269,,,,-1.1368447386642164
117,8.293,,270,,,,-1.1395995596008548
118,8.293,,265,,,,-1.125825454917663
119,9.946,,254,,,,-1.260822424612988
120,9.946,,254,,,,-1.260822424612988
121,9.946,,252,,,,-1.2553127827397113
122,9.946,,247,,,,-1.2415386780565196
123,9.946,,250,,,,-1.2498031408664347
124,9.946,,251,,,,-1.252557961803073
125,9.946,,250,,,,-1.2498031408664347
126,9.946,,248,,,,-1.244293498993158
127,9.946,,249,,,,-1.2470483199297964
128,9.946,,260,,,,-1.2773513502328182
129,9.946,,258,,,,-1.2718417083595415
130,9.946,,263,,,,-1.2856158130427335
131,9.946,,261,,,,-1.2801061711694568
132,9.946,,262,,,,-1.282860992106095
133,9.946,,261,,,,-1.2801061711694568
134,9.102,,258,,,,-1.1874417083603857
135,9.102,,258,,,,-1.1874417083603857
136,9.077,,250,,,,-1.1629031408673036
137,9.077,,247,,,,-1.1546386780573887
138,9.775,,252,,,,-1.2382127827398826
139,8.898,,255,,,,-1.1587772455506744
140,8.898,,260,,,,-1.1725513502338663
141,8.898,,260,,,,-1.1725513502338663
142,8.898,,258,,,,-1.1670417083605895
143,8.376,,254,,,,-1.103822424614558
144,8.376,,258,,,,-1.1148417083611115
145,8.694,,255,,,,-1.1383772455508785
146,9.058,,255,,,,-1.1747772455505143
147,8.966,,253,,,,-1.1600676036773296
148,8.966,,254,,,,-1.162822424613968
149,8.966,,250,,,,-1.1518031408674148
150,8.376,,247,,,,-1.0845386780580895
151,8.376,,252,,,,-1.0983127827412813
152,7.775,,247,,,,-1.0244386780586907
153,7.775,,263,,,,-1.0685158130449044
154,7.775,,258,,,,-1.0547417083617128
155,7.775,,258,,,,-1.0547417083617128
156,7.775,,254,,,,-1.0437224246151593
157,7.775,,247,,,,-1.0244386780586907
158,7.775,,243,,,,-1.0134193943121372
159,7.775,,248,,,,-1.027193498995329
160,8.884,,247,,,,-1.1353386780575816
161,8.884,,241,,,,-1.1188097524377514
162,8.884,,247,,,,-1.1353386780575816
163,8.884,,247,,,,-1.1353386780575816
164,9.431,,250,,,,-1.1983031408669498
165,9.096,,251,,,,-1.1675579618039231
166,9.096,,247,,,,-1.1565386780573697
167,9.096,,244,,,,-1.1482742152474545
168,9.096,,234,,,,-1.120726005881071
169,8.238,,247,,,,-1.0707386780582275
170,8.238,,247,,,,-1.0707386780582275
171,8.238,,261,,,,-1.1093061711711645
172,8.238,,264,,,,-1.1175706339810796
173,8.238,,295,,,,-1.2029700830168688
174,8.238,,303,,,,-1.2250086505099755
175,8.238,,284,,,,-1.1726670527138467
176,6.796,,289,,,,-1.0422411573984807
177,6.078,,280,,,,-0.9456477689694535
178,8.907,,278,,,,-1.2230381270933477
179,8.907,,293,,,,-1.264360441142923
180,8.296,,298,,,,-1.217034545826726
181,8.296,,296,,,,-1.2115249039534493
182,8.296,,296,,,,-1.2115249039534493
183,7.697,,299,,,,-1.1598893667639634
184,7.697,,298,,,,-1.157134545827325
185,7.697,,296,,,,-1.1516249039540483
186,7.697,,305,,,,-1.1764182923837936
187,7.697,,272,,,,-1.0855092014747276
188,9.218,,278,,,,-1.2541381270930367
189,9.218,,281,,,,-1.2624025899029518
190,9.968,,276,,,,-1.32362848521901
191,9.968,,266,,,,-1.2960802758526264
192,9.968,,270,,,,-1.30709955959918
193,9.968,,270,,,,-1.30709955959918
194,9.968,,265,,,,-1.293325454915988
195,9.968,,268,,,,-1.3015899177259032
196,9.968,,268,,,,-1.3015899177259032
197,9.968,,273,,,,-1.315364022409095
198,7.723,,280,,,,-1.1101477689678085
199,7.723,0.1866,280,,,,-1.4431565320320647
200,7.29,,285,,,,-1.0806218736514333
201,7.29,,286,,,,-1.0833766945880718
202,8.407,,283,,,,-1.1868122317770395
203,9.964,,268,,,,-1.3011899177259072
204,9.964,,265,,,,-1.292925454915992
205,8.407,,285,,,,-1.1923218736503163
206,8.581,,286,,,,-1.2124766945867806
207,6.688,,283,,,,-1.0149122317787587
208,6.431,,300,,,,-1.0360441877018678
209,6.431,,289,,,,-1.0057411573988457
210,9.938,,282,,,,-1.3371574108388704
211,8.141,,266,,,,-1.1133802758544533
212,4.665,,267,,,,-0.7685350967945678
213,4.665,,277,,,,-0.7960833061609514
214,4.368,,280,,,,-0.7746477689711635
215,8.097,,272,,,,-1.1255092014743275
216,9.189,,262,,,,-1.207160992106852
217,2.5,,267,,,,-0.5520350967967328
218,3.931,,257,,,,-0.6675868874289181
219,5.941,,267,,,,-0.8961350967932917
220,8.096,,280,,,,-1.1474477689674356
221,8.096,,269,,,,-1.1171447386644136
222,8.096,,272,,,,-1.1254092014743287
223,9.854,,269,,,,-1.2929447386626554
224,9.854,,267,,,,-1.2874350967893786
225,7.43,,278,,,,-1.0753381270948248
226,7.373,,288,,,,-1.0971863364612653
227,7.717,,282,,,,-1.1150574108410911
228,8.145,,276,,,,-1.141328485220833
229,9.471,,265,,,,-1.2436254549164851
230,9.471,,271,,,,-1.2601543805363153
231,9.471,,282,,,,-1.2904574108393372
232,9.471,,278,,,,-1.2794381270927837
233,9.471,,271,,,,-1.2601543805363153
234,9.471,,256,,,,-1.2188320664867398
235,9.488,,253,,,,-1.2122676036768076
236,9.488,,248,,,,-1.1984934989936158
237,9.488,,244,,,,-1.1874742152470623
238,9.488,,234,,,,-1.1599260058806788
239,9.471,,234,,,,-1.158226005880696
240,9.123,,262,,,,-1.200560992106918
241,9.123,,277,,,,-1.2418833061564933
242,9.123,,266,,,,-1.2115802758534713
243,9.123,,266,,,,-1.2115802758534713
244,9.123,,256,,,,-1.1840320664870878
245,9.123,,254,,,,-1.178522424613811
246,9.123,,262,,,,-1.200560992106918
247,9.123,,272,,,,-1.2281092014733015
