plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,8.35,,68,0,0.0,0.0,-0.9877191707693193
1,7.267,,68,0,0.0,0.0,-0.879386671020478
2,8.251,,70,0,0.0,0.0,-1.0016257236876465
3,8.251,,73,0,0.0,0.0,-1.0373400094018894
4,8.251,,71,0,0.0,0.0,-1.0135304855923941
5,8.251,,72,0,0.0,0.0,-1.0254352474971418
6,8.251,,69,0,0.0,0.0,-0.9897209617828986
7,7.174,,68,0,0.0,0.0,-0.8700838801833198
8,7.174,,68,0,0.0,0.0,-0.8700838801833198
9,7.935,,69,0,0.0,0.0,-0.9581114789383613
10,7.935,,69,0,0.0,0.0,-0.9581114789383613
11,9.915,,70,0,0.0,0.0,-1.1680756586664756
12,9.915,,70,0,0.0,0.0,-1.1680756586664756
13,9.915,,70,0,0.0,0.0,-1.1680756586664756
14,9.915,,70,0,0.0,0.0,-1.1680756586664756
15,9.915,,70,0,0.0,0.0,-1.1680756586664756
16,9.915,,70,0,0.0,0.0,-1.1680756586664756
17,9.915,,70,0,0.0,0.0,-1.1680756586664756
18,9.915,,70,0,0.0,0.0,-1.1680756586664756
19,9.915,,70,0,0.0,0.0,-1.1680756586664756
20,9.915,,69,0,0.0,0.0,-1.156170896761728
21,9.915,,69,0,0.0,0.0,-1.156170896761728
22,9.915,,69,0,0.0,0.0,-1.156170896761728
23,9.915,,69,0,0.0,0.0,-1.156170896761728
24,9.915,,71,0,0.0,0.0,-1.1799804205712232
25,9.915,,71,0,0.0,0.0,-1.1799804205712232
26,9.915,,71,0,0.0,0.0,-1.1799804205712232
27,9.915,,70,0,0.0,0.0,-1.1680756586664756
28,9.915,,70,0,0.0,0.0,-1.1680756586664756
29,9.915,,68,0,0.0,0.0,-1.14426613485698
30,9.915,,68,0,0.0,0.0,-1.14426613485698
31,9.915,,68,0,0.0,0.0,-1.14426613485698
32,9.915,,68,0,0.0,0.0,-1.14426613485698
33,9.915,,68,0,0.0,0.0,-1.14426613485698
34,7.935,,68,0,0.0,0.0,-0.9462067170336136
35,7.935,,68,0,0.0,0.0,-0.9462067170336136
36,8.162,,69,0,0.0,0.0,-0.9808182909817474
37,8.162,,69,0,0.0,0.0,-0.9808182909817474
38,8.162,,69,0,0.0,0.0,-0.9808182909817474
39,9.063,,73,0,0.0,0.0,-1.1185643767112703
40,9.063,,73,0,0.0,0.0,-1.1185643767112703
41,9.063,,73,0,0.0,0.0,-1.1185643767112703
42,9.063,,74,0,0.0,0.0,-1.130469138616018
43,9.063,,74,0,0.0,0.0,-1.130469138616018
44,9.063,,74,0,0.0,0.0,-1.130469138616018
