step,cut_edges,max_dev_pct,is_valid
0,76,12.508,True
1,76,12.508,True
2,73,12.508,True
3,71,12.508,True
4,74,12.508,True
5,71,12.508,True
6,71,12.508,True
7,71,12.508,True
8,70,10.936,True
9,70,10.936,True
10,72,14.657,True
11,69,12.006,True
12,69,12.006,True
13,72,12.006,True
14,71,12.006,True
15,70,12.006,True
16,69,13.391,True
17,69,13.391,True
18,69,13.391,True
19,69,13.391,True
20,69,13.391,True
21,74,12.006,True
22,74,13.613,True
23,75,12.006,True
24,72,12.006,True
25,71,12.006,True
26,71,12.006,True
27,77,12.006,True
28,79,13.096,True
29,79,13.096,True
30,74,13.096,True
31,74,13.096,True
32,73,13.096,True
33,73,13.096,True
34,71,12.476,True
35,71,12.476,True
36,72,12.476,True
37,72,12.476,True
38,72,12.476,True
39,74,12.476,True
40,74,12.476,True
41,72,12.476,True
42,72,13.435,True
43,74,13.435,True
44,75,13.435,True
45,77,13.435,True
46,77,13.435,True
47,77,13.435,True
48,74,13.435,True
49,73,13.435,True
50,73,13.435,True
51,73,13.435,True
52,73,13.435,True
53,73,13.435,True
54,72,13.435,True
55,72,13.435,True
56,70,13.435,True
57,70,13.435,True
58,70,13.435,True
59,73,14.403,True
60,75,14.403,True
61,75,14.403,True
62,76,14.403,True
63,76,14.403,True
64,75,14.403,True
65,76,14.403,True
66,74,14.403,True
67,74,14.403,True
68,77,14.062,True
69,76,14.571,True
70,75,14.571,True
71,75,14.571,True
72,68,14.571,True
73,68,14.571,True
74,72,14.571,True
75,72,14.571,True
76,72,14.571,True
77,72,14.571,True
78,70,14.571,True
79,68,12.86,True
80,66,9.731,True
81,67,9.731,True
82,67,9.731,True
83,69,9.363,True
84,70,11.843,True
85,71,14.631,True
86,73,14.631,True
87,71,11.917,True
88,67,11.877,True
89,67,11.877,True
90,70,11.877,True
91,73,10.158,True
92,73,10.158,True
93,73,10.158,True
94,69,10.158,True
95,70,9.418,True
96,70,9.418,True
97,70,9.418,True
98,71,10.41,True
99,71,10.41,True
100,71,10.41,True
101,73,14.124,True
102,76,14.124,True
103,75,14.124,True
104,74,14.302,True
105,72,14.302,True
106,70,14.302,True
107,70,14.302,True
108,71,14.302,True
109,70,14.302,True
110,70,14.302,True
111,70,12.54,True
112,70,12.54,True
113,69,12.54,True
114,69,14.126,True
115,70,14.126,True
116,71,14.228,True
117,71,14.228,True
118,71,14.228,True
119,71,14.228,True
120,67,14.557,True
121,71,14.557,True
122,71,14.557,True
123,71,14.557,True
124,74,14.036,True
125,75,14.036,True
126,75,14.036,True
127,75,14.036,True
128,72,14.557,True
129,74,14.557,True
130,72,14.557,True
131,72,14.557,True
132,71,12.096,True
133,76,12.096,True
134,76,12.096,True
135,76,14.642,True
136,77,14.642,True
137,81,14.642,True
138,77,14.642,True
139,73,14.642,True
140,68,14.642,True
141,68,14.642,True
142,68,14.642,True
143,71,14.642,True
144,71,14.642,True
145,76,14.642,True
146,76,14.642,True
147,73,14.642,True
148,73,14.642,True
149,68,14.642,True
150,70,14.642,True
151,67,14.642,True
152,65,14.642,True
153,67,13.3,True
154,67,13.3,True
155,71,13.3,True
156,71,13.3,True
157,67,13.3,True
158,67,13.3,True
159,67,13.3,True
160,65,13.3,True
161,66,10.312,True
162,66,10.312,True
163,66,10.312,True
164,66,10.312,True
165,67,10.722,True
166,67,10.722,True
167,67,10.722,True
168,67,10.722,True
169,65,11.028,True
170,65,11.028,True
171,65,11.028,True
172,66,11.028,True
173,64,10.954,True
174,66,14.557,True
175,66,14.77,True
176,66,14.77,True
177,68,14.557,True
178,67,14.557,True
179,69,14.557,True
180,69,14.557,True
181,69,14.557,True
182,69,14.557,True
183,69,14.557,True
184,69,14.557,True
185,69,14.557,True
186,66,14.557,True
187,66,14.557,True
188,64,14.557,True
189,64,14.557,True
190,66,13.2,True
191,63,7.358,True
192,63,7.358,True
193,64,9.446,True
194,64,9.446,True
195,68,9.446,True
196,68,9.446,True
197,66,13.68,True
198,64,14.039,True
199,66,14.039,True
200,67,14.039,True
201,66,14.039,True
202,66,14.039,True
203,66,14.039,True
204,68,14.039,True
