plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score
0,8.35,,68,0,0.0,0.0,-1.1743626262280111
1,7.267,,68,0,0.0,0.0,-1.0660301264791698
2,8.251,,70,0,0.0,0.0,-1.1879890671015207
3,8.251,,73,0,0.0,0.0,-1.2232831847485381
4,8.251,,71,0,0.0,0.0,-1.1997537729838599
5,8.251,,72,0,0.0,0.0,-1.211518478866199
6,8.251,,69,0,0.0,0.0,-1.1762243612191816
7,7.174,,68,0,0.0,0.0,-1.0567273356420115
8,7.174,,68,0,0.0,0.0,-1.0567273356420115
9,7.935,,69,0,0.0,0.0,-1.1446148783746444
10,7.935,,69,0,0.0,0.0,-1.1446148783746444
11,9.915,,70,0,0.0,0.0,-1.3544390020803498
12,9.915,,70,0,0.0,0.0,-1.3544390020803498
13,9.915,,70,0,0.0,0.0,-1.3544390020803498
14,9.915,,70,0,0.0,0.0,-1.3544390020803498
15,9.915,,70,0,0.0,0.0,-1.3544390020803498
16,9.915,,70,0,0.0,0.0,-1.3544390020803498
17,9.915,,70,0,0.0,0.0,-1.3544390020803498
18,9.915,,70,0,0.0,0.0,-1.3544390020803498
19,9.915,,70,0,0.0,0.0,-1.3544390020803498
20,9.915,,69,0,0.0,0.0,-1.342674296198011
21,9.915,,69,0,0.0,0.0,-1.342674296198011
22,9.915,,69,0,0.0,0.0,-1.342674296198011
23,9.915,,69,0,0.0,0.0,-1.342674296198011
24,9.915,,71,0,0.0,0.0,-1.366203707962689
25,9.915,,71,0,0.0,0.0,-1.366203707962689
26,9.915,,71,0,0.0,0.0,-1.366203707962689
27,9.915,,70,0,0.0,0.0,-1.3544390020803498
28,9.915,,70,0,0.0,0.0,-1.3544390020803498
29,9.915,,68,0,0.0,0.0,-1.3309095903156718
30,9.915,,68,0,0.0,0.0,-1.3309095903156718
31,9.915,,68,0,0.0,0.0,-1.3309095903156718
32,9.915,,68,0,0.0,0.0,-1.3309095903156718
33,9.915,,68,0,0.0,0.0,-1.3309095903156718
34,7.935,,68,0,0.0,0.0,-1.1328501724923052
35,7.935,,68,0,0.0,0.0,-1.1328501724923052
36,8.162,,69,0,0.0,0.0,-1.1673216904180306
37,8.162,,69,0,0.0,0.0,-1.1673216904180306
38,8.162,,69,0,0.0,0.0,-1.1673216904180306
39,9.063,,73,0,0.0,0.0,-1.304507552057919
40,9.063,,73,0,0.0,0.0,-1.304507552057919
41,9.063,,73,0,0.0,0.0,-1.304507552057919
42,9.063,,74,0,0.0,0.0,-1.316272257940258
43,9.063,,74,0,0.0,0.0,-1.316272257940258
44,9.063,,74,0,0.0,0.0,-1.316272257940258
45,9.618,,71,0,0.0,0.0,-1.3364947952891844
46,9.618,,71,0,0.0,0.0,-1.3364947952891844
47,9.618,,71,0,0.0,0.0,-1.3364947952891844
48,8.779,,72,0,0.0,0.0,-1.2643343236190967
49,8.779,,72,0,0.0,0.0,-1.2643343236190967
50,8.779,,72,0,0.0,0.0,-1.2643343236190967
51,8.779,,72,0,0.0,0.0,-1.2643343236190967
52,8.779,,71,0,0.0,0.0,-1.2525696177367576
53,8.779,,71,0,0.0,0.0,-1.2525696177367576
54,8.779,,71,0,0.0,0.0,-1.2525696177367576
55,8.779,,73,0,0.0,0.0,-1.2760990295014358
56,8.162,,75,0,0.0,0.0,-1.2379099257120652
57,8.162,,75,0,0.0,0.0,-1.2379099257120652
58,8.162,,73,0,0.0,0.0,-1.214380513947387
59,8.162,,73,0,0.0,0.0,-1.214380513947387
60,8.162,,71,0,0.0,0.0,-1.1908511021827088
61,8.162,,71,0,0.0,0.0,-1.1908511021827088
62,8.162,,71,0,0.0,0.0,-1.1908511021827088
63,8.162,,71,0,0.0,0.0,-1.1908511021827088
64,8.162,,71,0,0.0,0.0,-1.1908511021827088
65,5.38,,70,0,0.0,0.0,-0.9008029112576396
66,8.779,,70,0,0.0,0.0,-1.2408049118544184
67,8.779,,71,0,0.0,0.0,-1.2525696177367576
68,7.935,,69,0,0.0,0.0,-1.1446148783746444
69,7.935,,69,0,0.0,0.0,-1.1446148783746444
70,7.935,,68,0,0.0,0.0,-1.1328501724923052
71,7.935,,68,0,0.0,0.0,-1.1328501724923052
72,7.935,,68,0,0.0,0.0,-1.1328501724923052
73,9.212,,70,0,0.0,0.0,-1.2841179057521548
74,9.212,,73,0,0.0,0.0,-1.3194120233991722
75,9.212,,73,0,0.0,0.0,-1.3194120233991722
76,8.664,,71,0,0.0,0.0,-1.2410661667015621
77,9.099,,71,0,0.0,0.0,-1.2845792206173017
78,9.099,,69,0,0.0,0.0,-1.2610498088526236
79,9.099,,69,0,0.0,0.0,-1.2610498088526236
80,9.099,,66,0,0.0,0.0,-1.2257556912056065
81,9.099,,66,0,0.0,0.0,-1.2257556912056065
82,9.099,,67,0,0.0,0.0,-1.2375203970879454
83,9.099,,68,0,0.0,0.0,-1.2492851029702845
84,9.099,,73,0,0.0,0.0,-1.30810863238198
85,9.099,,73,0,0.0,0.0,-1.30810863238198
86,9.004,,73,0,0.0,0.0,-1.2986057815268186
87,9.004,,73,0,0.0,0.0,-1.2986057815268186
88,9.004,,68,0,0.0,0.0,-1.239782252115123
89,9.004,,68,0,0.0,0.0,-1.239782252115123
90,9.004,,68,0,0.0,0.0,-1.239782252115123
91,9.004,,68,0,0.0,0.0,-1.239782252115123
92,8.02,,67,0,0.0,0.0,-1.1295880173751107
93,8.02,,67,0,0.0,0.0,-1.1295880173751107
94,8.02,,68,0,0.0,0.0,-1.1413527232574499
95,8.02,,68,0,0.0,0.0,-1.1413527232574499
96,8.02,,68,0,0.0,0.0,-1.1413527232574499
97,8.02,,69,0,0.0,0.0,-1.153117429139789
98,8.02,,68,0,0.0,0.0,-1.1413527232574499
99,8.02,,68,0,0.0,0.0,-1.1413527232574499
100,8.02,,70,0,0.0,0.0,-1.1648821350221281
101,8.02,,70,0,0.0,0.0,-1.1648821350221281
102,8.741,,73,0,0.0,0.0,-1.2722978891593715
103,8.741,,74,0,0.0,0.0,-1.2840625950417104
104,8.741,,74,0,0.0,0.0,-1.2840625950417104
105,8.02,,72,0,0.0,0.0,-1.1884115467868064
106,8.02,,72,0,0.0,0.0,-1.1884115467868064
107,6.04,,71,0,0.0,0.0,-0.9785874230811008
108,6.04,,71,0,0.0,0.0,-0.9785874230811008
109,7.788,,72,0,0.0,0.0,-1.165204584698412
110,6.04,,71,0,0.0,0.0,-0.9785874230811008
111,6.04,,71,0,0.0,0.0,-0.9785874230811008
112,6.04,,71,0,0.0,0.0,-0.9785874230811008
113,6.04,,73,0,0.0,0.0,-1.0021168348457792
114,6.04,,73,0,0.0,0.0,-1.0021168348457792
115,6.04,,73,0,0.0,0.0,-1.0021168348457792
116,8.002,,74,0,0.0,0.0,-1.210140418389454
117,8.002,,74,0,0.0,0.0,-1.210140418389454
118,8.002,,71,0,0.0,0.0,-1.1748463007424368
119,8.106,,71,0,0.0,0.0,-1.1852494216786136
120,8.002,,71,0,0.0,0.0,-1.1748463007424368
121,8.002,,71,0,0.0,0.0,-1.1748463007424368
122,8.002,,71,0,0.0,0.0,-1.1748463007424368
123,8.002,,71,0,0.0,0.0,-1.1748463007424368
124,8.002,,71,0,0.0,0.0,-1.1748463007424368
125,8.002,,71,0,0.0,0.0,-1.1748463007424368
126,8.002,,71,0,0.0,0.0,-1.1748463007424368
127,8.002,,71,0,0.0,0.0,-1.1748463007424368
128,8.002,,74,0,0.0,0.0,-1.210140418389454
129,8.002,,74,0,0.0,0.0,-1.210140418389454
130,8.106,,71,0,0.0,0.0,-1.1852494216786136
131,8.106,,71,0,0.0,0.0,-1.1852494216786136
132,8.106,,72,0,0.0,0.0,-1.1970141275609527
133,7.444,,72,0,0.0,0.0,-1.1307942616018272
134,8.954,,69,0,0.0,0.0,-1.2465454575473771
135,8.954,,69,0,0.0,0.0,-1.2465454575473771
136,8.954,,74,0,0.0,0.0,-1.3053689869590726
137,8.954,,74,0,0.0,0.0,-1.3053689869590726
138,8.954,,74,0,0.0,0.0,-1.3053689869590726
139,8.954,,74,0,0.0,0.0,-1.3053689869590726
140,8.954,,74,0,0.0,0.0,-1.3053689869590726
141,9.127,,72,0,0.0,0.0,-1.2991447667516884
142,9.127,,78,0,0.0,0.0,-1.3697330020457232
143,8.954,,78,0,0.0,0.0,-1.3524278104884289
144,8.954,,79,0,0.0,0.0,-1.364192516370768
145,8.954,,72,0,0.0,0.0,-1.2818395751943945
146,8.954,,69,0,0.0,0.0,-1.2465454575473771
147,8.954,,72,0,0.0,0.0,-1.2818395751943945
148,8.954,,72,0,0.0,0.0,-1.2818395751943945
149,8.954,,72,0,0.0,0.0,-1.2818395751943945
150,8.954,,73,0,0.0,0.0,-1.2936042810767336
151,8.954,,73,0,0.0,0.0,-1.2936042810767336
152,8.954,,70,0,0.0,0.0,-1.2583101634297162
153,8.954,,70,0,0.0,0.0,-1.2583101634297162
154,8.954,,71,0,0.0,0.0,-1.2700748693120554
155,8.954,,71,0,0.0,0.0,-1.2700748693120554
156,8.954,,71,0,0.0,0.0,-1.2700748693120554
157,8.954,,70,0,0.0,0.0,-1.2583101634297162
158,8.954,,69,0,0.0,0.0,-1.2465454575473771
159,8.954,,68,0,0.0,0.0,-1.234780751665038
160,8.954,,68,0,0.0,0.0,-1.234780751665038
161,8.954,,70,0,0.0,0.0,-1.2583101634297162
162,8.954,,70,0,0.0,0.0,-1.2583101634297162
163,8.954,,70,0,0.0,0.0,-1.2583101634297162
164,8.954,,70,0,0.0,0.0,-1.2583101634297162
165,8.954,,70,0,0.0,0.0,-1.2583101634297162
166,8.954,,67,0,0.0,0.0,-1.2230160457826988
167,8.954,,70,0,0.0,0.0,-1.2583101634297162
168,8.954,,70,0,0.0,0.0,-1.2583101634297162
169,8.954,,70,0,0.0,0.0,-1.2583101634297162
170,8.954,,73,0,0.0,0.0,-1.2936042810767336
171,8.954,,73,0,0.0,0.0,-1.2936042810767336
172,8.954,,74,0,0.0,0.0,-1.3053689869590726
173,8.954,,71,0,0.0,0.0,-1.2700748693120554
174,8.954,,71,0,0.0,0.0,-1.2700748693120554
175,8.954,,71,0,0.0,0.0,-1.2700748693120554
176,8.954,,67,0,0.0,0.0,-1.2230160457826988
177,8.954,,67,0,0.0,0.0,-1.2230160457826988
178,8.954,,67,0,0.0,0.0,-1.2230160457826988
179,8.954,,67,0,0.0,0.0,-1.2230160457826988
180,8.954,,67,0,0.0,0.0,-1.2230160457826988
181,8.954,,67,0,0.0,0.0,-1.2230160457826988
182,7.7,,71,0,0.0,0.0,-1.1446372380239231
183,8.599,,72,0,0.0,0.0,-1.2463289219987908
184,8.599,,74,0,0.0,0.0,-1.269858333763469
185,8.599,,74,0,0.0,0.0,-1.269858333763469
186,8.19,,73,0,0.0,0.0,-1.2171813541994345
187,8.19,,72,0,0.0,0.0,-1.2054166483170954
188,8.19,,69,0,0.0,0.0,-1.1701225306700782
189,8.19,,69,0,0.0,0.0,-1.1701225306700782
190,8.19,,70,0,0.0,0.0,-1.1818872365524171
191,8.19,,69,0,0.0,0.0,-1.1701225306700782
192,8.19,,69,0,0.0,0.0,-1.1701225306700782
193,8.19,,69,0,0.0,0.0,-1.1701225306700782
194,8.19,,69,0,0.0,0.0,-1.1701225306700782
195,8.19,,73,0,0.0,0.0,-1.2171813541994345
196,9.691,,70,0,0.0,0.0,-1.3320322800639692
197,9.691,,70,0,0.0,0.0,-1.3320322800639692
198,8.19,,71,0,0.0,0.0,-1.1936519424347563
199,8.19,0.2785,70,0,0.0,0.0,-1.2643396677839516
200,8.056,,70,0,0.0,0.0,-1.1684832153461893
201,8.056,,70,0,0.0,0.0,-1.1684832153461893
202,9.015,,70,0,0.0,0.0,-1.2644119939788199
203,9.015,,67,0,0.0,0.0,-1.2291178763318027
204,8.272,,69,0,0.0,0.0,-1.1783249914082177
205,8.272,,69,0,0.0,0.0,-1.1783249914082177
206,9.601,,72,0,0.0,0.0,-1.3465589910184945
207,9.601,,73,0,0.0,0.0,-1.3583236969008337
