step,cut_edges,max_dev_pct,is_valid
0,68,8.35,True
1,68,7.267,True
2,70,8.251,True
3,73,8.251,True
4,71,8.251,True
5,72,8.251,True
6,69,8.251,True
7,68,7.174,True
8,68,7.174,True
9,69,7.935,True
10,69,7.935,True
11,70,9.915,True
12,70,9.915,True
13,70,9.915,True
14,70,9.915,True
15,70,9.915,True
16,70,9.915,True
17,70,9.915,True
18,70,9.915,True
19,70,9.915,True
20,69,9.915,True
21,69,9.915,True
22,69,9.915,True
23,69,9.915,True
24,71,9.915,True
25,71,9.915,True
26,71,9.915,True
27,70,9.915,True
28,70,9.915,True
29,68,9.915,True
30,68,9.915,True
31,68,9.915,True
32,68,9.915,True
33,68,9.915,True
34,68,7.935,True
35,68,7.935,True
36,69,8.162,True
37,69,8.162,True
38,69,8.162,True
39,73,9.063,True
40,73,9.063,True
41,73,9.063,True
42,74,9.063,True
43,74,9.063,True
44,74,9.063,True
45,71,9.618,True
46,71,9.618,True
47,71,9.618,True
48,72,8.779,True
49,72,8.779,True
50,72,8.779,True
51,72,8.779,True
52,71,8.779,True
53,71,8.779,True
54,71,8.779,True
55,73,8.779,True
56,75,8.162,True
57,75,8.162,True
58,73,8.162,True
59,73,8.162,True
60,71,8.162,True
61,71,8.162,True
62,71,8.162,True
63,71,8.162,True
64,71,8.162,True
65,70,5.38,True
66,70,8.779,True
67,71,8.779,True
68,69,7.935,True
69,69,7.935,True
70,68,7.935,True
71,68,7.935,True
72,68,7.935,True
73,70,9.212,True
74,73,9.212,True
75,73,9.212,True
76,71,8.664,True
77,71,9.099,True
78,69,9.099,True
79,69,9.099,True
80,66,9.099,True
81,66,9.099,True
82,67,9.099,True
83,68,9.099,True
84,73,9.099,True
85,73,9.099,True
86,73,9.004,True
87,73,9.004,True
88,68,9.004,True
89,68,9.004,True
90,68,9.004,True
91,68,9.004,True
92,67,8.02,True
93,67,8.02,True
94,68,8.02,True
95,68,8.02,True
96,68,8.02,True
97,69,8.02,True
98,68,8.02,True
99,68,8.02,True
100,70,8.02,True
101,70,8.02,True
102,73,8.741,True
103,74,8.741,True
104,74,8.741,True
105,72,8.02,True
106,72,8.02,True
107,71,6.04,True
108,71,6.04,True
109,72,7.788,True
110,71,6.04,True
111,71,6.04,True
112,71,6.04,True
113,73,6.04,True
114,73,6.04,True
115,73,6.04,True
116,74,8.002,True
117,74,8.002,True
118,71,8.002,True
119,71,8.106,True
120,71,8.002,True
121,71,8.002,True
122,71,8.002,True
123,71,8.002,True
124,71,8.002,True
125,71,8.002,True
126,71,8.002,True
127,71,8.002,True
128,74,8.002,True
129,74,8.002,True
130,71,8.106,True
131,71,8.106,True
132,72,8.106,True
133,72,7.444,True
134,69,8.954,True
135,69,8.954,True
136,74,8.954,True
137,74,8.954,True
138,74,8.954,True
139,74,8.954,True
140,74,8.954,True
141,72,9.127,True
142,78,9.127,True
143,78,8.954,True
144,79,8.954,True
145,72,8.954,True
146,69,8.954,True
147,72,8.954,True
148,72,8.954,True
149,72,8.954,True
150,73,8.954,True
151,73,8.954,True
152,70,8.954,True
153,70,8.954,True
154,71,8.954,True
155,71,8.954,True
156,71,8.954,True
157,70,8.954,True
158,69,8.954,True
159,68,8.954,True
160,68,8.954,True
161,70,8.954,True
162,70,8.954,True
163,70,8.954,True
164,70,8.954,True
165,70,8.954,True
166,67,8.954,True
167,70,8.954,True
168,70,8.954,True
169,70,8.954,True
170,73,8.954,True
171,73,8.954,True
172,74,8.954,True
173,71,8.954,True
174,71,8.954,True
175,71,8.954,True
176,67,8.954,True
177,67,8.954,True
178,67,8.954,True
179,67,8.954,True
180,67,8.954,True
181,67,8.954,True
182,71,7.7,True
183,72,8.599,True
184,74,8.599,True
185,74,8.599,True
186,73,8.19,True
187,72,8.19,True
188,69,8.19,True
189,69,8.19,True
190,70,8.19,True
191,69,8.19,True
192,69,8.19,True
193,69,8.19,True
194,69,8.19,True
195,73,8.19,True
196,70,9.691,True
197,70,9.691,True
198,71,8.19,True
199,70,8.19,True
200,70,8.056,True
201,70,8.056,True
202,70,9.015,True
203,67,9.015,True
204,69,8.272,True
205,69,8.272,True
206,72,9.601,True
207,73,9.601,True
208,71,9.601,True
209,71,9.601,True
210,71,9.601,True
211,74,7.767,True
212,74,8.085,True
213,71,8.085,True
214,70,6.773,True
215,70,8.44,True
216,71,6.773,True
217,71,6.773,True
218,72,9.511,True
219,73,9.511,True
220,76,7.403,True
221,76,9.535,True
222,76,9.535,True
223,76,9.535,True
224,76,9.535,True
225,74,9.705,True
226,73,9.705,True
227,71,9.535,True
228,70,9.535,True
229,70,9.535,True
230,69,8.174,True
231,71,8.603,True
232,71,8.603,True
233,72,8.174,True
234,72,8.174,True
235,72,8.174,True
236,72,8.174,True
237,72,9.288,True
238,72,9.288,True
239,72,9.288,True
240,72,9.288,True
241,75,9.288,True
242,75,9.288,True
243,75,8.174,True
244,74,9.838,True
245,77,9.838,True
246,77,9.838,True
247,79,9.838,True
248,76,9.838,True
249,76,9.838,True
250,76,7.313,True
251,78,7.849,True
252,73,7.248,True
253,71,8.015,True
254,70,8.015,True
255,70,6.773,True
256,71,8.506,True
257,70,8.659,True
258,70,8.659,True
