partido,pacto,votos,votos_pct,escanos_uninivel,escanos_binivel,delta
PARTIDO REPUBLICANO DE CHILE,Cambio por Chile,126038,16.22,2,2,0
PARTIDO COMUNISTA DE CHILE,Unidad por Chile,121977,15.69,2,2,0
PARTIDO DE LA GENTE,Partido de la Gente,109245,14.06,2,1,-1
FRENTE AMPLIO,Unidad por Chile,55932,7.2,1,1,0
PARTIDO NACIONAL LIBERTARIO,Cambio por Chile,55046,7.08,1,1,0
UNION DEMOCRATA INDEPENDIENTE,Chile Grande y Unido,51922,6.68,0,1,1
RENOVACION NACIONAL,Chile Grande y Unido,46844,6.03,0,0,0
PARTIDO HUMANISTA,Izquierda Ecologista Popular Animalista y Humanista,42459,5.46,0,0,0
PARTIDO DEMOCRATA CRISTIANO,Unidad por Chile,37245,4.79,0,0,0
FEDERACION REGIONALISTA VERDE SOCIAL,"Verdes, Regionalistas y Humanistas",25704,3.31,0,0,0
PARTIDO LIBERAL DE CHILE,Unidad por Chile,25617,3.3,0,0,0
PARTIDO DEMOCRATAS CHILE,Chile Grande y Unido,24304,3.13,0,0,0
PARTIDO ACCIÓN HUMANISTA,"Verdes, Regionalistas y Humanistas",16400,2.11,0,0,0
PARTIDO RADICAL DE CHILE,Unidad por Chile,13365,1.72,0,0,0
PARTIDO SOCIAL CRISTIANO,Cambio por Chile,13256,1.71,0,0,0
PARTIDO DE TRABAJADORES REVOLUCIONARIOS,Partido de Trabajadores Revolucionarios,11838,1.52,0,0,0
