gallagher_bi,gallagher_uni,lh_bi,lh_uni,bonus_max_bi,bonus_max_uni,n_partidos_bi,n_partidos_uni,plan_id,source
12.1214,12.1214,27.5564,27.5564,11.226,11.226,14,14,0,sintético
10.7031,10.7031,24.3306,24.3306,9.2905,9.2905,16,16,1,sintético
12.4035,12.4035,28.6324,28.6324,11.8989,11.8989,17,17,2,sintético
12.5443,12.5443,28.6324,28.6324,12.5163,12.5163,15,15,3,sintético
12.3921,12.3921,28.8467,28.8467,11.2537,11.2537,15,15,4,sintético
12.3772,12.3772,29.8627,29.8627,10.6085,10.6085,16,16,5,sintético
11.3579,11.3579,27.5564,27.5564,9.9634,9.9634,15,15,6,sintético
13.2176,13.2176,30.1371,30.1371,12.544,12.544,16,16,7,sintético
12.7048,12.7048,30.0975,30.0975,10.6085,10.6085,15,15,8,sintético
12.8787,12.8787,32.7177,32.7177,10.6085,10.6085,15,15,9,sintético
12.7416,12.7416,28.8467,28.8467,12.544,12.544,14,14,10,sintético
11.8355,11.8355,27.5564,27.5564,10.6085,10.6085,14,14,11,sintético
12.1095,12.1095,27.5564,27.5564,10.6085,10.6085,17,17,12,sintético
11.777,11.777,30.1371,30.1371,9.2905,9.2905,14,14,13,sintético
12.1591,12.1591,29.8423,29.8423,11.2537,11.2537,15,15,14,sintético
10.8414,10.8414,26.9112,26.9112,9.3182,9.3182,16,16,15,sintético
12.9621,12.9621,32.7177,32.7177,10.6085,10.6085,14,14,16,sintético
11.9361,11.9361,29.4919,29.4919,9.9357,9.9357,15,15,17,sintético
11.8366,11.8366,27.5564,27.5564,10.5809,10.5809,15,15,18,sintético
10.3576,10.3576,25.6209,25.6209,8.673,8.673,16,16,19,sintético
12.5303,12.5303,28.8467,28.8467,10.6085,10.6085,15,15,20,sintético
12.3147,12.3147,30.1371,30.1371,10.6085,10.6085,14,14,21,sintético
12.2865,12.2865,30.1371,30.1371,12.544,12.544,15,15,22,sintético
11.5444,11.5444,26.0517,26.0517,10.5809,10.5809,16,16,23,sintético
11.8655,11.8655,26.6164,26.6164,9.9357,9.9357,15,15,24,sintético
11.8908,11.8908,28.4761,28.4761,10.6085,10.6085,13,13,25,sintético
12.4757,12.4757,29.2175,29.2175,11.8989,11.8989,14,14,26,sintético
11.7401,11.7401,28.2016,28.2016,9.3182,9.3182,15,15,27,sintético
12.2525,12.2525,28.8467,28.8467,11.8989,11.8989,14,14,28,sintético
11.3737,11.3737,26.9872,26.9872,9.9634,9.9634,15,15,29,sintético
11.8005,11.8005,29.4919,29.4919,9.9634,9.9634,16,16,30,sintético
12.6255,12.6255,29.7665,29.7665,10.6085,10.6085,14,14,31,sintético
12.0384,12.0384,27.5564,27.5564,10.5809,10.5809,16,16,32,sintético
11.8606,11.8606,27.1723,27.1723,11.2537,11.2537,14,14,33,sintético
11.2411,11.2411,26.4477,26.4477,9.9357,9.9357,16,16,34,sintético
10.8727,10.8727,25.8547,25.8547,9.2905,9.2905,14,14,35,sintético
11.4524,11.4524,27.5564,27.5564,9.3182,9.3182,16,16,36,sintético
10.6745,10.6745,26.2661,26.2661,9.3182,9.3182,16,16,37,sintético
11.5293,11.5293,25.3261,25.3261,10.6085,10.6085,17,17,38,sintético
12.2318,12.2318,29.5521,29.5521,9.9634,9.9634,12,12,39,sintético
11.1418,11.1418,26.2661,26.2661,11.2537,11.2537,16,16,40,sintético
11.8648,11.8648,26.4021,26.4021,10.5809,10.5809,16,16,41,sintético
12.1859,12.1859,29.1971,29.1971,10.6085,10.6085,16,16,42,sintético
11.4172,11.4172,26.6164,26.6164,10.6085,10.6085,16,16,43,sintético
12.6,12.6,29.4919,29.4919,10.6085,10.6085,15,15,44,sintético
13.556,13.556,30.5679,30.5679,13.1892,13.1892,16,16,45,sintético
12.5137,12.5137,28.8467,28.8467,11.2537,11.2537,16,16,46,sintético
11.7,11.7,25.6209,25.6209,10.6085,10.6085,17,17,47,sintético
12.8995,12.8995,29.4919,29.4919,11.2537,11.2537,15,15,48,sintético
11.1443,11.1443,26.2661,26.2661,9.9357,9.9357,15,15,49,sintético
12.4302,12.4302,29.4919,29.4919,11.2537,11.2537,15,15,50,sintético
12.5909,12.5909,28.2016,28.2016,11.2537,11.2537,16,16,51,sintético
12.596,12.596,30.1371,30.1371,10.6085,10.6085,15,15,52,sintético
11.1535,11.1535,26.9112,26.9112,9.9634,9.9634,18,18,53,sintético
11.6831,11.6831,29.2175,29.2175,10.6085,10.6085,14,14,54,sintético
