distrito,pacto,escanos
DISTRITO 1,CAMBIO POR CHILE,1
DISTRITO 1,UNIDAD POR CHILE,2
DISTRITO 10,CAMBIO POR CHILE,2
DISTRITO 10,CHILE GRANDE Y UNIDO,2
DISTRITO 10,UNIDAD POR CHILE,4
DISTRITO 11,CAMBIO POR CHILE,2
DISTRITO 11,CHILE GRANDE Y UNIDO,3
DISTRITO 11,UNIDAD POR CHILE,1
DISTRITO 12,CAMBIO POR CHILE,2
DISTRITO 12,CHILE GRANDE Y UNIDO,1
DISTRITO 12,PARTIDO DE LA GENTE,2
DISTRITO 12,UNIDAD POR CHILE,1
DISTRITO 12,"VERDES, REGIONALISTAS Y HUMANISTAS",1
DISTRITO 13,CAMBIO POR CHILE,2
DISTRITO 13,CHILE GRANDE Y UNIDO,1
DISTRITO 13,UNIDAD POR CHILE,2
DISTRITO 14,CAMBIO POR CHILE,2
DISTRITO 14,CHILE GRANDE Y UNIDO,1
DISTRITO 14,UNIDAD POR CHILE,3
DISTRITO 15,CAMBIO POR CHILE,1
DISTRITO 15,CHILE GRANDE Y UNIDO,1
DISTRITO 15,UNIDAD POR CHILE,3
DISTRITO 16,CAMBIO POR CHILE,1
DISTRITO 16,CHILE GRANDE Y UNIDO,1
DISTRITO 16,UNIDAD POR CHILE,2
DISTRITO 17,CAMBIO POR CHILE,2
DISTRITO 17,CHILE GRANDE Y UNIDO,1
DISTRITO 17,PARTIDO DE LA GENTE,1
DISTRITO 17,UNIDAD POR CHILE,3
DISTRITO 18,CAMBIO POR CHILE,2
DISTRITO 18,CHILE GRANDE Y UNIDO,1
DISTRITO 18,UNIDAD POR CHILE,1
DISTRITO 19,CAMBIO POR CHILE,1
DISTRITO 19,CHILE GRANDE Y UNIDO,2
DISTRITO 19,UNIDAD POR CHILE,2
DISTRITO 2,CAMBIO POR CHILE,1
DISTRITO 2,CHILE GRANDE Y UNIDO,1
DISTRITO 2,UNIDAD POR CHILE,1
DISTRITO 20,CAMBIO POR CHILE,3
DISTRITO 20,CHILE GRANDE Y UNIDO,2
DISTRITO 20,PARTIDO DE LA GENTE,1
DISTRITO 20,UNIDAD POR CHILE,2
DISTRITO 21,CAMBIO POR CHILE,1
DISTRITO 21,CHILE GRANDE Y UNIDO,2
DISTRITO 21,PARTIDO DE LA GENTE,1
DISTRITO 21,UNIDAD POR CHILE,1
DISTRITO 22,CAMBIO POR CHILE,1
DISTRITO 22,CHILE GRANDE Y UNIDO,2
DISTRITO 22,UNIDAD POR CHILE,1
DISTRITO 23,CAMBIO POR CHILE,2
DISTRITO 23,CHILE GRANDE Y UNIDO,2
DISTRITO 23,PARTIDO DE LA GENTE,1
DISTRITO 23,UNIDAD POR CHILE,2
DISTRITO 24,CAMBIO POR CHILE,1
DISTRITO 24,CHILE GRANDE Y UNIDO,2
DISTRITO 24,UNIDAD POR CHILE,2
DISTRITO 25,CAMBIO POR CHILE,1
DISTRITO 25,CHILE GRANDE Y UNIDO,1
DISTRITO 25,UNIDAD POR CHILE,2
DISTRITO 26,CAMBIO POR CHILE,1
DISTRITO 26,CHILE GRANDE Y UNIDO,1
DISTRITO 26,PARTIDO DE LA GENTE,1
DISTRITO 26,UNIDAD POR CHILE,2
DISTRITO 27,CHILE GRANDE Y UNIDO,1
DISTRITO 27,UNIDAD POR CHILE,1
DISTRITO 27,"VERDES, REGIONALISTAS Y HUMANISTAS",1
DISTRITO 28,CAMBIO POR CHILE,1
DISTRITO 28,CANDIDATURA INDEPENDIENTE,1
DISTRITO 28,UNIDAD POR CHILE,1
DISTRITO 3,CAMBIO POR CHILE,1
DISTRITO 3,PARTIDO DE LA GENTE,1
DISTRITO 3,UNIDAD POR CHILE,3
DISTRITO 4,CAMBIO POR CHILE,1
DISTRITO 4,PARTIDO DE LA GENTE,1
DISTRITO 4,UNIDAD POR CHILE,2
DISTRITO 4,"VERDES, REGIONALISTAS Y HUMANISTAS",1
DISTRITO 5,CAMBIO POR CHILE,1
DISTRITO 5,CHILE GRANDE Y UNIDO,1
DISTRITO 5,PARTIDO DE LA GENTE,1
DISTRITO 5,UNIDAD POR CHILE,4
DISTRITO 6,CAMBIO POR CHILE,2
DISTRITO 6,CHILE GRANDE Y UNIDO,1
DISTRITO 6,PARTIDO DE LA GENTE,1
DISTRITO 6,UNIDAD POR CHILE,4
DISTRITO 7,CAMBIO POR CHILE,2
DISTRITO 7,CHILE GRANDE Y UNIDO,2
DISTRITO 7,PARTIDO DE LA GENTE,1
DISTRITO 7,UNIDAD POR CHILE,3
DISTRITO 8,CAMBIO POR CHILE,3
DISTRITO 8,CHILE GRANDE Y UNIDO,1
DISTRITO 8,PARTIDO DE LA GENTE,1
DISTRITO 8,UNIDAD POR CHILE,3
DISTRITO 9,CAMBIO POR CHILE,2
DISTRITO 9,CHILE GRANDE Y UNIDO,1
DISTRITO 9,PARTIDO DE LA GENTE,1
DISTRITO 9,UNIDAD POR CHILE,3
