distrito,magnitud_vigente,magnitud_nueva,delta,pop,pop_vigente_pxe,pop_nueva_pxe,nombre
2,3,5,2,369806,123269,73961,Tarapacá
1,3,4,1,244569,81523,61142,Arica-Parinacota
3,5,6,1,635416,127083,105903,Antofagasta
12,7,8,1,1164844,166406,145606,Santiago Nor-Or
22,4,5,1,414018,103504,82804,Maule Sur
16,4,5,1,405639,101410,81128,Santiago Pon-Nor
14,6,7,1,1062222,177037,151746,Santiago Sur-Or
28,3,4,1,166537,55512,41634,Magallanes-Aysén
13,5,6,1,702894,140579,117149,Santiago Or
10,8,8,0,1247011,155876,155876,Santiago Nor
11,6,6,0,821522,136920,136920,Santiago Cen
8,8,8,0,1541364,192670,192670,Valparaíso Costa
26,5,5,0,542000,108400,108400,Araucanía Sur
25,4,4,0,348284,87071,87071,Araucanía Nor
24,5,5,0,398230,79646,79646,Biobío Sur
21,5,5,0,627591,125518,125518,Maule Norte
27,3,3,0,100745,33582,33582,Los Ríos-Los Lagos
19,5,5,0,512289,102458,102458,O'Higgins Nor
18,4,4,0,368648,92162,92162,Santiago Sur2
15,5,5,0,581589,116318,116318,Santiago Sur
4,5,4,-1,299180,59836,74795,Atacama
9,7,6,-1,860884,122983,143481,Valparaíso Interior
6,8,7,-1,1006523,125815,143789,Coquimbo Sur
5,7,6,-1,832864,118981,138811,Coquimbo Norte
20,8,7,-1,985468,123184,140781,O'Higgins Sur
17,7,6,-1,754360,107766,125727,Santiago Pon-Sur
7,8,6,-2,889530,111191,148255,Aconcagua
23,7,5,-2,596405,85201,119281,Biobío Nor
