distrito,nombre,magnitud_vigente,poblacion,personas_x_escano,peso_relativo,sobrerepresentado,infra_representado
8,Valparaíso Costa,8,1541364,192670,1.616,False,True
14,Santiago Sur-Or,6,1062222,177037,1.4849,False,True
12,Santiago Nor-Or,7,1164844,166406,1.3957,False,True
10,Santiago Nor,8,1247011,155876,1.3074,False,True
13,Santiago Or,5,702894,140579,1.1791,False,True
11,Santiago Cen,6,821522,136920,1.1484,False,True
3,Antofagasta,5,635416,127083,1.0659,False,True
6,Coquimbo Sur,8,1006523,125815,1.0552,False,True
21,Maule Norte,5,627591,125518,1.0528,False,True
2,Tarapacá,3,369806,123269,1.0339,False,True
20,O'Higgins Sur,8,985468,123184,1.0332,False,True
9,Valparaíso Interior,7,860884,122983,1.0315,False,True
5,Coquimbo Norte,7,832864,118981,0.9979,True,False
15,Santiago Sur,5,581589,116318,0.9756,True,False
7,Aconcagua,8,889530,111191,0.9326,True,False
26,Araucanía Sur,5,542000,108400,0.9092,True,False
17,Santiago Pon-Sur,7,754360,107766,0.9039,True,False
22,Maule Sur,4,414018,103504,0.8681,True,False
19,O'Higgins Nor,5,512289,102458,0.8593,True,False
16,Santiago Pon-Nor,4,405639,101410,0.8505,True,False
18,Santiago Sur2,4,368648,92162,0.773,True,False
25,Araucanía Nor,4,348284,87071,0.7303,True,False
23,Biobío Nor,7,596405,85201,0.7146,True,False
1,Arica-Parinacota,3,244569,81523,0.6838,True,False
24,Biobío Sur,5,398230,79646,0.668,True,False
4,Atacama,5,299180,59836,0.5019,True,False
28,Magallanes-Aysén,3,166537,55512,0.4656,True,False
27,Los Ríos-Los Lagos,3,100745,33582,0.2817,True,False
