CUT,personas
1101,199587
1107,142086
1401,16878
1402,1335
1403,790
1404,2858
1405,6272
2101,401096
2102,14084
2103,1472
2104,12097
2201,166334
2202,256
2203,9843
2301,25400
2302,4834
3101,168831
3102,18805
3103,11846
3201,12345
3202,11397
3301,54222
3302,4788
3303,7577
3304,9369
4101,250141
4102,263719
4103,11566
4104,4335
4105,4649
4106,28047
4201,32009
4202,9639
4203,22879
4204,27823
4301,118696
4302,12954
4303,29997
4304,12076
4305,4334
5101,284938
5102,29876
5103,48294
5104,904
5105,22539
5107,35754
5109,334871
5201,4800
5301,63440
5302,16597
5303,11855
5304,20112
5401,39270
5402,20015
5403,7561
5404,10206
5405,7980
5501,96753
5502,50631
5503,19286
5504,24939
5506,22136
5601,96770
5602,16076
5603,24599
5604,18971
5605,16260
5606,13171
5701,80413
5702,13760
5703,25484
5704,7269
5705,17336
5706,15134
5801,162559
5802,56145
5803,19778
5804,139571
6101,257744
6102,13955
6103,7916
6104,21373
6105,21925
6106,35938
6107,27554
6108,60875
6109,13882
6110,27394
6111,13901
6112,14243
6113,20363
6114,13558
6115,63620
6116,29508
6117,49559
6201,19847
6202,4609
6203,8852
6204,8715
6205,8885
6206,7228
6301,75585
6302,15668
6303,37258
6304,7791
6305,18723
6306,13060
6307,12493
6308,9438
6309,4559
6310,41209
7101,232131
7102,47004
7103,9519
7104,3990
7105,61081
7106,9229
7107,9181
7108,14276
7109,47380
7110,11230
7201,42798
7202,9446
7203,8578
7301,159968
7302,10775
7303,6892
7304,48949
7305,11266
7306,17233
7307,19427
7308,30113
7309,4716
7401,96744
7402,22637
7403,33299
7404,45323
7405,22310
7406,49559
7407,17919
7408,20035
8101,230375
8102,123648
8103,85822
8104,12958
8105,25795
8106,39980
8107,48971
8108,150992
8109,14947
8110,147322
8111,56907
8112,87731
8201,25246
8202,37163
8203,34640
8204,5905
8205,31119
8206,21950
8207,10208
8301,219441
8302,4373
8303,31256
8304,23706
8305,29036
8306,26140
8307,10723
8308,4440
8309,9700
8310,3575
8311,14075
8312,15729
8313,23170
8314,6016
9101,292518
9102,24957
9103,19177
9104,7733
9105,26164
9106,12710
9107,14148
9108,41936
9109,25158
9110,6796
9111,33988
9112,80656
9113,7438
9114,27041
9115,32321
9116,12877
9117,15639
9118,10041
9119,31575
9120,67737
9121,13167
9201,53022
9202,24303
9203,18536
9204,7730
9205,10247
9206,7348
9207,9253
9208,12184
9209,10686
9210,18873
9211,34464
10101,277040
10102,36474
10103,4199
10104,12320
10105,22554
10106,17162
10107,18088
10108,15063
10109,52942
10201,46997
10202,40949
10203,16078
10204,3662
10205,14894
10206,4048
10207,5690
10208,28460
10209,8409
10210,7678
10301,166455
10302,8865
10303,19542
10304,11712
10305,13874
10306,7776
10307,10883
10401,4025
10402,3062
10403,9480
10404,1903
11101,57823
11102,779
11201,23170
11202,5137
11203,1598
11301,3458
11302,647
11303,505
11401,4905
11402,2723
12101,132363
12102,269
12103,102
12104,241
12201,1750
12202,60
12301,6809
12302,431
12303,157
12401,24152
12402,203
13101,438856
13102,85041
13103,127250
13104,121587
13105,155257
13106,181049
13107,101808
13108,116943
13109,103157
13110,374836
13111,112022
13112,175421
13113,89870
13114,296134
13115,112620
13116,87295
13117,91290
13118,123800
13119,503635
13120,241467
13121,96062
13122,236478
13123,143974
13124,227820
13125,205624
13126,129351
13127,154615
13128,143622
13129,95602
13130,150829
13131,76002
13132,86420
13201,568086
13202,29060
13203,17441
13301,173293
13302,145160
13303,19742
13401,306371
13402,116969
13403,25491
13404,78828
13501,136325
13502,7768
13503,35165
13504,15352
13505,11108
13601,76429
13602,37497
13603,39274
13604,81243
13605,94402
14101,170043
14102,5501
14103,16876
14104,21431
14105,8074
14106,22973
14107,19802
14108,35098
14201,38907
14202,15635
14203,10527
14204,33363
15101,241653
15102,861
15201,1547
15202,508
16101,190382
16102,23863
16103,32688
16104,13186
16105,8930
16106,12502
16107,19165
16108,17405
16109,18680
16201,11746
16202,5495
16203,15895
16204,5763
16205,5203
16206,6508
16207,6124
16301,55847
16302,29766
16303,12797
16304,5245
16305,15099
