CUT,cod_candidato,nombre_candidato,partido,pacto,votos
15101,66001051,RICARDO  SANZANA OTEIZA,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",3077.0
15101,66001052,LEONARDO VALENZUELA ATENAS,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",683.0
15101,66001053,PAULINA SALDIA PINTO,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",1096.0
15101,66001054,LUIS ALEJANDRO PAREDES ESCANILLA,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",669.0
15101,66001055,LUIS MALLA VALENZUELA,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,28770.0
15101,66001056,JORGE DIAZ IBARRA,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,17655.0
15101,66001057,GIOVANNA CALLE CAPUMA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,1573.0
15101,66001058,SANDRA FLORES CONTRERAS,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,6930.0
15101,66001059,JUAN JACOBO TANCARA CHAMBE,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,1741.0
15101,66001060,ANA ANDREA CARVAJAL MARIPAN,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,1934.0
15101,66001061,ROBERTO SAMUEL FLORES SALGADO,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,642.0
15101,66001062,CAMILO MARTIN JOFRE CAÑIPA,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,2886.0
15101,66001063,OSCAR BORIS PALLERES FLORES,POPULAR,POPULAR,1086.0
15101,66001064,DALDYM EUGENIA PINOCHET PEREZ,POPULAR,POPULAR,490.0
15101,66001065,RODRIGO CUEVAS TRONCOSO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,9545.0
15101,66001066,ERNESTO PLASENCIA ROJAS,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,1336.0
15101,66001067,RAUL PARADA FLORES,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,1555.0
15101,66001068,CANDY ANDRADE JARA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,1755.0
15101,66001069,JUAN CARLOS CHINGA PALMA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,8199.0
15101,66001070,SEBASTIAN HUERTA GONZALEZ,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,4457.0
15101,66001071,ARACELY BERRIOS GAJARDO,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,1014.0
15101,66001072,MARCELO  ZARA PIZARRO,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,9827.0
15101,66001073,JOSE LEE RODRIGUEZ,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,6877.0
15101,66001074,STEPHANIE JELDREZ ORTIZ,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,12144.0
15101,66001075,POLLYANA RIVERA BIGAS,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,5511.0
15102,66001051,RICARDO  SANZANA OTEIZA,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",20.0
15102,66001052,LEONARDO VALENZUELA ATENAS,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",6.0
15102,66001053,PAULINA SALDIA PINTO,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",7.0
15102,66001054,LUIS ALEJANDRO PAREDES ESCANILLA,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",6.0
15102,66001055,LUIS MALLA VALENZUELA,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,153.0
15102,66001056,JORGE DIAZ IBARRA,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,498.0
15102,66001057,GIOVANNA CALLE CAPUMA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,22.0
15102,66001058,SANDRA FLORES CONTRERAS,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,37.0
15102,66001059,JUAN JACOBO TANCARA CHAMBE,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,22.0
15102,66001060,ANA ANDREA CARVAJAL MARIPAN,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,11.0
15102,66001061,ROBERTO SAMUEL FLORES SALGADO,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,13.0
15102,66001062,CAMILO MARTIN JOFRE CAÑIPA,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,20.0
15102,66001063,OSCAR BORIS PALLERES FLORES,POPULAR,POPULAR,13.0
15102,66001064,DALDYM EUGENIA PINOCHET PEREZ,POPULAR,POPULAR,4.0
15102,66001065,RODRIGO CUEVAS TRONCOSO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,77.0
15102,66001066,ERNESTO PLASENCIA ROJAS,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,10.0
15102,66001067,RAUL PARADA FLORES,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,8.0
15102,66001068,CANDY ANDRADE JARA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,13.0
15102,66001069,JUAN CARLOS CHINGA PALMA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,56.0
15102,66001070,SEBASTIAN HUERTA GONZALEZ,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,40.0
15102,66001071,ARACELY BERRIOS GAJARDO,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,3.0
15102,66001072,MARCELO  ZARA PIZARRO,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,53.0
15102,66001073,JOSE LEE RODRIGUEZ,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,56.0
15102,66001074,STEPHANIE JELDREZ ORTIZ,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,158.0
15102,66001075,POLLYANA RIVERA BIGAS,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,24.0
15201,66001051,RICARDO  SANZANA OTEIZA,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",34.0
15201,66001052,LEONARDO VALENZUELA ATENAS,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",10.0
15201,66001053,PAULINA SALDIA PINTO,PARTIDO ACCIÓN HUMANISTA,"VERDES, REGIONALISTAS Y HUMANISTAS",11.0
15201,66001054,LUIS ALEJANDRO PAREDES ESCANILLA,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",5.0
15201,66001055,LUIS MALLA VALENZUELA,PARTIDO LIBERAL DE CHILE,UNIDAD POR CHILE,160.0
15201,66001056,JORGE DIAZ IBARRA,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,278.0
15201,66001057,GIOVANNA CALLE CAPUMA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,284.0
15201,66001058,SANDRA FLORES CONTRERAS,PARTIDO SOCIALISTA DE CHILE,UNIDAD POR CHILE,59.0
15201,66001059,JUAN JACOBO TANCARA CHAMBE,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,71.0
15201,66001060,ANA ANDREA CARVAJAL MARIPAN,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,23.0
15201,66001061,ROBERTO SAMUEL FLORES SALGADO,PARTIDO HUMANISTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,11.0
15201,66001062,CAMILO MARTIN JOFRE CAÑIPA,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,46.0
