CUT,partido,votos
01101,EVOLUCION POLITICA,2940
01101,FEDERACION REGIONALISTA VERDE SOCIAL,6748
01101,FRENTE AMPLIO,3045
01101,IND,262631
01101,PARTIDO ACCION HUMANISTA,3989
01101,PARTIDO COMUNISTA DE CHILE,12369
01101,PARTIDO DE LA GENTE,11995
01101,PARTIDO DEMOCRATA CRISTIANO,3683
01101,PARTIDO DEMOCRATAS CHILE,1303
01101,PARTIDO NACIONAL LIBERTARIO,13519
01101,PARTIDO POR LA DEMOCRACIA,16432
01101,PARTIDO REPUBLICANO DE CHILE,11782
01101,PARTIDO SOCIAL CRISTIANO,2422
01101,RENOVACION NACIONAL,8183
01101,UNION DEMOCRATA INDEPENDIENTE,15307
01107,EVOLUCION POLITICA,925
01107,FEDERACION REGIONALISTA VERDE SOCIAL,2218
01107,FRENTE AMPLIO,1154
01107,IND,121957
01107,PARTIDO ACCION HUMANISTA,1279
01107,PARTIDO COMUNISTA DE CHILE,3087
01107,PARTIDO DE LA GENTE,10265
01107,PARTIDO DEMOCRATA CRISTIANO,3669
01107,PARTIDO DEMOCRATAS CHILE,744
01107,PARTIDO NACIONAL LIBERTARIO,3700
01107,PARTIDO POR LA DEMOCRACIA,6596
01107,PARTIDO REPUBLICANO DE CHILE,4107
01107,PARTIDO SOCIAL CRISTIANO,1166
01107,RENOVACION NACIONAL,8632
01107,UNION DEMOCRATA INDEPENDIENTE,3320
01401,EVOLUCION POLITICA,67
01401,FEDERACION REGIONALISTA VERDE SOCIAL,226
01401,FRENTE AMPLIO,99
01401,IND,20066
01401,PARTIDO ACCION HUMANISTA,128
01401,PARTIDO COMUNISTA DE CHILE,270
01401,PARTIDO DE LA GENTE,1125
01401,PARTIDO DEMOCRATA CRISTIANO,4288
01401,PARTIDO DEMOCRATAS CHILE,51
01401,PARTIDO NACIONAL LIBERTARIO,487
01401,PARTIDO POR LA DEMOCRACIA,879
01401,PARTIDO REPUBLICANO DE CHILE,604
01401,PARTIDO SOCIAL CRISTIANO,123
01401,RENOVACION NACIONAL,351
01401,UNION DEMOCRATA INDEPENDIENTE,262
01402,EVOLUCION POLITICA,13
01402,FEDERACION REGIONALISTA VERDE SOCIAL,54
01402,FRENTE AMPLIO,25
01402,IND,3460
01402,PARTIDO ACCION HUMANISTA,18
01402,PARTIDO COMUNISTA DE CHILE,24
01402,PARTIDO DE LA GENTE,261
01402,PARTIDO DEMOCRATA CRISTIANO,494
01402,PARTIDO DEMOCRATAS CHILE,12
01402,PARTIDO NACIONAL LIBERTARIO,130
01402,PARTIDO POR LA DEMOCRACIA,133
01402,PARTIDO REPUBLICANO DE CHILE,151
01402,PARTIDO SOCIAL CRISTIANO,32
01402,RENOVACION NACIONAL,153
01402,UNION DEMOCRATA INDEPENDIENTE,53
01403,EVOLUCION POLITICA,7
01403,FEDERACION REGIONALISTA VERDE SOCIAL,12
01403,FRENTE AMPLIO,5
01403,IND,2448
01403,PARTIDO ACCION HUMANISTA,17
01403,PARTIDO COMUNISTA DE CHILE,15
01403,PARTIDO DE LA GENTE,303
01403,PARTIDO DEMOCRATA CRISTIANO,384
01403,PARTIDO DEMOCRATAS CHILE,7
01403,PARTIDO NACIONAL LIBERTARIO,47
01403,PARTIDO POR LA DEMOCRACIA,32
01403,PARTIDO REPUBLICANO DE CHILE,126
01403,PARTIDO SOCIAL CRISTIANO,15
01403,RENOVACION NACIONAL,140
01403,UNION DEMOCRATA INDEPENDIENTE,21
01404,EVOLUCION POLITICA,32
01404,FEDERACION REGIONALISTA VERDE SOCIAL,75
01404,FRENTE AMPLIO,41
01404,IND,5532
01404,PARTIDO ACCION HUMANISTA,100
01404,PARTIDO COMUNISTA DE CHILE,78
01404,PARTIDO DE LA GENTE,333
01404,PARTIDO DEMOCRATA CRISTIANO,452
01404,PARTIDO DEMOCRATAS CHILE,17
01404,PARTIDO NACIONAL LIBERTARIO,171
01404,PARTIDO POR LA DEMOCRACIA,656
01404,PARTIDO REPUBLICANO DE CHILE,151
01404,PARTIDO SOCIAL CRISTIANO,48
01404,RENOVACION NACIONAL,197
01404,UNION DEMOCRATA INDEPENDIENTE,134
